Sample	Condition	Replication	DNAConcentration	Mean16sCount	MicrobesPerGram	RatioBacteroidetesFirmicutes	RawReads	DeduplicatedReads	TrimmedReads	HostRemovedReads	OrphanReads	AbsoluteAbundanceFirmicutes	AbsoluteAbundanceBacteroidetes	AbsoluteAbundanceActinobacteria	AbsoluteAbundanceOtherBacteria	AbsoluteAbundanceViruses	AbsoluteAbundanceFungi	AbsoluteAbundanceUnclassifiedRoot	AbsoluteAbundanceUnclassified	ShannonEntropy	InverseSimpson	RichnessAbove0.01	RelativeAbundanceFirmicutes	RelativeAbundanceBacteroidetes	RelativeAbundanceActinobacteria	RelativeAbundanceOtherBacteria	RelativeAbundanceViruses	RelativeAbundanceFungi	RelativeAbundanceUnclassifiedRoot	RelativeAbundanceUnclassified
D02-ZH-R1	ZH	R1	7.34	4.47004546	7.13e+11	0.864522389	63084192	54722222	53358270	49745064	1898128	3.33e+11	2.88e+11	7110375003	6244405067	10407601203	511913754.7	68088817224	48018379507	2.525757914	4.401010667	85	0.466871339	0.403620725	0.009965738	0.008752014	0.014587054	0.000717487	0.09543172	0.067301456
D02-ZH-R2	ZH	R2	3.2	4.478611876	9.04e+11	0.686084671	32375052	28867836	28025003	25636444	1261533	4.62e+11	3.17e+11	14512092256	7490228468	14068539688	693080189.4	87377764151	62815576380	2.691411085	5.416268206	92	0.511578749	0.350986338	0.016059664	0.008288988	0.015568811	0.00076699	0.096695743	0.06951424
D02-ZH-R3	ZH	R3	4.44	4.501208973	1.41e+11	0.639755729	37341680	34045878	33149017	31198375	1265948	74699040732	47789139237	2691272927	997474565.4	1616489020	94197550.89	12835126711	9183776846	2.716172354	5.782046398	89	0.530796722	0.339580244	0.019123657	0.007087858	0.011486454	0.000669349	0.091203891	0.065258116
D02-ZR-R1	ZR	R1	12.4	4.546578705	7.59e+11	0.611958938	128486117	108438410	105678905	97737075	3924156	4.11e+11	2.51e+11	13014646158	4928100408	6895429626	492645762.1	71326568616	51775049045	2.715663347	5.805927835	90	0.541341341	0.331278672	0.017144259	0.006491811	0.009083384	0.000648965	0.093958847	0.068203532
D02-ZR-R2	ZR	R2	5.68	4.492525386	1.93e+12	0.875892899	41205612	36222092	35123903	30450221	1687410	8.95e+11	7.84e+11	24660029568	13239177650	22389748542	1211460654	1.92e+11	1.25e+11	2.454833679	4.116034737	85	0.463190609	0.405705365	0.012758388	0.006849569	0.01158381	0.000626775	0.099230399	0.064654021
D02-ZR-R3	ZR	R3	2.16	4.502011079	3.76e+11	0.909890923	30265822	27125577	26429925	24526297	1015412	1.72e+11	1.56e+11	5267514378	2477917418	4887128331	220400058.8	35202153175	23253883501	2.457848741	4.152845156	84	0.456708148	0.415554599	0.013996859	0.006584331	0.012986096	0.000585648	0.093539292	0.061790305
D03-NF-R1	NF	R1	46.6	4.788781087	8.43e+11	0.192426945	80308010	67083284	64801677	53591089	3321938	6.05e+11	1.16e+11	48531474928	3940389394	2944494003	760066462.4	64806275083	52904316484	3.111889364	13.24084164	96	0.717514676	0.138069157	0.057557555	0.004673239	0.003492123	0.000901427	0.076859208	0.062743675
D03-NF-R2	NF	R2	109.2	4.629671133	7.57e+12	0.484985179	35030588	30993474	30180980	24909942	1218402	4.36e+12	2.12e+12	4.37e+11	36369186185	10543883920	4896072742	6.04e+11	4.57e+11	3.026319321	11.22348633	94	0.576039124	0.279370438	0.057653455	0.00480169	0.00139207	0.00064641	0.079713948	0.060309059
D03-NF-R3	NF	R3	27	4.658635121	2.55e+12	0.449760757	48043883	42401061	41261419	36593546	1618918	1.52e+12	6.82e+11	1.33e+11	11847969974	4780567721	1760202788	1.98e+11	1.53e+11	3.033640644	11.65434705	94	0.594917956	0.26757075	0.052331228	0.004646784	0.001874943	0.000690353	0.077560862	0.059899597
D03-OF-R1	OF	R1	41	4.457539334	9.05e+12	0.961738405	189977801	144717758	140508722	97929289	6184401	3.95e+12	3.8e+12	4.43e+11	51684056328	14509101462	6431326920	7.83e+11	5.79e+11	2.824884813	7.832431693	89	0.436493453	0.419792517	0.048922899	0.005708977	0.001602663	0.000710399	0.086496872	0.063909628
