Well,Well96,PCR_Replicate,Plate,SampleName,Donor,Condition,Replicate,SampleCode,SampleNameFull,label,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues,logCopyNumber,CopyNumber,PlotOrder
NA,NA,,,,,NA,NA,,,,,,,,,NA,,,,,,,,,NA,NA,NA
NA,NA,,,,,NA,NA,,,,,,,,,NA,,,,,,,,,NA,NA,NA
D23,B12,Rep3,Plate1,D01_OF_R1,D01,OF,R1,1-1-3,D01_OF_R1_Rep3,D23 Well,false,Sample,16S,Unknown,SYBR,11.419210499187,0.9130006637066618,3.50235676184846,Amp,false,3,6,NA,NA,8.04805102416825,18616574549.1302,2
D3,B2,Rep3,Plate1,D08_OR_R1,D08,OR,R1,1-1-12,D08_OR_R1_Rep3,D3 Well,false,Sample,16S,Unknown,SYBR,11.6460261394791,0.9222420836931062,3.50469646467003,Amp,false,3,6,NA,NA,7.97063954283991,15577160419.5521,3
D5,B3,Rep3,Plate1,PCO_B1_R1,PCO,B1,R1,1-1-15,PCO_B1_R1_Rep3,D5 Well,false,Sample,16S,Unknown,SYBR,14.9739595872239,0.9520315703481068,3.43686036498571,Amp,false,3,7,NA,NA,6.83482607944577,1139396363.5905,7
D7,B4,Rep3,Plate1,D10_ZH_R1,D10,ZH,R1,1-2-8,D10_ZH_R1_Rep3,D7 Well,false,Sample,16S,Unknown,SYBR,18.1468531824721,0.9142403623220705,3.38715269361968,Amp,false,3,9,NA,NA,5.75192724147709,94140389.554793,7
D9,B5,Rep3,Plate1,D07_NF_R1,D07,NF,R1,1-2-5,D07_NF_R1_Rep3,D9 Well,false,Sample,16S,Unknown,SYBR,12.2101967312227,0.7554294360673147,3.48259169861081,Amp,false,3,6,NA,NA,7.77808985282501,9998586368.89443,1
E1,C1,Rep1,Plate1,D05_NF_R1,D05,NF,R1,1-4-19,D05_NF_R1_Rep1,E1 Well,false,Sample,16S,Unknown,SYBR,12.5848408908929,0.8917184856602455,3.44052046153865,Amp,false,3,6,NA,NA,7.6502249519137,7448583686.58527,1
E11,C6,Rep1,Plate1,D08_OF_R1,D08,OF,R1,1-4-12,D08_OF_R1_Rep1,E11 Well,false,Sample,16S,Unknown,SYBR,13.2387554110303,0.9163092546313116,3.46693873569137,Amp,false,3,6,NA,NA,7.42704593480193,4455481907.11556,2
E12,C6,Rep2,Plate1,D08_OF_R1,D08,OF,R1,1-4-12,D08_OF_R1_Rep2,E12 Well,false,Sample,16S,Unknown,SYBR,13.1938094130386,0.9196833458219479,3.46942381189164,Amp,false,3,6,NA,NA,7.44238586585713,4615668558.33068,2
E15,C8,Rep1,Plate1,D09_OF_R1,D09,OF,R1,1-1-13,D09_OF_R1_Rep1,E15 Well,false,Sample,16S,Unknown,SYBR,12.4478957974361,0.9023553375555694,3.47400314229722,Amp,false,3,6,NA,NA,7.69696389166004,8294928393.01742,2
E16,C8,Rep2,Plate1,D09_OF_R1,D09,OF,R1,1-1-13,D09_OF_R1_Rep2,E16 Well,false,Sample,16S,Unknown,SYBR,12.3791180227608,0.8986332949240566,3.50700052443514,Amp,false,3,6,NA,NA,7.72043753489393,8755607498.20514,2
E17,C9,Rep1,Plate1,water_2,water,2,NA,NA,water_2_Rep1,E17 Well,false,Sample,16S,Unknown,SYBR,19.1527972285218,0.9488679289280096,3.41715394345982,Amp,false,3,10,NA,NA,5.40860162849085,42702212.5689915,7
E18,C9,Rep2,Plate1,water_2,water,2,NA,NA,water_2_Rep2,E18 Well,false,Sample,16S,Unknown,SYBR,27.6467194340838,0.8799432446190858,3.45602634559508,Amp,false,3,14,NA,NA,2.50965207027856,53889.0862732435,7
E2,C1,Rep2,Plate1,D05_NF_R1,D05,NF,R1,1-4-19,D05_NF_R1_Rep2,E2 Well,false,Sample,16S,Unknown,SYBR,12.4012150168985,0.8988688069649974,3.49651838022821,Amp,false,3,6,NA,NA,7.71289589866945,8604876633.02464,1
E21,C11,Rep1,Plate1,D01_ZF_R1,D01,ZF,R1,1-4-16,D01_ZF_R1_Rep1,E21 Well,false,Sample,16S,Unknown,SYBR,12.9832975117879,0.9226197492115201,3.4937020226368,Amp,false,3,6,NA,NA,7.5142329311304,5446050708.27921,5
E22,C11,Rep2,Plate1,D01_ZF_R1,D01,ZF,R1,1-4-16,D01_ZF_R1_Rep2,E22 Well,false,Sample,16S,Unknown,SYBR,12.9233002762004,0.9219993868884538,3.49520993334377,Amp,false,3,6,NA,NA,7.53470980334458,5708980412.69937,5
E23,C12,Rep1,Plate1,D01_OH_R1,D01,OH,R1,1-3-16,D01_OH_R1_Rep1,E23 Well,false,Sample,16S,Unknown,SYBR,11.9179711553699,0.9354020337617606,3.49623308208277,Amp,false,3,6,NA,NA,7.87782554424235,12579816143.5807,4
E24,C12,Rep2,Plate1,D01_OH_R1,D01,OH,R1,1-3-16,D01_OH_R1_Rep2,E24 Well,false,Sample,16S,Unknown,SYBR,12.3325100608122,0.9289649121391983,3.48393859959162,Amp,false,3,6,NA,NA,7.73634468914261,9082249718.61159,4
E3,C2,Rep1,Plate1,D05_OF_R1,D05,OF,R1,1-1-10,D05_OF_R1_Rep1,E3 Well,false,Sample,16S,Unknown,SYBR,11.6169260350568,0.9039388807697206,3.51859830981439,Amp,false,3,6,NA,NA,7.98057131909324,15937495263.5183,2
E4,C2,Rep2,Plate1,D05_OF_R1,D05,OF,R1,1-1-10,D05_OF_R1_Rep2,E4 Well,false,Sample,16S,Unknown,SYBR,11.9020557771359,0.9110970697358928,3.46343084715668,Amp,false,3,6,NA,NA,7.88325741394679,12738144277.101,2
E5,C3,Rep1,Plate1,D07_ZR_R1,D07,ZR,R1,1-1-17,D07_ZR_R1_Rep1,E5 Well,false,Sample,16S,Unknown,SYBR,15.1598246811029,0.8754331227523652,3.46059574394246,Amp,false,3,7,NA,NA,6.77139089382155,984554232.3412,6
