Well,Well96,PCR_Replicate,Plate,SampleName,SampleCode,SampleNameFull,label,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues
C20,B10,Rep2,Plate1,D09_OR_R1,1-2-11,D09_OR_R1_Rep2,C20 Well,false,Sample,16S,Unknown,SYBR,12.046918221428793,0.894017186506056,3.51483984355033,Amp,false,3,6,NA,NA
C21,B11,Rep1,Plate1,standardF_1,000,NA,standardF_1,000_Rep1,C21 Well,false,Sample,16S,Unknown,SYBR,9.199884748803647,0.9905217149220651,3.46718463996344,Amp,false,3,4,NA,NA
C22,B11,Rep2,Plate1,standardF_1,000,NA,standardF_1,000_Rep2,C22 Well,false,Sample,16S,Unknown,SYBR,9.31570399633786,0.9945248086190952,3.47810171362168,Amp,false,3,4,NA,NA
C23,B12,Rep1,Plate1,D01_OF_R1,1-1-3,D01_OF_R1_Rep1,C23 Well,false,Sample,16S,Unknown,SYBR,11.656338637135281,0.9072066876334478,3.48516726537287,Amp,false,3,6,NA,NA
C24,B12,Rep2,Plate1,D01_OF_R1,1-1-3,D01_OF_R1_Rep2,C24 Well,false,Sample,16S,Unknown,SYBR,11.709470570077944,0.9010376968566731,3.46630191530093,Amp,false,3,6,NA,NA
C3,B2,Rep1,Plate1,D08_OR_R1,1-1-12,D08_OR_R1_Rep1,C3 Well,false,Sample,16S,Unknown,SYBR,13.523060691733395,0.9658361491470479,3.19233831989005,Amp,false,3,5,NA,NA
C4,B2,Rep2,Plate1,D08_OR_R1,1-1-12,D08_OR_R1_Rep2,C4 Well,false,Sample,16S,Unknown,SYBR,12.37167094487835,0.9170440717613437,3.39433815938383,Amp,false,3,6,NA,NA
C5,B3,Rep1,Plate1,PCO_B1_R1,1-1-15,PCO_B1_R1_Rep1,C5 Well,false,Sample,16S,Unknown,SYBR,15.48061517262487,0.9463809677338296,3.37080426509223,Amp,false,3,7,NA,NA
C6,B3,Rep2,Plate1,PCO_B1_R1,1-1-15,PCO_B1_R1_Rep2,C6 Well,false,Sample,16S,Unknown,SYBR,15.233890803195894,0.9406225844099064,3.39579359240218,Amp,false,3,7,NA,NA
C7,B4,Rep1,Plate1,D10_ZH_R1,1-2-8,D10_ZH_R1_Rep1,C7 Well,false,Sample,16S,Unknown,SYBR,18.053938834283763,0.9016240210763615,3.39598093778951,Amp,false,3,9,NA,NA
