crAss-like viruses	Guerin_crAss_Delta	Saccharomyces	Cryptococcus	Pseudomonas	Escherichia	Salmonella	Bradyrhizobium	Azospirillum	Sutterella	Bilophila	Akkermansia	unclassified Lentisphaeria	Firmicutes: environmental samples	Staphylococcus	Bacillus	Listeria	Streptococcus	Lactobacillus	Enterococcus	Clostridium	Butyricicoccus	Clostridiales: environmental samples	Butyrivibrio	Roseburia	Coprococcus	unclassified Lachnospiraceae	Dorea	Anaerostipes	Blautia	Lachnoclostridium	Eubacterium	Oscillibacter	unclassified Oscillospiraceae	Ruminococcus	Gemmiger	Faecalibacterium	Subdoligranulum	unclassified Ruminococcaceae	unclassified Clostridiales (miscellaneous)	unclassified Clostridia	Coprobacillus	unclassified Erysipelotrichaceae	Mitsuokella	Megamonas	Phascolarctobacterium	Megasphaera	Dialister	unclassified Firmicutes sensu stricto (miscellaneous)	Bifidobacterium	Collinsella	Bacteroides	unclassified Bacteroidaceae	Alistipes	Prevotella	Odoribacter	Parabacteroides
D09-ZH-R1	-0.3503	-8.6787	-7.5549	-11.2961	2.3907	0.5496	-6.605	-6.6612	-5.5771	4.061	2.0302	-4.4058	-4.2776	2.4859	-6.17	-3.6437	-7.2623	-0.3284	-4.5605	-2.2267	4.7215	2.1249	-1.3431	-3.2387	3.0411	1.8182	3.7356	2.7899	1.3106	3.946	0.7827	4.2892	2.7864	-2.2977	4.0171	1.777	7.0255	1.6625	3.1724	3.8556	-2.6858	1.1741	-3.6368	2.863	-5.0219	0.5229	-5.3126	2.8819	2.0786	4.3825	2.0377	7.8944	4.3328	4.7436	-0.1505	2.8603	3.14
D01-OR-R1	-2.5834	-11.0694	-8.6574	-8.9219	-3.26	-2.3964	-6.8942	-5.3906	-4.2044	-5.2672	2.6693	3.8508	-7.6153	3.1282	0.7107	-3.219	-8.0291	2.0181	-3.9425	-2.1266	5.2516	2.5986	2.5977	-2.1814	5.326	3.0039	4.8031	3.0156	1.061	4.5308	1.1402	4.6411	3.4001	1.2089	6.8749	2.3582	6.5679	3.6844	5.514	5.3011	1.2324	-2.3781	-0.7638	-7.0528	-7.2038	-6.7861	-6.3617	2.8124	1.4522	2.7905	-2.5936	8.5297	0.968	7.4488	-1.6362	3.8879	6.1571
D06-OF-R2	-0.8421	-12.3551	-8.4058	-9.5073	-2.3523	-2.0851	-5.6186	-5.697	-3.6504	-0.9156	-6.8411	-3.8205	-7.6151	2.8444	-3.6215	-2.5058	-7.2227	3.5236	-2.6925	-2.6263	5.2032	3.7661	0.0782	-1.1881	4.2547	2.8966	6.6153	4.6445	2.915	6.1093	2.8051	6.4159	3.2543	1.1411	6.8525	2.1148	8.4103	2.2972	3.673	4.3918	-3.9246	2.2572	-2.0635	-5.8584	-7.7972	-5.6117	-5.5884	4.1135	2.9587	7.1457	4.9041	10.6285	-2.4197	7.6451	-0.7239	-1.7442	1.4348
D10-OH-R3	-2.106	-5.7392	-8.545	-9.4557	-3.513	-1.6493	-6.406	-7.2697	-5.897	-8.4273	-7.793	-1.4794	-9.9145	3.3601	-4.3641	-2.1451	-5.9134	1.7437	-0.3678	-1.9156	5.157	2.9679	-0.8431	-1.0621	6.3018	5.369	3.9948	3.67	2.4698	5.5668	3.9611	4.2112	3.5437	-0.774	5.4382	-0.3646	1.0377	2.1253	4.731	5.5554	4.1618	-1.5614	-1.5666	-8.5356	5.9407	4.5466	-5.979	-5.4918	2.6126	1.4124	5.9247	10.2886	-0.0031	5.0564	0.2313	3.1978	4.505
D08-NF-R3	0.6715	-7.8276	-8.4385	-10.9022	-3.4067	-2.218	-6.513	-5.7981	-6.7293	2.8492	1.5921	-1.7351	-7.8102	3.4933	-5.0599	-2.7174	-7.8752	3.2429	-3.1763	-1.8333	5.0839	3.4797	0.9174	-1.7081	5.0227	3.2951	5.407	4.0648	2.61	6.2921	1.5749	4.8016	1.7841	0.3611	7.2134	2.6386	7.1279	3.9515	4.3711	4.2784	-0.9203	2.0763	-1.7233	-6.9101	-7.3945	2.2834	-6.3079	-6.4267	2.6761	3.2023	4.4655	8.2434	-4.1914	5.3528	-2.6554	2.875	2.9793
D03-ZR-R2	0.5846	-6.9731	-9.8267	-10.0005	-3.3996	-1.9436	-5.5263	-6.0829	-7.0135	0.15	-1.8645	-0.331	-7.9933	1.8048	-5.7713	-3.9508	-8.5618	1.3348	-2.9952	0.0052	4.4786	1.3971	0.5141	-2.405	3.3177	2.956	4.594	2.5063	-0.7567	4.8588	0.2931	3.3292	3.9626	1.5706	4.2096	1.7605	5.3166	1.6129	5.2778	3.901	-2.4489	-1.0679	0.1129	-6.3637	4.2911	1.508	-6.8822	3.5797	2.4809	4.3146	5.0144	7.0377	0.5771	5.1725	7.7358	-2.2497	2.8473
D04-OH-R3	-9.5828	-10.434	-7.3081	-9.5803	-3.2106	-4.2034	-6.1723	-5.5215	-5.6697	-2.333	-1.3804	-4.532	2.3668	2.9141	-4.5453	-2.5157	-6.9603	-1.9103	-2.2979	-2.3557	5.4652	1.0797	3.2341	2.9675	4.5119	5.2614	4.6395	2.3015	0.675	3.2795	-0.0395	4.767	4.6889	3.3102	3.642	0.5552	6.4521	0.7614	4.9662	4.8991	-1.4249	-0.9141	2.3655	1.8483	-6.0658	-2.0424	-3.9874	2.0786	3.1584	5.5627	2.1772	4.6507	-2.7005	2.9957	5.6352	1.9208	2.5565
D04-NF-R2	-10.009	-10.7164	-7.7726	-9.2648	-3.2081	-4.3549	-6.4812	-5.6298	-5.761	-2.7922	-1.1074	-4.9017	1.7447	2.6982	-5.0627	-2.7113	-7.296	-1.7694	-1.4121	-2.1826	4.9298	1.3945	2.3763	3.5982	4.74	6.2488	5.3722	3.2869	1.6977	4.0787	-0.0046	5.0634	4.0713	2.5312	4.675	1.0315	6.4678	0.9324	4.3719	4.3756	-1.9625	-0.451	3.2867	2.9288	-6.3401	-2.3428	-3.8184	2.2178	2.9084	6.266	3.0753	4.1608	-3.6413	2.0873	4.9886	1.5054	1.8826
D01-NF-R3	-2.2279	-11.2385	-9.1485	-8.9282	-3.2397	-0.2536	-7.2757	-5.5734	-3.6694	-5.4383	2.9282	4.7609	-7.4492	3.226	-0.1439	-3.0748	-7.5566	3.0722	-3.3398	-2.0907	4.6841	1.849	1.6284	-1.95	4.88	3.242	4.8542	3.9676	1.9661	5.4929	1.4972	4.191	2.8249	0.2774	6.8985	3.0229	7.2363	3.4983	5.8506	4.905	0.0508	-1.4036	-0.9273	-6.4987	-7.1609	-6.5097	-6.1264	3.4375	0.9885	4.0898	-2.0187	7.0371	-1.2413	6.2279	-2.5028	3.0009	5.4014
D07-ZR-R1	-2.1827	-2.2058	-8.3038	-10.8827	-3.6254	-3.3314	-6.6949	-6.0259	5.9041	1.9068	1.9789	-3.7076	1.5419	2.8656	-5.8634	-3.2516	-7.8558	-0.1434	-2.7883	-2.4224	5.1464	1.6011	2.0092	-2.7011	2.1827	4.1062	4.8241	2.7858	1.3257	4.7482	1.0336	5.0225	3.8464	1.8924	6.4484	3.1634	7.0181	2.8379	5.6874	3.6572	-3.4624	2.2878	-2.0897	-7.3761	-6.3633	-2.2692	-5.7585	-5.7348	3.024	2.8617	-3.9244	8.17	-1.5594	5.9043	-2.3757	2.8054	4.3122
D09-OR-R1	-1.7088	-8.8176	-6.8505	-10.8135	2.6951	0.669	-6.7838	-7.1465	-5.2827	4.3522	2.3174	-4.2078	-3.7473	1.9322	-5.8622	-3.5576	-7.4191	-0.2211	-4.4252	-2.34	4.9928	2.5318	-1.5407	-3.1279	3.5948	2.1205	3.9793	2.7271	1.7525	3.8785	0.3154	4.3551	2.0747	-2.5622	4.1289	1.9012	6.721	1.7537	3.144	3.9147	-3.0767	2.0725	-3.4245	2.1658	-5.7763	-0.3379	-6.0846	1.8881	1.889	4.576	2.0334	8.2074	4.6348	5.106	0.1142	3.1595	3.4158
D07-ZR-R3	-2.6714	-2.6887	-8.0505	-11.4472	-3.9787	-3.741	-7.1349	-6.3723	5.4214	1.6468	1.6042	-4.1309	0.9961	2.9961	-5.7157	-3.3239	-7.5236	1.1553	-2.1951	-2.5033	4.9231	1.7307	1.6731	-2.3254	2.5537	4.54	5.5561	3.4449	2.1161	5.626	0.9462	4.939	3.4245	1.4649	6.9361	4.1587	6.2169	3.7582	5.7176	3.5148	-3.6489	3.3966	-1.5342	-7.5872	-6.508	-2.684	-6.07	-6.0004	2.8441	4.0607	-3.7431	7.6565	-1.9818	5.4598	-2.8164	2.1285	3.7702
D08-OR-R1	1.9539	-6.7152	-9.0769	-9.7933	-3.6029	-1.9511	-6.288	-5.9534	-6.735	3.3978	2.3146	-0.8734	-7.7547	3.4079	-5.355	-3.0293	-7.8308	2.2555	-3.4931	-2.3173	5.0598	3.7651	1.3166	-1.967	4.9287	2.4365	4.8845	3.5	1.5105	5.5148	1.122	4.8463	2.4822	1.2467	6.816	2.0688	6.4349	3.4103	4.0551	4.3423	-0.5158	0.9257	-1.7558	-7.1632	-7.6644	2.3799	-6.6245	-6.5172	2.9237	1.9883	3.0719	9.2174	-3.1882	6.6917	-1.9494	3.9856	3.8595
D02-ZR-R3	3.3862	3.3672	-6.726	-9.1081	-4.2078	-5.3072	-7.5529	-6.5451	-4.3272	-6.0931	0.5303	-3.1342	-8.3631	2.2055	-5.3834	-3.2742	-6.9881	1.6348	0.9068	-2.4316	5.1536	1.5391	2.2525	-1.188	3.9884	2.8117	5.3817	2.8317	1.0427	6.2248	0.7068	4.2072	4.1958	4.8416	6.0958	3.8664	5.4825	3.3927	3.6753	5.9308	-2.7387	0.4263	-2.4718	-7.6365	-8.4541	1.7293	-7.0167	-6.5332	4.2979	3.8825	1.1142	9.1429	-0.0961	3.8131	-0.4782	2.4817	3.5155
D01-OF-R3	-3.1621	-12.0269	-8.4639	-8.8551	-3.4915	-2.9461	-7.2471	-5.8068	-3.5207	-5.593	2.1997	2.0725	-8.0981	2.811	0.2667	-2.8267	-7.4046	2.7451	-3.4443	-1.804	5.463	2.3729	1.9312	-1.6376	6.3167	3.6225	5.3425	3.9211	2.3325	5.5363	1.4628	5.0627	2.77	0.5172	7.2125	2.8228	7.3284	3.3091	5.5168	4.7169	-0.131	-1.6566	-0.5317	-6.7814	-6.9546	-6.7619	-6.462	3.0451	1.4095	3.5711	-2.0943	8.0632	0.4545	6.5933	-2.0953	3.2859	5.7217
D01-NF-R1	-2.0203	-11.1996	-9.1252	-8.9046	-3.1203	-0.5426	-7.4316	-5.542	-3.7408	-5.7605	3.2394	4.8867	-7.6183	3.4956	-1.0166	-3.0199	-7.5291	3.4634	-3.1544	-1.9451	4.7589	1.9024	1.4212	-1.9011	5.0364	3.6373	4.9058	4.1893	2.085	5.7182	1.6354	4.0869	2.7503	0.0372	6.8363	3.195	7.4466	3.3442	5.874	4.9867	0.0324	-1.4445	-0.8717	-6.5231	-6.8018	-6.3957	-6.1875	3.2525	1.1039	4.1615	-2.0256	6.7536	-1.5507	6.0461	-2.6293	2.4066	5.313
D01-NF-R2	-1.7757	-9.9832	-9.9653	-9.6784	-2.9257	-0.6153	-6.9182	-5.2233	-4.3363	-5.4621	3.5322	4.837	-7.4689	3.7201	-0.9096	-3.2137	-7.4449	2.4363	-3.4506	-2.1019	4.7849	2.4955	2.0193	-2.194	4.5898	2.822	4.7317	3.4012	1.194	5.0071	1.6821	4.0102	3.405	0.739	6.5577	3.1279	7.7934	3.5647	6.1049	5.2068	0.4952	-1.8695	-1.0631	-6.5416	-6.9408	-6.6263	-6.0805	2.5497	0.982	4.0259	-2.1425	7.0957	-0.9157	6.808	-2.3498	2.8036	5.6742
D07-NF-R3	-1.9598	-1.9878	-8.5674	-10.3356	-3.8123	-3.6903	-7.2854	-6.1722	4.5307	1.9657	2.0442	-4.2295	0.928	3.3792	-5.7566	-3.3894	-7.6991	1.4105	-0.9243	-2.3612	3.9887	1.5673	1.6056	-2.1793	2.3706	4.478	5.6361	3.2603	2.361	5.2825	0.9286	4.7986	2.8881	1.0258	6.1694	3.4488	6.5629	3.1116	6.0479	4.039	-3.1459	3.9048	-1.1805	-7.1055	-6.7054	-3.0713	-6.1416	-6.1565	2.5995	4.8893	-3.2474	6.8852	-2.1985	5.1542	-3.2	2.0005	3.2401
D10-ZF-R1	-2.0266	-5.9649	-8.5773	-10.0991	-3.7089	-3.0281	-6.5067	-6.3692	-6.3368	-7.8746	-7.6426	-1.6872	-9.2812	3.4719	-4.4908	-2.1992	-5.8748	2.6888	-0.2207	-1.7932	5.1765	3.218	-0.9512	-1.0324	5.8577	5.7185	4.1669	3.4896	2.3489	5.882	4.4003	4.3004	3.0997	-0.9321	5.9111	-0.5635	1.027	1.9438	4.4921	5.3138	4.3195	-1.3539	-1.2951	-8.5003	5.7246	4.3307	-6.0703	-5.491	2.7283	1.3879	5.7482	10.1555	0.0104	4.4127	0.6445	3.4572	4.4453
D08-OR-R3	1.9038	-6.8124	-9.0793	-10.8817	-3.4004	-0.9278	-6.4026	-5.9241	-6.7865	3.5417	2.5146	-0.6742	-7.8798	3.5812	-5.4136	-3.0458	-7.9002	2.0736	-3.5919	-1.9985	4.9578	3.7594	1.6231	-2.1713	4.4724	2.2531	4.6057	3.0324	1.1965	5.2613	1.1389	4.3884	2.6717	1.4271	6.5528	1.9397	7.1983	3.3521	4.0556	4.5827	-0.5877	0.6943	-1.736	-7.1194	-7.7853	2.5923	-6.6149	-6.3953	2.8344	2.2103	3.1536	9.279	-3.0432	7.0421	-1.8483	4.1333	3.9973
D09-OR-R2	-1.7978	-9.1422	-8.6106	-10.9578	2.9514	0.9117	-7.383	-7.1741	-5.6346	3.9256	2.0365	-4.5467	-5.2453	2.2616	-5.7408	-3.5513	-7.5691	0.349	-4.5766	-2.5402	4.8042	2.6695	-1.4653	-2.9783	3.2104	2.6816	4.4137	3.6051	2.6121	4.561	0.1392	4.5608	2.2412	-2.5247	4.5535	2.2099	6.3538	2.0282	3.433	3.8568	-3.1065	2.7146	-2.9778	2.2255	-5.5003	-0.2848	-5.938	2.1347	2.6505	5.2294	2.8456	7.6112	3.995	4.6372	-0.5333	2.5669	2.7986
D10-ZH-R2	-0.501	-4.7789	-9.055	-8.4838	-3.3521	-2.4449	-6.2687	-4.3552	-5.9652	-8.3704	-7.8177	-1.5234	-9.749	2.7301	-4.5306	-2.219	-5.8164	1.0746	-1.6018	-2.2837	5.4572	3.7524	-0.5813	-1.1839	5.798	4.6505	3.7039	2.6669	-0.1201	4.8995	4.8299	2.9797	4.2169	-0.2224	4.1622	0.1093	1.3441	3.1723	4.7086	5.8604	4.1309	-2.2223	-1.0799	-8.3053	6.3119	4.5258	-5.9365	-5.1116	1.8263	0.3348	5.4632	10.2861	0.2921	5.2339	0.6047	3.4749	5.2792
D09-ZH-R3	0.3721	-8.6822	-7.2023	-10.9183	3.4201	1.4533	-6.0166	-6.6084	-5.4478	4.2801	2.2624	-4.1126	-3.9237	2.2761	-6.0559	-3.3888	-7.1644	-0.9372	-4.4521	-2.0034	5.0072	1.9342	-1.4165	-3.3565	3.1203	1.178	3.351	2.0622	-0.0074	3.4926	1.0049	4.3602	2.865	-2.2956	3.8293	1.2873	7.1158	1.239	2.9201	3.8407	-2.4195	0.5358	-3.936	2.5929	-4.7711	0.9397	-5.378	3.0325	1.5432	3.1835	0.5119	8.3925	4.8948	4.8932	0.3516	3.3375	3.6136
D10-OR-R2	-2.7775	-6.4997	-8.7749	-9.2696	-3.5613	-1.8954	-6.543	-7.2672	-6.2343	-7.8282	-8.2468	-1.6794	-9.7576	3.3579	-4.5842	-2.2623	-5.943	2.2953	0.0197	-1.6671	5.2668	3.8715	-0.8535	-1.1053	5.935	5.1535	3.844	3.9945	1.8301	5.6262	3.8867	4.7377	3.8417	-0.6113	5.6652	-0.3417	1.1273	2.2117	4.8419	5.4056	4.1931	-1.1846	-1.259	-8.5034	5.3785	4.1993	-6.0974	-5.9905	2.6482	2.0333	5.9901	10.2892	0.2156	4.594	0.0931	3.4335	4.7578
D07-ZH-R2	-1.8893	-1.9102	-8.1784	-10.2035	-3.5663	-3.2856	-6.7449	-5.7721	5.9522	2.0606	1.9195	-3.5925	1.7285	2.9107	-5.7112	-3.2001	-7.8976	-0.2683	-2.5781	-2.4293	5.187	1.4914	2.2543	-2.8206	2.5131	4.4165	4.6929	1.7757	0.8124	4.2637	1.0735	5.0507	3.9357	1.9956	6.4653	2.7054	6.5352	2.3687	5.857	3.8595	-3.25	1.9072	-2.2854	-6.966	-6.0071	-2.3223	-5.8547	-5.6186	3.1027	2.0413	-3.9819	8.2021	-1.5505	6.026	-2.3235	2.8169	4.287
D10-OR-R3	-3.1289	-6.7973	-8.9226	-9.5859	-3.6507	-1.8487	-6.3699	-7.532	-6.2254	-8.9159	-8.3985	-1.8575	-9.8238	3.5463	-4.2919	-2.1836	-5.9084	2.8348	0.5644	-1.6505	5.1612	3.8343	-0.894	-1.0039	5.9774	5.2324	4.0546	4.4605	2.446	5.8689	3.8845	4.8682	3.3827	-0.9252	5.9853	-0.4487	1.0997	2.0064	4.8301	5.2332	4.0508	-0.5753	-1.1783	-8.4692	5.7989	3.9816	-6.2206	-5.9441	2.9029	2.2894	6.2351	10.0994	0.0206	4.2473	-0.1473	3.365	4.6362
D06-OR-R2	0.1659	-10.5613	-7.3928	-10.7387	-2.2181	-2.3247	-5.8542	-5.6831	-4.2289	-1.2193	-7.6544	-3.7377	-7.7417	4.1093	-3.74	-2.4065	-6.8216	2.1154	-2.8219	-2.7105	5.3323	4.111	0.9112	-1.2792	3.518	2.4474	6.3036	4.5372	2.3773	5.752	2.8302	6.452	4.3539	2.1262	6.8117	1.6614	8.4191	2.4449	4.0774	5.4085	-3.9115	2.0726	-1.5828	-6.5398	-7.8223	-5.7136	-5.7012	3.9672	3.4896	6.5277	4.225	10.4183	-3.1105	7.5258	-0.755	-1.6484	1.4278
D08-NF-R2	1.2363	-7.5998	-8.3516	-10.8958	-3.4058	-1.8379	-5.6656	-5.9155	-6.7427	2.9665	2.071	-1.5298	-7.5162	3.4136	-4.399	-2.5452	-6.9912	2.38	-3.2974	-1.8359	5.0277	2.9623	0.8994	-1.8252	5.1869	2.8942	5.1693	3.7078	2.0641	5.7678	1.5461	4.7171	1.6572	0.1853	6.7753	2.3656	7.1734	3.6844	4.1535	4.1122	-0.6224	1.4964	-1.8387	-7.0239	-7.4128	1.6608	-6.1596	-6.5994	2.5697	2.5966	3.8339	8.7834	-3.5376	5.6321	-2.148	3.5521	3.455
D02-OH-R1	2.264	2.2404	-6.8991	-9.3793	-4.022	-5.2981	-6.7918	-6.7129	-4.1124	-6.7239	0.2474	-3.2433	-8.2109	2.3104	-5.2754	-3.0192	-7.1864	3.6587	1.9596	-2.4341	5.4449	1.4891	1.796	-1.0562	5.0638	2.8156	5.3484	2.6661	1.6653	6.1639	0.9899	4.6435	3.608	4.2674	6.1677	3.642	6.1445	3.1898	3.8263	5.2181	-3.2034	1.1426	-2.2284	-7.7907	-8.416	1.843	-6.6782	-6.1584	4.3786	3.799	0.7115	8.6947	-0.5709	3.6322	-0.9291	2.1326	3.1752
D01-OH-R3	-2.2141	-10.012	-8.3523	-9.1665	-3.3659	-2.8678	-7.1776	-5.7358	-4.0479	-5.5343	2.256	2.8162	-7.7106	2.8267	0.7282	-2.9989	-7.8446	2.4193	-3.6168	-1.8473	5.438	2.3971	1.9896	-1.8992	5.7881	3.1794	4.9084	3.5838	1.5629	5.0673	1.3073	4.6325	3.0603	0.6546	7.0738	2.6533	7.6239	3.5289	6.1293	4.933	0.7732	-1.716	-0.2397	-7.1634	-7.184	-6.6315	-6.2919	2.3992	1.3332	2.9493	-2.6376	8.1156	0.4101	6.7484	-2.0054	3.2232	5.7506
D04-ZF-R2	-9.4449	-9.7938	-7.5661	-9.4755	-3.3824	-4.1806	-6.1534	-5.783	-6.061	-2.0236	-1.5505	-4.9745	2.3266	2.8725	-4.9917	-2.8893	-7.3216	-1.8032	-1.7293	-1.9716	4.7453	1.5466	2.6481	3.18	4.3721	5.998	4.7606	2.6496	0.9579	3.8904	-0.1838	4.5268	4.2942	2.9593	4.4264	0.6079	6.2164	0.6213	4.1293	4.2135	-2.0437	-1.2333	3.0047	3.917	-6.4134	-1.6624	-3.0777	2.2515	3.0075	5.8875	2.4324	4.4777	-4.173	2.6212	6.3119	1.6189	2.4104
D07-OH-R1	-3.1767	-3.2002	-7.9799	-10.4612	-3.8762	-3.6886	-6.9904	-6.2841	5.2389	1.6822	1.5282	-4.2342	0.6871	2.996	-5.7609	-3.3512	-7.7221	0.5368	-1.9956	-2.3203	5.1204	1.6001	1.7774	-2.2959	3.1916	4.7679	5.6437	3.8743	2.2555	5.4051	1.0013	4.7293	3.4658	1.5335	7.0229	3.8849	6.9253	3.4688	5.8395	3.801	-3.4949	3.8764	-1.2748	-7.637	-6.6354	-3.1848	-6.2208	-6.4063	2.8679	3.6761	-3.468	7.4762	-2.2386	5.3423	-2.8105	1.9916	3.5006
D02-ZF-R1	2.6697	2.6521	-6.8981	-9.4464	-4.0363	-5.489	-6.957	-6.7829	-4.2591	-6.7614	0.6627	-3.1918	-8.6534	2.2784	-5.3911	-3.1957	-7.2821	2.8765	1.6257	-2.473	5.0959	2.0179	2.2166	-1.1299	4.7284	2.6293	5.3628	2.4486	1.1543	6.0938	0.9223	4.7555	4.0699	4.6593	6.4142	3.4386	6.2936	3.0435	3.6287	5.6179	-2.8891	0.8411	-2.3211	-7.5707	-8.4629	1.7247	-6.6292	-6.5865	4.4704	3.8962	0.3302	8.9502	-0.35	3.8783	-0.6554	2.4872	3.4775
D05-OF-R1	0.0717	-0.0266	-6.5902	-8.9549	-2.4473	-3.6926	-6.76	-6.4963	-5.5246	3.7757	0.6367	2.8658	-8.4181	5.2032	-5.5676	-3.4558	-8.2076	2.2266	-3.541	-3.0558	5.7181	2.109	0.7061	-2.5739	4.0638	1.4208	3.459	2.9194	2.8955	5.0127	2.2713	3.2929	1.8262	-1.1116	4.6733	1.5409	5.612	1.5586	3.4106	2.4087	-3.9869	-0.9123	-2.1684	-6.4907	-6.1498	-6.455	3.5014	3.4234	0.0182	5.8208	3.5599	8.1893	-2.0428	4.5034	-1.4703	1.4566	5.9487
D08-OF-R1	0.4156	-7.3201	-8.641	-10.7458	-3.4491	-1.7137	-6.8327	-5.6906	-6.5352	2.6396	2.1528	-1.1576	-7.8484	3.1112	-5.3451	-2.9739	-7.7736	2.9405	-3.3278	-1.9413	5.0841	3.6609	1.3275	-1.876	4.9763	2.9755	5.096	3.5949	1.919	5.847	1.5493	4.762	2.1112	0.7607	7.0593	2.4499	7.1936	3.7597	4.1047	3.9731	-0.5346	1.4293	-1.7516	-7.0857	-7.7027	2.107	-6.6014	-6.46	2.7592	2.7906	3.9397	8.8558	-3.5364	6.5086	-2.3338	3.8165	3.5071
D05-NF-R3	-0.1333	-0.2825	-8.9023	-8.6286	-1.8547	-3.4875	-6.7259	-5.8083	-5.1009	3.436	1.3783	2.3147	-7.5794	5.9263	-5.5203	-3.4584	-8.3226	2.2608	-3.1496	-2.652	4.7397	2.3086	1.3603	-2.3663	4.0284	1.1928	3.536	2.4099	2.7057	4.8342	2.7786	3.8147	1.9584	-0.8082	4.1826	1.836	6.4933	1.9622	4.1147	2.8684	-3.3422	-1.211	-2.2813	-5.9529	-6.4767	-6.0171	4.0229	3.3725	0.2872	5.8321	3.8349	7.1956	-3.4292	3.4548	-2.161	1.0081	4.2037
D08-ZH-R1	2.8625	-6.4975	-8.6833	-10.6604	-3.4972	-2.2699	-6.7982	-4.3609	-6.6315	3.1736	1.6474	-0.916	-6.776	3.4406	-5.593	-3.131	-7.986	1.4127	-3.5096	-2.236	4.9615	2.2167	1.2357	-2.0883	5.1995	2.6109	5.024	3.3243	1.2116	5.2815	1.5243	4.5228	2.263	0.9411	6.4512	1.9589	6.4836	3.2967	3.9222	4.0465	-0.7383	1.6816	-1.7409	-6.3179	-7.3008	2.9783	-6.487	-6.2136	2.9454	2.0888	3.9766	8.9575	-3.4613	6.4781	-1.5848	3.7804	3.5801
D10-ZF-R3	-2.7024	-6.2777	-8.6255	-10.4153	-3.915	-2.6121	-6.1269	-7.1834	-6.0815	-8.7292	-8.3071	-2.2751	-9.9064	3.766	-4.2391	-2.1489	-5.9473	3.3855	0.5251	-1.5169	5.1703	3.8529	-0.8844	-0.8857	6.1588	6.0093	4.4026	3.9937	3.1353	6.2351	4.3097	4.7165	3.0499	-1.007	6.3623	-0.1936	1.2281	1.3678	5.032	5.303	4.0832	-1.0172	-1.1869	-8.3426	6.2939	3.7528	-6.1196	-6.0492	3.193	2.1134	6.443	9.437	-0.7582	4.0104	-0.3759	2.4661	4.0339
D10-OR-R1	-2.6669	-6.3303	-8.5643	-9.3608	-3.5669	-2.2585	-6.6219	-7.5348	-6.4264	-8.3342	-8.0174	-1.7534	-10.5573	3.5288	-4.4314	-2.2251	-5.984	2.3635	0.1744	-1.5793	5.2694	3.8421	-0.8019	-1.031	5.8778	5.1713	3.9485	4.2607	2.0159	5.7476	3.8668	4.8096	3.754	-0.6642	5.8089	-0.3877	1.14	2.1141	4.8072	5.4305	4.1969	-0.8662	-1.1987	-8.3859	5.4037	4.1689	-6.0048	-5.6061	2.7924	2.1978	6.1289	10.1136	0.0339	4.4036	-0.0136	3.2009	4.6009
PCO-B4-R3	-5.521	-6.3584	10.5878	12.3862	12.581	14.1468	14.8859	-0.5396	-0.7643	-3.9297	-4.1655	-4.1652	-5.5652	-2.391	13.4339	14.2502	13.6868	2.5191	13.5394	13.1696	1.3021	-3.9144	-1.7061	-3.1797	-2.6957	-2.5083	-0.6971	-2.9848	-4.9176	-2.0698	-3.5449	-1.686	-3.0176	-4.4879	-0.0479	-3.6754	-0.3993	-3.9801	-0.259	-0.3332	-4.9216	-3.1759	-3.0808	-4.4425	-4.9725	-6.4148	-3.9657	-5.485	-1.3499	-1.286	-3.782	0.7429	-5.4322	-1.7106	-0.5734	-4.5166	-2.6174
D10-NF-R2	-1.967	-6.1619	-8.9538	-9.05	-3.4291	-2.0893	-6.3397	-6.9663	-5.7889	-8.3426	-7.4495	-2.5765	-9.2028	3.2354	-4.5867	-2.3061	-6.3382	1.5092	0.2277	-1.7145	5.6101	4.1453	-0.6982	-0.9683	6.4315	5.321	4.0191	3.9349	2.5215	5.4303	4.7191	4.3954	3.3295	-0.785	5.3382	-0.3951	1.1752	2.1029	4.9321	5.7115	3.693	-1.6093	-1.3336	-8.7552	5.9451	3.0896	-6.0714	-5.678	2.5313	1.9239	6.5919	9.7099	-0.3059	4.8296	-0.3755	3.4354	4.3988
D02-ZH-R2	3.3246	3.3049	-7.1366	-9.6735	-4.1195	-5.6937	-7.2224	-6.627	-4.527	-4.8596	0.3733	-2.8356	-8.5857	2.5534	-5.6221	-3.4228	-6.876	2.0235	0.8171	-2.5067	5.036	1.4354	2.0282	-1.319	4.1601	2.3843	5.1716	2.4204	0.68	5.9005	0.7111	4.2442	3.9213	4.5699	6.092	3.5057	4.94	3.078	3.6167	5.6508	-3.12	0.5916	-2.4634	-7.1169	-8.7095	2.1584	-2.9724	-3.5597	4.2914	3.8142	0.6919	8.5561	-0.6122	3.6594	-1.0511	1.9458	2.9803
