Ascomycota	Basidiomycota	Proteobacteria	Verrucomicrobia	Lentisphaerae	Firmicutes	Actinobacteria (201174)	Bacteroidetes
D04-OF-R3	-2.9901	-5.1704	-1.2316	-2.6277	-0.8189	5.8712	3.2846	3.6829
D04-OR-R1	-2.7429	-5.0735	-1.0432	-2.7588	-1.1176	6.0868	3.2396	3.4097
D05-OR-R1	-2.8642	-5.3976	1.7578	0.5779	-9.1835	5.8964	2.8158	6.3975
D02-OR-R3	-2.1741	-4.4852	1.1892	-4.5715	-7.8642	7.8334	2.7647	7.3076
PCO-B3-R1	2.4572	-0.5255	9.7168	-6.3384	-9.2594	8.2397	-0.585	-3.7054
D06-ZH-R2	-2.6761	-4.7984	0.105	-4.406	-8.4967	7.6364	5.106	7.5298
D04-ZR-R2	-2.9152	-5.2638	-1.1524	-1.8557	-0.8822	5.7436	2.5206	3.8051
D03-OF-R3	-2.7121	-4.6767	0.5669	-2.6252	-8.9378	7.2666	3.8115	7.3069
D01-ZH-R2	-2.916	-4.9902	1.3598	0.0923	-8.6085	7.3598	1.3231	6.3797
D10-ZR-R3	-2.4588	-4.8969	0.6065	-3.613	-10.099	7.8872	4.4507	8.1233
D05-OR-R3	-2.7683	-5.1807	1.1822	0.1	-8.8526	6.1989	3.5393	5.7811
D05-ZH-R1	-2.7502	-5.2123	1.4153	0.463	-8.5052	5.8004	3.0022	5.7868
D03-OR-R1	-2.7698	-4.7544	0.8967	-2.0414	-8.7016	6.6815	3.2797	7.4092
D04-OH-R2	-2.4661	-4.8546	-0.9276	-2.5678	-0.9954	5.9085	2.2176	3.6853
D09-OF-R1	-3.2148	-5.6048	2.8144	-6.3352	-2.2677	5.8915	2.5043	6.2123
D08-ZF-R1	-2.8091	-4.9261	1.6944	-2.6445	-8.9452	7.5921	2.4821	7.5563
D01-OF-R1	-3.0225	-5.152	1.2299	0.2022	-8.9177	7.2865	1.9512	6.4225
D03-OH-R1	-2.7077	-4.6588	0.7235	-2.7807	-8.9661	7.2266	3.936	7.2271
D10-ZH-R3	-2.2008	-4.677	1.2865	-3.3863	-10.096	7.6431	2.8185	8.6119
D01-ZF-R2	-2.7575	-4.9779	0.9944	0.1027	-9.3065	7.7642	2.1516	6.0289
PCO-B2-R1	2.1764	-0.7428	9.7658	-6.2936	-9.077	8.5019	-0.6284	-3.7022
D04-NF-R1	-3.0208	-5.197	-1.0486	-2.4987	-0.8855	6.1913	3.3285	3.1309
D06-OF-R3	-2.7171	-4.8546	-0.3714	-4.0237	-8.4822	7.9808	5.2623	7.206
D09-OH-R2	-3.3108	-5.7267	2.886	-6.314	-2.595	6.5169	2.7331	5.8105
D08-OF-R3	-2.7519	-4.9591	1.7035	-2.7958	-8.9027	7.4383	2.7426	7.5251
D04-OR-R3	-2.7542	-5.0212	-1.0091	-2.8205	-1.1541	6.0965	3.3397	3.3229
D10-OF-R3	-2.4173	-4.703	0.3077	-3.8693	-10.6765	8.0375	4.9302	8.3906
D06-ZF-R1	-2.6861	-4.8296	-0.3433	-3.8826	-8.7509	7.8203	5.2475	7.4247
D05-ZF-R1	-2.8285	-5.2314	1.1071	0.1598	-8.5135	6.2255	3.496	5.585
D06-OF-R1	-2.7132	-4.774	0.6775	-4.5577	-9.2113	7.6241	4.6649	8.2896
D03-ZR-R1	-3.0057	-5.0611	0.7316	-2.6743	-8.2499	7.122	3.907	7.2302
D09-ZR-R3	-3.2474	-5.7471	2.958	-6.4242	-2.6829	6.282	2.7537	6.1078
D01-ZF-R3	-3.1729	-5.2908	1.5835	1.1992	-9.2597	7.2047	0.753	6.9832
D03-ZH-R3	-2.9342	-4.8573	0.5334	-2.3837	-8.7163	7.1554	3.8893	7.3134
D07-OH-R2	-3.5683	-5.8722	3.0995	-6.249	-1.5052	6.8915	1.626	5.5778
D09-NF-R2	-3.2597	-5.7287	2.8051	-6.705	-2.4286	6.6581	3.3714	5.2874
