feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Faecalicatena	Temperature	Room Temp	-0.00230452138419729	0.00144963049378306	90	90	0.115940964596572	0.240942885288993
Veillonella	Temperature	Room Temp	0.00153759376213918	0.000970755013388021	90	90	0.117259376643067	0.241366016155803
Lactococcus	Temperature	Hot	0.00103534869604311	0.000661492627961617	90	90	0.121591261000615	0.248469098566473
Barnesiella	Temperature	Hot	-0.0285319362033554	0.0183400343123274	90	82	0.123823373679647	0.251210009911226
Bifidobacterium	Temperature	Room Temp	-0.445775279997698	0.297061664000166	90	90	0.137492313722983	0.274984627445966
unclassified.Eggerthellales	Temperature	Room Temp	-0.00707749220621989	0.0047118693371451	90	40	0.137120385898841	0.274984627445966
unclassified.Bacteroidaceae	Temperature	Hot	-0.0661918052619308	0.0458970417501131	90	90	0.153254958738685	0.304351396931756
Romboutsia	Temperature	Room Temp	-0.0229608787233459	0.0161042086257027	90	89	0.157924949255899	0.31143241741373
Coprobacillus	Temperature	Room Temp	-0.056823948229956	0.040164969388832	90	90	0.161117531072342	0.315521831683336
Collinsella	Temperature	Room Temp	-0.130291371477353	0.0945831022045198	90	90	0.172287313140139	0.335069119348408
Erysipelotrichaceae..environmental.samples	Temperature	Room Temp	0.00207368292518867	0.00152612453090125	90	90	0.178129524239928	0.341717862827617
unclassified.Desulfovibrionaceae	Temperature	Hot	0.000667949103492475	0.000490719392538616	90	76	0.177381680703549	0.341717862827617
Mediterranea	Temperature	Hot	-0.000800716869263131	0.000598274199803121	90	90	0.184661668313557	0.351855340975832
unclassified.Muribaculaceae	Temperature	Hot	-0.000533044930378005	0.000407117575072269	90	90	0.194271735331724	0.36768207626541
Alistipes	Temperature	Room Temp	0.336180248754273	0.258695710899462	90	90	0.197593277144733	0.371475361032098
unclassified.Burkholderiales..miscellaneous.	Temperature	Room Temp	0.00170255838922884	0.00131693021424022	90	76	0.199888466353756	0.373301639150724
Victivallis	Temperature	Hot	-0.00353802697148053	0.00275128408888399	90	27	0.2022632694972	0.375251592093489
Firmicutes..environmental.samples	Temperature	Room Temp	0.0810864045136207	0.0633862460520699	90	90	0.204604031119942	0.377113312260286
Emergencia	Temperature	Hot	0.00360548897433787	0.00285747193706176	90	60	0.210789659433997	0.385991454288228
Catenibacterium	Temperature	Room Temp	-0.00755270977997711	0.00602425603344988	90	33	0.21368972523671	0.38877743559195
Roseburia	Temperature	Room Temp	-0.167420228273236	0.13480089768195	90	90	0.217964831902365	0.394013349977351
unclassified.Lachnospiraceae	Temperature	Room Temp	-0.262703151096858	0.213961856579325	90	90	0.223213051307185	0.397587097733
Anaerobutyricum	Temperature	Room Temp	-0.0358374827261225	0.0290912388379362	90	90	0.221687516209357	0.397587097733
unclassified.Coriobacteriia	Temperature	Hot	-0.00504346159578843	0.00411630190475856	90	90	0.224171448721798	0.397587097733
Porphyromonas	Temperature	Room Temp	0.00103450517910513	0.000851167407841917	90	86	0.22788122262627	0.399959546036099
Bacteroidales..environmental.samples	Temperature	Hot	-0.00099952864903886	0.000823218851955962	90	90	0.228345698268837	0.399959546036099
Bacteroides	Temperature	Hot	-1.62682405963214	1.36550604508036	90	90	0.237120645730719	0.412765568494215
Sellimonas	Temperature	Hot	-0.00172933242459522	0.00146053185399751	90	90	0.239991782943953	0.415200507915305
Erysipelatoclostridium	Temperature	Room Temp	0.00854293348743505	0.00729054464161633	90	90	0.244851192133581	0.42102461086384
Acidaminococcus	Temperature	Hot	-0.000298841159299857	0.000257197925535215	90	90	0.248814583749446	0.425246743135416
Eubacterium	Temperature	Hot	-0.115630917371589	0.101288994456244	90	90	0.257115390504241	0.434170898935304
Sellimonas	Temperature	Room Temp	-0.00166753374542575	0.00146053185399751	90	90	0.257059017834634	0.434170898935304
Monoglobus	Temperature	Room Temp	0.00390521684147028	0.00347415918435604	90	69	0.264428590951943	0.443862277669333
Odoribacter	Temperature	Hot	-0.0357233567341294	0.0321270977888073	90	90	0.269580108780317	0.448861153577924
Intestinibacter	Temperature	Room Temp	-0.00437421042290039	0.00394222832697744	90	53	0.270590057121443	0.448861153577924
Lactobacillus	Temperature	Room Temp	-0.00747415372956295	0.00686528692664006	90	90	0.279643967031338	0.461167243876241
Raoultibacter	Temperature	Hot	-0.000533903861031848	0.000500510561749641	90	90	0.289389616806367	0.474464371740672
Guerin_crAss_Gamma	Temperature	Room Temp	-0.00120221332345203	0.00114295878115941	90	18	0.296119303640192	0.482691581656267
Staphylococcus	Temperature	Room Temp	0.00727715236257283	0.00721278905535118	90	90	0.316130960446156	0.512350177274805
Bilophila	Temperature	Hot	0.00709326907163255	0.00716200740457835	90	73	0.325039959073387	0.523778676906829
Faecalitalea	Temperature	Room Temp	-0.00253983105209934	0.00259475027834254	90	70	0.330688010399493	0.527217742723446
Selenomonas	Temperature	Hot	0.000235216862483749	0.000240415645241057	90	90	0.330913264049823	0.527217742723446
Parolsenella	Temperature	Room Temp	-0.00543960017049783	0.00559680508601402	90	37	0.334098875154933	0.529302712324108
unclassified.Bacteroidales..miscellaneous.	Temperature	Hot	-0.00489388381608245	0.00510465075311591	90	90	0.34066678804769	0.533711301274715
Proteobacteria..environmental.samples	Temperature	Hot	0.0037374744155094	0.00388355542672169	90	55	0.338830465977332	0.533711301274715
Parabacteroides	Temperature	Room Temp	0.236122941294792	0.252084210895708	90	90	0.35181293416643	0.541882415775432
Bacillus	Temperature	Hot	0.000540041244283549	0.000577041724936214	90	90	0.352224043258825	0.541882415775432
Porphyromonas	Temperature	Hot	0.000802384458728569	0.000851167407841917	90	86	0.34875171131138	0.541882415775432
Raoultibacter	Temperature	Room Temp	-0.000467103652952731	0.000500510561749641	90	90	0.353568668449218	0.541882415775432
Lachnospiraceae..environmental.samples	Temperature	Hot	-0.00466998609669381	0.00509969610635771	90	90	0.362626758594794	0.552760788776928
Parabacteroides	Temperature	Hot	0.229509700592605	0.252084210895708	90	90	0.365391006214718	0.55397991264812
Haemophilus	Temperature	Room Temp	-0.00630388945308628	0.00699195108864163	90	81	0.370049049510472	0.558041882149483
Lactobacillus	Temperature	Hot	-0.00613865964167424	0.00686528692664006	90	90	0.373987484841555	0.560981227262333
Acinetobacter	Temperature	Hot	0.00949442593435404	0.0108389988374907	90	90	0.383746590168518	0.57041639981273
unclassified.Clostridia	Temperature	Hot	0.00912567652267628	0.0104307287216741	90	90	0.384323106256804	0.57041639981273
Erysipelatoclostridium	Temperature	Hot	0.00622398980855259	0.00729054464161633	90	90	0.395881508109441	0.584495210925981
Atopobium	Temperature	Hot	-0.000466487626860426	0.00056057399073611	90	90	0.407858825660504	0.599042650188866
Prevotella	Temperature	Hot	0.269197116318609	0.330247612093419	90	90	0.417475805678101	0.606846274233116
Terrisporobacter	Temperature	Room Temp	-0.000701203347060993	0.000857969002220103	90	35	0.41625623009374	0.606846274233116
unclassified.Erysipelotrichaceae	Temperature	Room Temp	-0.0352324379063881	0.0454882352754487	90	90	0.440953350625797	0.637686383981922
unclassified.Rikenellaceae	Temperature	Hot	-0.00927743082397927	0.0120778829449608	90	90	0.444726995393081	0.639862309698209
Enterococcus	Temperature	Hot	-0.00359968917032934	0.00483089291142739	90	90	0.458426811707442	0.655032222171712
Butyrivibrio	Temperature	Room Temp	0.0115505138590311	0.0155528225685564	90	90	0.459916241099287	0.655032222171712
unclassified.Porphyromonadaceae	Temperature	Room Temp	-0.000467975875131895	0.000643530031527454	90	90	0.469279711240174	0.66500944004889
unclassified.Clostridia	Temperature	Room Temp	0.00754473734698385	0.0104307287216741	90	90	0.471647894864785	0.665023531759347
Roseburia	Temperature	Hot	-0.0956120460173519	0.13480089768195	90	90	0.480263404834548	0.668220500497031
Sutterella	Temperature	Hot	-0.0306931964421402	0.0433488358827525	90	81	0.481023977308146	0.668220500497031
unclassified.Lentisphaeria	Temperature	Room Temp	-0.0153788065507864	0.0215682597427404	90	37	0.477955289614915	0.668220500497031
unclassified.Sutterellaceae	Temperature	Hot	0.00116935301807186	0.0016713276973593	90	90	0.486224091931137	0.672133303551867
Bacteroidales..environmental.samples	Temperature	Room Temp	-0.000567979464375235	0.000823218851955962	90	90	0.492273673510183	0.677176467950593
Gordonibacter	Temperature	Room Temp	0.00457922238797961	0.00721278679147315	90	90	0.527367497471163	0.715538934735922
Olsenella	Temperature	Room Temp	0.00325120364155735	0.00509910385667686	90	90	0.525599468902027	0.715538934735922
Actinomyces	Temperature	Room Temp	-0.000434056178376613	0.000684361186735002	90	90	0.527773398670467	0.715538934735922
Candidatus.Borkfalkia	Temperature	Hot	-0.00200121909813579	0.00324351466601268	90	44	0.539037589846185	0.727313877208728
Dorea	Temperature	Room Temp	-0.0423027755348805	0.0693336076817356	90	90	0.543546746525441	0.72990563104845
Subdoligranulum	Temperature	Room Temp	0.0235625174419533	0.0389344372065695	90	90	0.546813168532678	0.730811912446517
Eggerthella	Temperature	Room Temp	-0.00740445602889037	0.0124504916921576	90	90	0.55375733128568	0.736601733125292
Bacillus	Temperature	Room Temp	0.000335784969547233	0.000577041724936214	90	90	0.562307041730311	0.737537608223012
Eggerthella	Temperature	Hot	-0.0072596060568577	0.0124504916921576	90	90	0.561522948801402	0.737537608223012
Butyricimonas	Temperature	Room Temp	-0.00767779735743975	0.0130386279369874	90	82	0.557663337556377	0.737537608223012
unclassified.Prevotellaceae	Temperature	Hot	-0.00136402389688473	0.00238878691704639	90	90	0.569633668803546	0.740261265449769
unclassified.Muribaculaceae	Temperature	Room Temp	-0.000233740068715884	0.000407117575072269	90	90	0.567529109059785	0.740261265449769
Parolsenella	Temperature	Hot	0.00305532315567744	0.00559680508601402	90	37	0.586689302377835	0.758928363626374
Staphylococcus	Temperature	Hot	-0.0038664218425416	0.00721278905535118	90	90	0.593448817518913	0.764166970503806
Carnobacterium	Temperature	Room Temp	0.00106987034788008	0.00214547314952615	90	90	0.619419440009811	0.783934155727065
Haemophilus	Temperature	Hot	-0.00353247432083267	0.00699195108864163	90	81	0.614828848195352	0.783934155727065
Lactococcus	Temperature	Room Temp	0.000333765070802457	0.000661492627961617	90	90	0.615287887679455	0.783934155727065
Victivallis	Temperature	Room Temp	-0.00137000498874785	0.00275128408888399	90	27	0.619919562862183	0.783934155727065
Gemmiger	Temperature	Room Temp	-0.0183033131877335	0.0379952464867337	90	90	0.631349189261128	0.788190945979918
unclassified.Lentisphaeria	Temperature	Hot	-0.0102182821153163	0.0215682597427404	90	37	0.63699106896878	0.788190945979918
Desulfotomaculum	Temperature	Room Temp	-0.00113436322215407	0.00239769744371392	90	90	0.637459422429319	0.788190945979918
Streptomyces	Temperature	Room Temp	0.000267812319791038	0.000570477727792559	90	90	0.640055768189366	0.788190945979918
Paenibacillus	Temperature	Room Temp	0.000167226489455261	0.000350732384435099	90	90	0.63484313793187	0.788190945979918
Atopobium	Temperature	Room Temp	-0.000266962440970218	0.00056057399073611	90	90	0.635241453995824	0.788190945979918
unclassified.Burkholderiales..miscellaneous.	Temperature	Hot	-0.000599854148746036	0.00131693021424022	90	76	0.650019178648065	0.796980036429367
Guerin_crAss_Gamma	Temperature	Hot	0.000502123812391075	0.00114295878115941	90	18	0.661644916699706	0.8077223658412
unclassified.Bacteroidaceae	Temperature	Room Temp	-0.0198508354493574	0.0458970417501131	90	90	0.666565740239692	0.810222149774108
Prevotellaceae..environmental.samples	Temperature	Hot	0.00315383706161382	0.00736359178595353	90	90	0.669612056009803	0.810431758775814
Azospirillum	Temperature	Hot	-0.0380244382561951	0.0914886345454889	90	89	0.678829828321712	0.814595793986054
Shinella	Temperature	Room Temp	-0.000735957747687437	0.00176537488537425	90	64	0.677907850525006	0.814595793986054
Akkermansia	Temperature	Hot	0.0103948855896945	0.0257918068081746	90	90	0.688028354280001	0.822135575876951
Klebsiella	Temperature	Room Temp	0.00120719585824374	0.0031010902892449	90	90	0.698128986610769	0.827194849681667
Candidatus.Borkfalkia	Temperature	Room Temp	0.00126749689188345	0.00324351466601268	90	44	0.697026030996244	0.827194849681667
Barnesiella	Temperature	Room Temp	0.00702895473289594	0.0183400343123274	90	82	0.702571458500029	0.828975528439365
Coprococcus	Temperature	Room Temp	-0.0810821885347773	0.214530168523978	90	90	0.706492564524093	0.83012876331581
Eubacterium	Temperature	Room Temp	0.0365685731598396	0.101288994456244	90	90	0.719051500486645	0.834454827725242
unclassified.Rikenellaceae	Temperature	Room Temp	0.00443718499972133	0.0120778829449608	90	90	0.714329752341418	0.834454827725242
unclassified.Prevotellaceae	Temperature	Room Temp	-0.000869030718944925	0.00238878691704639	90	90	0.716994713189787	0.834454827725242
Subdoligranulum	Temperature	Hot	0.013820864954451	0.0389344372065695	90	90	0.723564188872729	0.836250415008646
Bacteroides	Temperature	Room Temp	0.442262566712708	1.36550604508036	90	90	0.746894378960012	0.843070186219277
Alistipes	Temperature	Hot	-0.0841095120899463	0.258695710899462	90	90	0.745953825242834	0.843070186219277
unclassified.Eubacteriaceae	Temperature	Hot	0.000939449199594647	0.00290663990966017	90	90	0.747402647357515	0.843070186219277
Tyzzerella	Temperature	Room Temp	-0.00043316595043666	0.00130249722448922	90	90	0.740354251973431	0.843070186219277
Turicibacter	Temperature	Room Temp	-0.00136945581361399	0.00406033213772073	90	74	0.736814166272691	0.843070186219277
Emergencia	Temperature	Room Temp	-0.000934691915181484	0.00285747193706176	90	60	0.744465079129938	0.843070186219277
Azospirillum	Temperature	Room Temp	0.0288907232663299	0.0914886345454889	90	89	0.753009246446367	0.846010388437751
Odoribacter	Temperature	Room Temp	-0.0099167348000367	0.0321270977888073	90	90	0.758393982256057	0.848678980143683
Absiella	Temperature	Hot	0.000168357165656056	0.000577937228747089	90	90	0.771589793753906	0.858982335938356
Absiella	Temperature	Room Temp	-0.000166762184949045	0.000577937228747089	90	90	0.773693309674973	0.858982335938356
