Ascomycota	Basidiomycota	Proteobacteria	Verrucomicrobia	Lentisphaerae	Firmicutes	Actinobacteria (201174)	Bacteroidetes
D04-OH-R3	-2.6963	-4.8279	-0.9794	-2.5144	-0.9016	5.7523	2.6558	3.5116
D04-NF-R2	-2.9596	-4.9664	-0.8491	-2.7368	-1.3278	6.1945	3.5399	3.1053
D01-NF-R3	-3.4446	-5.5788	1.3277	1.9698	-8.9277	6.8603	2.3179	5.4754
D07-ZR-R1	-3.5757	-5.9384	3.3615	-5.6051	-1.2663	6.5297	0.407	6.0873
D09-OR-R1	-3.4243	-5.9812	3.2911	-6.2199	-1.6958	5.8118	2.1838	6.0345
D07-ZR-R3	-3.5647	-5.8844	2.9919	-5.9412	-1.7307	6.8244	1.6424	5.6623
D08-OR-R1	-2.905	-4.9272	1.9098	-1.8876	-8.9582	7.1929	2.0739	7.5015
D02-ZR-R3	-2.4596	-4.4198	1.538	-3.9378	-8.604	7.6497	2.62	7.6134
D01-OF-R3	-2.7385	-4.9951	1.2212	-0.4078	-9.1643	7.422	2.2165	6.446
D01-NF-R1	-3.4097	-5.5703	1.3182	2.0673	-8.9444	6.9408	2.3558	5.2423
D01-NF-R2	-3.603	-5.7216	1.5552	1.9871	-8.9458	6.8058	2.1874	5.7349
D07-NF-R3	-3.5646	-5.7671	2.464	-5.8723	-1.7134	6.7937	2.5133	5.1465
D10-ZF-R1	-2.7064	-4.8833	1.2412	-3.1722	-10.5434	7.7438	4.0835	8.2367
D08-OR-R3	-3.0471	-4.9177	2.026	-1.7902	-8.9633	7.084	2.0712	7.5371
D09-OR-R2	-3.3844	-5.8361	3.4184	-6.3904	-2.883	6.2087	3.1463	5.7203
D10-ZH-R2	-2.4317	-4.8749	1.1874	-2.8639	-10.7069	7.407	3.8339	8.4492
D09-ZH-R3	-3.0134	-5.642	3.6547	-6.0964	-2.0434	5.9278	0.9191	6.2935
D10-OR-R2	-2.6481	-4.79	0.3922	-2.8839	-10.621	7.6946	4.3921	8.4641
D07-ZH-R2	-3.4717	-5.7073	3.4071	-5.4316	-1.0874	6.3911	-0.2408	6.1407
D10-OR-R3	-2.6086	-4.7724	0.4943	-3.1086	-10.645	7.8028	4.5959	8.2415
D06-OR-R2	-2.6873	-4.8072	0.2634	-4.204	-8.7074	7.6645	4.3707	8.1074
D08-NF-R2	-2.7422	-4.8789	1.6292	-2.3392	-8.7566	7.367	2.7311	6.9897
D02-OH-R1	-2.2128	-4.3452	1.1965	-4.0276	-8.039	7.7172	2.526	7.1849
D01-OH-R3	-3.1042	-5.2071	1.2795	0.3573	-8.908	7.3446	1.6859	6.552
D04-ZF-R2	-3.221	-5.3024	-1.037	-1.7398	-1.0139	5.6834	2.8652	3.7655
D07-OH-R1	-3.4537	-5.7353	2.8953	-5.8551	-1.9768	7.0128	1.5545	5.5584
D02-ZF-R1	-2.4489	-4.4236	1.3388	-4.0243	-8.1784	7.8001	2.479	7.4573
D05-OF-R1	-2.9011	-5.0784	1.3747	0.0782	-8.9478	5.9429	3.4483	6.0832
D08-OF-R1	-2.8454	-4.9651	1.452	-2.2104	-8.8542	7.4199	2.8711	7.1321
D05-NF-R3	-2.6154	-4.815	1.4739	-0.403	-8.3095	6.1158	3.5627	4.9905
D08-ZH-R1	-2.9486	-4.7512	1.5267	-2.1072	-8.5493	7.0013	2.6525	7.1759
D10-ZF-R3	-2.3928	-4.7076	0.7254	-3.5368	-10.8601	8.1604	4.9123	7.6992
D10-OR-R1	-2.5954	-4.7033	0.3937	-2.9526	-10.7969	7.7848	4.5604	8.3092
PCO-B4-R3	3.0997	4.9053	8.82	-8.1678	-10.614	8.798	-2.4587	-4.3825
D10-NF-R2	-2.5815	-4.7252	0.6608	-3.6045	-10.2768	7.6829	4.9336	7.9108
D02-ZH-R2	-2.2732	-4.3825	1.6125	-3.7965	-8.5	7.5911	2.5976	7.151
PCO-B4-R2	3.1665	-0.3944	9.5095	-6.537	-9.7182	8.8557	-1.0228	-3.8593
D06-NF-R2	-2.686	-4.6289	-0.2427	-4.0329	-8.7915	8.0248	5.2266	7.1306
D10-ZR-R2	-2.5146	-4.9923	2.3401	-2.8903	-10.984	7.5014	3.0147	8.525
D01-OF-R2	-3.1325	-5.2124	1.335	1.0054	-9.4947	7.0498	1.9211	6.5284
D04-OF-R2	-2.9557	-4.9748	-1.1916	-2.0965	-0.3778	5.2543	2.388	3.9541
D10-ZR-R1	-2.6487	-4.9878	0.6588	-3.0605	-10.175	7.5569	4.5316	8.1246
PCO-B1-R1	1.9355	-0.8916	10.0645	-6.1203	-9.171	8.4848	-0.524	-3.7779
D04-ZH-R2	-2.8689	-5.0138	-1.254	-1.8064	-0.8248	5.5149	2.3163	3.9368
D02-ZF-R3	-2.4722	-4.4881	1.0705	-4.1955	-8.0258	7.9961	3.2428	6.8722
D06-NF-R3	-2.6093	-4.7131	-0.2939	-4.067	-8.7767	8.0673	5.3313	7.0615
D01-OH-R2	-3.0563	-5.1748	1.576	0.3454	-8.8902	7.2437	1.1197	6.8367
D07-OF-R1	-3.6362	-5.9461	3.0033	-6.025	-1.6776	6.8294	1.8225	5.6297
D04-ZF-R1	-3.0005	-5.3137	-1.0662	-1.9115	-1.0458	5.6986	2.8536	3.7856
D07-ZF-R3	-3.5176	-5.8969	2.9604	-6.0021	-1.8091	6.9662	1.6119	5.6872
D07-OH-R3	-3.9036	-5.9263	3.2625	-5.7839	-1.5462	6.7506	1.3988	5.7481
D10-ZH-R1	-2.2877	-4.7047	1.3704	-2.6391	-10.1944	7.5652	2.2447	8.6456
D07-OF-R3	-3.741	-5.9873	2.927	-5.5583	-1.7581	6.8318	1.7088	5.5772
D05-OH-R2	-2.6218	-5.0068	1.3934	0.2962	-8.7537	5.8184	2.8442	6.0301
