Well,Well96,PCR_Replicate,Plate,SampleName,SampleCode,SampleNameFull,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues
C19,B10,Rep1,Plate3,standardF_10,000,000,NA,standardF_10,000,000_Rep1,false,Sample,16S,Unknown,SYBR,21.24716168848446,0.930499564217222,3.47451165610857,Amp,false,3,12,NA,NA
C2,B1,Rep2,Plate3,standardB_100,000,NA,standardB_100,000_Rep2,false,Sample,16S,Unknown,SYBR,18.469488176833238,0.988999247174726,3.17777658065078,Amp,false,3,9,NA,NA
C20,B10,Rep2,Plate3,standardF_10,000,000,NA,standardF_10,000,000_Rep2,false,Sample,16S,Unknown,SYBR,20.74187277753795,0.90011324565573,3.47240958466518,Amp,false,3,11,NA,NA
C21,B11,Rep1,Plate3,buffer_2,NA,buffer_2_Rep1,false,Sample,16S,Unknown,SYBR,25.600968046710577,0.942616784579204,3.46270819866637,Amp,false,3,16,NA,NA
C22,B11,Rep2,Plate3,buffer_2,NA,buffer_2_Rep2,false,Sample,16S,Unknown,SYBR,24.166838189955186,0.807832895657332,3.47283057183447,Amp,false,3,13,NA,NA
C23,B12,Rep1,Plate3,D09_NF_R3,3-4-17,D09_NF_R3_Rep1,false,Sample,16S,Unknown,SYBR,10.92009372736235,0.898286451703291,3.4843240329052,Amp,false,3,6,NA,NA
C24,B12,Rep2,Plate3,D09_NF_R3,3-4-17,D09_NF_R3_Rep2,false,Sample,16S,Unknown,SYBR,11.306107246772548,0.918531109731829,3.45949393766656,Amp,false,3,6,NA,NA
C3,B2,Rep1,Plate3,D06_OF_R3,3-4-3,D06_OF_R3_Rep1,false,Sample,16S,Unknown,SYBR,10.91647106934522,0.986994811088483,3.20708414025399,Amp,false,3,5,NA,NA
C4,B2,Rep2,Plate3,D06_OF_R3,3-4-3,D06_OF_R3_Rep2,false,Sample,16S,Unknown,SYBR,10.078835596984298,0.94044377878257,3.40762801274593,Amp,false,3,5,NA,NA
C5,B3,Rep1,Plate3,D05_ZR_R3,3-1-3,D05_ZR_R3_Rep1,false,Sample,16S,Unknown,SYBR,16.449398934832153,0.961413867820104,NA,Amp,false,3,9,NA,NA
C6,B3,Rep2,Plate3,D05_ZR_R3,3-1-3,D05_ZR_R3_Rep2,false,Sample,16S,Unknown,SYBR,16.385256889558185,0.991093694954986,NA,Amp,false,3,9,NA,NA
C7,B4,Rep1,Plate3,standardF_10,NA,standardF_10_Rep1,false,Sample,16S,Unknown,SYBR,Undetermined,0,NA,Inconclusive,false,3,39,NA,NA
C8,B4,Rep2,Plate3,standardF_10,NA,standardF_10_Rep2,false,Sample,16S,Unknown,SYBR,Undetermined,0,NA,Inconclusive,false,3,39,NA,NA
C9,B5,Rep1,Plate3,standardB_1,000,NA,standardB_1,000_Rep1,false,Sample,16S,Unknown,SYBR,9.272466725120466,0.99175225666109,3.45485701028981,Amp,false,3,5,NA,NA
D1,B1,Rep3,Plate3,standardB_100,000,NA,standardB_100,000_Rep3,false,Sample,16S,Unknown,SYBR,16.782209501309737,0.99170362267667,3.42172853205804,Amp,false,3,10,NA,NA
D10,B5,Rep4,Plate3,standardB_1,000,NA,standardB_1,000_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.35754719700612,No Amp,false,3,12,NA,NA
