DNAExtractionGroup	DNAExtractionBatch	DNAExtractionDate	RNAeasyLot	RNAeasyKit	ExtractedBy	SampleID	TubePosition	RNAConcentration
2	3	2-Sep-21	169017766	Kit 3	Mai	D07_ZF_R2	17	5.28
2	4	2-Sep-21	169017766	Kit 3	Dylan	D09_OR_R2	1	22.8
2	4	2-Sep-21	169017766	Kit 3	Dylan	D03_ZH_R2	2	38.8
2	4	2-Sep-21	169017766	Kit 3	Dylan	D05_OR_R2	3	low
2	4	2-Sep-21	169017766	Kit 3	Dylan	NCO_B4_R2	4	low
2	4	2-Sep-21	169017766	Kit 3	Dylan	D05_ZR_R2	5	8.2
2	4	2-Sep-21	169017766	Kit 3	Dylan	D04_ZF_R2	6	6.24
2	4	2-Sep-21	169017766	Kit 3	Dylan	PCO_B4_R2	7	low
2	4	2-Sep-21	169017766	Kit 3	Dylan	D08_ZF_R2	8	27.4
2	4	2-Sep-21	169017766	Kit 3	Dylan	D02_NF_R2	9	348
2	4	2-Sep-21	169017766	Kit 3	Dylan	D01_ZR_R2	10	19.9
2	4	2-Sep-21	169017766	Kit 3	Dylan	D09_ZR_R2	11	8.36
2	4	2-Sep-21	169017766	Kit 3	Dylan	D07_OF_R2	12	57.2
2	4	2-Sep-21	169017766	Kit 3	Dylan	D07_ZH_R2	13	10.4
2	4	2-Sep-21	169017766	Kit 3	Dylan	D10_NF_R2	14	164
2	4	2-Sep-21	169017766	Kit 3	Dylan	D06_NF_R2	15	248
2	4	2-Sep-21	169017766	Kit 3	Dylan	D03_OF_R2	16	72.4
2	4	2-Sep-21	169017766	Kit 3	Dylan	D01_OR_R2	17	7.9
3	1	2-Sep-21	169017766	Kit 4	Mai	D01_ZH_R3	1	7.7
3	1	2-Sep-21	169017766	Kit 4	Mai	D05_ZR_R3	2	8.86
3	1	2-Sep-21	169017766	Kit 4	Mai	D03_OF_R3	3	108
3	1	2-Sep-21	169017766	Kit 4	Mai	D09_ZR_R3	4	4.4
3	1	2-Sep-21	169017766	Kit 4	Mai	D03_OR_R3	5	14.4
