feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
unclassified.Firmicutes.sensu.stricto..miscellaneous.	Kit	Omnigene	-0.137673210970843	0.0432931235707786	210	209	0.00171193919030619	0.00615867431984366
Prevotellaceae..environmental.samples	Kit	Zymo	0.0412654377872541	0.0130068823036737	210	209	0.001754187792433	0.00627122135794797
Neglecta	Kit	Zymo	-0.0131260644259816	0.0041531045901639	210	209	0.00182462156234174	0.00648250642024519
Tyzzerella	Kit	Zymo	-0.00669128995674846	0.00212284443282778	210	209	0.00187592261820323	0.00662362800995215
Parabacteroides	Kit	Zymo	0.915718507006185	0.291037198012742	210	209	0.00191070154008651	0.00662376533896655
Eubacterium	Temperature	Hot	-0.247174189062702	0.0785539733385041	210	209	0.0019097348921975	0.00662376533896655
Absiella	Kit	Zymo	-0.00210552750184843	0.000669043322509278	210	209	0.00190650890258857	0.00662376533896655
Phascolarctobacterium	Kit	Zymo	0.0933282421851378	0.0298220906070518	210	207	0.00201843927836108	0.00685475570468988
Clostridioides	Temperature	Room Temp	-0.0202838981903265	0.00647723870416064	210	209	0.00200497512556666	0.00685475570468988
unclassified.Coriobacteriaceae	Temperature	Hot	-0.0374285471420165	0.0119633648478931	210	206	0.00202435455068882	0.00685475570468988
Intestinimonas	Temperature	Room Temp	0.0375588761020154	0.0120055570556086	210	209	0.0020252687309311	0.00685475570468988
Oscillibacter	Kit	Zymo	0.21593596107352	0.0690651682027905	210	209	0.00203779318443884	0.00685657471470008
Dielma	Kit	Omnigene	-0.00147618467803202	0.00047547783423202	210	209	0.00218724308825409	0.0073163920846862
Dorea	Kit	Omnigene	-0.209706770148852	0.067698058182093	210	209	0.00223674764554078	0.00743848635610075
unclassified.Burkholderiales..miscellaneous.	Kit	Zymo	0.0039562976895222	0.00127805837831045	210	177	0.00225207228888331	0.00744615808809973
Romboutsia	Temperature	Room Temp	-0.0327372211522255	0.0106297805860785	210	208	0.00236902861851258	0.00775171990909496
unclassified.Sutterellaceae	Temperature	Hot	0.0052936520704982	0.00171903828214277	210	207	0.0023715926295308	0.00775171990909496
Raoultibacter	Kit	Omnigene	-0.00135351490595514	0.000442413302408161	210	209	0.00252823601865265	0.0082167670606211
Akkermansia	Kit	Omnigene	-0.158068637930316	0.0517489201289838	210	209	0.00256764178543411	0.00829768983767407
Butyricimonas	Kit	Omnigene	0.0337950583362698	0.0110774237597783	210	193	0.00259822960565629	0.00834936704738988
Desulfotomaculum	Kit	Omnigene	0.00701082127602194	0.00230338862412457	210	209	0.0026575088169733	0.00844497246282627
Emergencia	Kit	Zymo	-0.00674984512006122	0.00221661114845171	210	136	0.00264556150191809	0.00844497246282627
Megasphaera	Kit	Omnigene	-0.109915033360235	0.0363934689461078	210	207	0.00286265054655045	0.00904660835705446
unclassified.Eubacteriaceae	Temperature	Hot	-0.00864129432282863	0.00286471201864108	210	209	0.002896445063697	0.00910311305733344
Phocea	Kit	Zymo	-0.00222210908426556	0.00073848232234396	210	209	0.00296506889019503	0.00926786560213965
Proteobacteria..environmental.samples	Temperature	Hot	0.0107015669433193	0.00356320366803637	210	125	0.00301832596068667	0.00938305679083031
Ruminococcus	Temperature	Room Temp	-0.88519234046303	0.29523299226224	210	209	0.00306673904411937	0.00948202558506099
Intestinimonas	Temperature	Hot	0.0356633647105677	0.0120055570556086	210	209	0.00334412408422919	0.0102840805170919
Enterococcus	Kit	Zymo	-0.023524782672898	0.00793302263277235	210	209	0.00339810565998307	0.0103942055481835
Faecalitalea	Temperature	Hot	-0.00417425026217127	0.0014123596807845	210	167	0.00350430678344313	0.0106620397879227
Lachnospiraceae..environmental.samples	Kit	Omnigene	-0.016143623136445	0.00547581511681266	210	209	0.00358499761986785	0.0107927296766548
Harryflintia	Temperature	Hot	0.000869030080764175	0.000294693736444592	210	209	0.00357659276641468	0.0107927296766548
Dialister	Kit	Omnigene	-0.209489663504794	0.0715865049696915	210	209	0.00383435288155166	0.0114829834986783
Parasutterella	Temperature	Room Temp	0.00848177916683348	0.00290017362436791	210	148	0.00385575300880299	0.0114869308387256
unclassified.Clostridiales..miscellaneous.	Kit	Zymo	-0.330802040334496	0.113600349402619	210	209	0.00400785456203255	0.0118782010854022
Gordonibacter	Kit	Omnigene	-0.0173122644590368	0.00594922126431196	210	209	0.00403220475872161	0.0118887686700452
Anaerostipes	Kit	Omnigene	-0.175505429885163	0.0604829948039321	210	209	0.00413564936066592	0.01213123812462
