Ascomycota	Basidiomycota	Proteobacteria	Verrucomicrobia	Chlamydiae	Lentisphaerae	Firmicutes	Actinobacteria (201174)	Bacteroidetes
D09-OF-R3	-2.0751	-4.5318	4.5173	-6.0059	-4.102	-1.2492	5.605	1.617	6.2247
D09-OR-R1	0.1218	-0.5001	3.3245	-6.0507	-7.7142	-0.5669	4.2882	1.9452	5.1521
D09-OR-R2	-0.0187	0.2906	2.4407	-6.1133	-1.0417	-3.5376	2.7809	1.7881	3.4111
D09-OR-R3	0.1837	-2.1787	3.0197	-6.2008	-3.6795	-0.9297	4.4056	0.7356	4.644
D09-ZF-R1	-2.7438	-4.7113	5.455	-6.6952	-5.4952	1.5264	5.4157	0.9794	6.2691
D09-ZF-R2	-2.8606	-3.8324	4.4344	-7.2527	-1.3862	-0.1217	5.0835	0.7879	5.1478
D09-ZF-R3	-2.2167	-4.7122	4.8258	-6.9579	-2.9849	0.5376	5.2005	0.5573	5.7505
D09-ZH-R1	-1.1302	-1.3043	4.5538	-6.5816	-6.9155	-0.3134	4.123	1.2446	6.3235
D09-ZH-R2	0.9712	-0.8385	3.0163	-5.9603	-3.4391	-2.0377	2.8918	0.4847	4.9117
D09-ZH-R3	-0.1235	-2.1643	4.3931	-6.1777	-5.3326	-0.4397	4.0783	0.1942	5.5721
D09-ZR-R2	-2.9328	-4.9586	4.9209	-6.8904	-2.6447	-0.0172	5.3143	1.387	5.8215
D09-ZR-R3	-2.9928	-5.3131	5.337	-7.3501	-0.9131	0.209	4.5281	0.5346	5.9604
D10-NF-R1	-0.6323	-1.5083	1.283	-3.5919	-8.4437	-4.6697	7.7845	4.1067	5.6716
D10-NF-R2	1.5928	-0.5082	1.739	-4.2753	-3.1179	-8.9819	5.8438	1.8115	5.8961
D10-NF-R3	1.4724	2.4991	3.3673	-4.7496	-5.5027	-12.0651	6.7816	3.9852	4.2117
D10-OF-R1	0.8134	0.6913	2.1677	-1.6278	-6.2833	-7.0453	4.4379	3.1636	3.6824
D10-OF-R2	-1.1552	-1.4146	1.9427	-6.3569	-4.882	-8.8519	7.0355	5.1454	8.5371
D10-OF-R3	-0.7266	-0.4222	1.8515	-6.0519	-7.4638	-7.9136	7.2493	4.72	8.7573
D10-ZF-R1	-1.0828	-2.7479	1.8681	-4.1255	-8.5189	-7.6216	7.9098	6.0176	8.3012
D10-ZF-R2	-1.0747	-2.5071	1.1545	-5.725	-5.8625	-7.3358	7.7442	5.6448	7.9615
D10-ZF-R3	-1.0273	-3.7763	1.1975	-5.7844	-6.8307	-6.7002	8.3738	5.9362	8.6114
D10-ZH-R1	2.4237	-0.0542	1.9096	-5.6997	-5.839	-10.2652	5.4399	2.3755	9.7094
D10-ZH-R2	0.4918	-0.3541	1.999	-5.4255	-3.3716	-7.3183	4.2386	1.1994	8.5408
D10-ZH-R3	1.4767	-0.7856	2.1908	-4.4553	-7.0844	-8.7969	5.9574	0.9173	10.5801
D10-ZR-R1	-0.7828	-1.4088	1.3764	-6.4687	-5.4525	-8.5558	7.323	5.4659	8.5033
D10-ZR-R2	-1.063	-1.9078	1.2112	-6.3051	-3.5734	-8.9548	7.0635	5.0454	8.4838
D10-ZR-R3	-1.0502	-3.8163	1.3268	-5.9252	-6.5633	-6.8207	8.3959	6.1689	8.2841
