uncultured human fecal virus	Pepper mild mottle virus	Tobacco mild green mosaic virus	Tomato mosaic virus	Paprika mild mottle virus	Tomato brown rugose fruit virus	Malassezia globosa	Malassezia restricta	Azospirillum sp. 51_20	Pelomonas saccharophila	Sutterella wadsworthensis	Sutterella parvirubra	Proteobacteria bacterium CAG:139	Desulfovibrio piger	Bilophila wadsworthia	Bilophila sp. 4_1_30	Akkermansia muciniphila	Lentisphaeria bacterium	Firmicutes bacterium CAG:94	Firmicutes bacterium CAG:83	Firmicutes bacterium CAG:103	Firmicutes bacterium CAG:114	Firmicutes bacterium CAG:137	Firmicutes bacterium CAG:240	Firmicutes bacterium CAG:424	Weissella jogaejeotgali	Clostridium phoceensis	Clostridium sp. CAG:138	Clostridium sp. CAG:169	Clostridium sp. CAG:217	Clostridium sp. CAG:343	Clostridium sp. 44_14	Clostridium sp. OM05-6BH	Clostridium sp. BIOML-A1	Clostridiaceae bacterium	Butyricicoccus sp. N15.MGS-46	Butyricicoccus sp. AM42-5AC	Butyricicoccus sp. BIOML-A1	uncultured Clostridiales bacterium	Roseburia intestinalis	Roseburia inulinivorans	Roseburia sp. AM16-25	Coprococcus catus	[Eubacterium] rectale	Lachnospiraceae bacterium	Dorea longicatena	uncultured Lachnospiraceae bacterium	Blautia obeum	uncultured Blautia sp.	[Clostridium] bolteae	Murimonas intestini	Eubacterium ventriosum	Eubacterium sp. CAG:202	Eubacterium sp. CAG:251	Eubacterium sp. CAG:86	uncultured Oscillibacter sp.	Oscillibacter sp. 57_20	Oscillibacter sp. CAG:241_62_21	Oscillibacter sp.	Oscillospiraceae bacterium UBA6359	Oscillospiraceae bacterium UBA6409	Ruminococcus bromii	uncultured Ruminococcus sp.	Ruminococcus sp. CAG:403	Ruminococcus sp.	Ruminococcus sp. Marseille-P328	Ruminococcus sp. AM28-13	Ruminococcus sp. TF12-19AC	Gemmiger formicilis	Faecalibacterium prausnitzii	uncultured Faecalibacterium sp.	Faecalibacterium sp. CAG:82-related_59_9	Faecalibacterium sp. BIOML-A1	Anaerotruncus colihominis	Subdoligranulum sp. CAG:314	Subdoligranulum sp. 60_17	[Eubacterium] siraeum	Ruminococcaceae bacterium	Ruminococcaceae bacterium UBA1417	Ruminococcaceae bacterium UBA1691	Ruminococcaceae bacterium UBA6855	Flavonifractor plautii	Anaeromassilibacillus sp. Marseille-P3371	Neglecta timonensis	Clostridiales bacterium	Clostridiales bacterium UBA5901	Clostridiales bacterium UBA5909	Clostridiales bacterium UBA738	Clostridiales bacterium UBA7739	Clostridiales bacterium CCNA10	Intestinimonas butyriciproducens	Clostridia bacterium	Candidatus Borkfalkia ceftriaxoniphila	Megamonas funiformis	Megamonas sp. Calf98-2	Megasphaera massiliensis	Dialister sp.	Peptoniphilus coxii	Firmicutes bacterium CAG:110_56_8	Firmicutes bacterium CAG:129_59_24	Bifidobacterium adolescentis	Bifidobacterium bifidum	Bifidobacterium pseudocatenulatum	Bifidobacterium longum	Cutibacterium acnes	Coriobacteriaceae bacterium	Collinsella aerofaciens	Collinsella stercoris	Collinsella bouchesdurhonensis	Collinsella sp. UBA6357	Parolsenella catena	Enterorhabdus caecimuris	Eggerthellales bacterium	Coriobacteriia bacterium	Bacteroides fragilis	Bacteroides thetaiotaomicron	Bacteroides uniformis	Bacteroides vulgatus	Bacteroides eggerthii	Bacteroides ovatus	Bacteroides stercoris	Bacteroides caccae	Bacteroides cellulosilyticus	Bacteroides plebeius	Bacteroides coprocola	Bacteroides intestinalis	Bacteroides xylanisolvens	Bacteroides oleiciplenus	Bacteroides sartorii	Bacteroides mediterraneensis	Bacteroides sp. CAG:144	Bacteroides cellulosilyticus CAG:158	Bacteroides coprocola CAG:162	Bacteroides sp.	Bacteroides sp. AF39-10AT	Bacteroides sp. AM16-15	Bacteroidaceae bacterium	Alistipes putredinis	Alistipes finegoldii	Alistipes onderdonkii	Alistipes shahii	Alistipes senegalensis	Alistipes sp. CAG:157	Alistipes finegoldii CAG:68	Alistipes sp.	Alistipes sp. 56_11	Alistipes sp. 3BBH6	Alistipes sp. 5CBH24	Rikenellaceae bacterium	Prevotella copri	Prevotella sp. CAG:520	Prevotella sp.	Prevotella sp. AM23-5	uncultured Prevotellaceae bacterium	Paraprevotella clara	Odoribacter splanchnicus	Butyricimonas virosa	Butyricimonas paravirosa	Parabacteroides distasonis	Parabacteroides merdae	Parabacteroides massiliensis	Methanococcus voltae
D08-OR-R3	6.006	2.1218	3.3506	-1.3204	-0.0484	9.9466	3.5093	8.1014	-4.2162	4.4072	-6.5088	-6.2742	-0.8562	-6.3362	5.0142	6.5318	1.0046	-5.5248	0.5068	4.7146	4.3637	5.3452	-1.9987	-6.315	-4.1081	4.0221	5.9102	-2.6424	0.1499	-6.2039	-6.3412	-3.7691	0.857	-6.0242	2.1985	1.7111	-6.2699	1.8242	6.4244	-1.4818	2.6038	-6.1829	3.3172	-0.3514	4.1984	-0.4939	0.7648	2.398	1.2113	-0.8786	1.1895	2.8633	-6.356	-6.2615	1.2337	2.6629	0.9484	-2.857	5.0928	-2.2427	-5.4513	-6.1269	2.713	-2.4214	-0.5582	-3.2135	-2.4723	-6.3129	4.3946	6.1161	0.0688	-1.1295	0.674	-0.4513	-5.3768	4.0167	-3.7952	5.5067	-1.4451	3.2039	-3.1587	4.6015	-0.9778	0.2865	6.1142	3.3359	-6.1708	-5.408	2.454	0.0349	0.5621	-0.0931	-4.8758	-6.3349	-4.7556	-6.3382	-6.2739	-5.2943	0.5147	0.4834	-1.2253	1.0424	-1.9638	1.7926	5.167	0.0734	1.73	-5.383	-2.3994	-2.9141	-6.1693	2.5232	-4.2398	-5.2799	5.117	2.0216	4.6165	3.447	7.5104	1.8709	6.5932	3.4131	2.4909	-0.5427	-5.3336	-1.3944	-0.0489	-1.3012	1.8677	-6.5431	-6.2311	-1.5504	-6.387	-0.8141	3.5291	-2.3274	-2.148	7.716	8.6313	7.4996	4.6397	3.3232	-2.603	8.1032	5.0896	2.8944	2.7189	8.4269	4.1946	-1.433	-6.5058	0.3075	-6.2839	-1.5108	-1.2096	2.1358	-4.2943	-6.4966	3.2584	2.8121	-2.3921	-0.9192
D08-ZF-R1	1.0472	-3.4614	-2.6039	-5.8087	-7.9737	8.2618	-3.3616	-0.9027	-6.6838	-2.3843	-3.5621	-5.9074	-4.6229	-5.0737	2.7886	3.9568	-0.981	-5.5757	2.7671	5.5918	5.8434	5.408	1.1138	-3.9969	-1.716	-1.2946	4.3857	-4.2832	1.5263	-3.6749	-9.5262	-4.9698	1.6312	-0.14	3.3306	2.9874	-2.5541	2.978	6.2452	4.5747	0.4198	-3.5009	3.1228	2.9358	4.6602	2.2731	2.4969	5.4284	3.0389	-0.0122	-1.6072	3.2807	-10.9561	-6.0072	1.7691	1.5089	0.2685	-2.162	3.7064	-3.6392	-3.3389	-3.7937	5.2953	1.5863	4.6102	1.6567	2.326	-5.2911	6.3003	9.9186	2.3536	3.0397	2.4195	0.5192	-0.8247	5.3735	-3.8613	7.9252	-0.0079	6.4894	-4.2364	3.4544	0.739	2.3503	7.7072	2.6344	-2.3712	-2.5951	3.661	-0.7779	-0.0033	1.174	-1.1813	-10.6728	-6.9438	-4.8417	-4.502	-8.4979	3.6867	-0.6971	-0.2128	-2.5792	-3.5066	3.2095	-2.2059	1.2619	3.0833	-3.1997	-3.0826	-1.5086	-3.1995	3.8527	-2.5156	-3.5799	3.0106	3.3519	4.3485	2.0899	9.6119	3.1339	8.5076	4.0139	3.5211	-0.6202	-8.4507	0.059	0.1873	-0.7427	0.7929	-4.6496	-5.3689	-3.654	-6.2576	0.5259	3.4435	-1.9854	-2.896	7.5395	5.5732	5.0486	2.6089	0.1599	-5.2854	4.0629	4.0519	-1.4226	0.7519	5.9201	2.2493	-5.3225	-8.4821	-2.6662	-9.9961	-0.3922	-3.084	4.3162	-2.0188	-7.7955	2.9019	4.0116	-0.8929	-0.8137
D08-ZF-R2	0.6187	-3.4257	-3.2196	-6.3644	-7.8578	7.7128	-5.5628	-0.1645	-6.1919	-2.1615	-5.1281	-5.7878	-10.2907	-5.5629	2.4225	3.8795	-0.9586	-4.814	3.6985	5.7244	6.681	6.2971	1.4132	-2.6502	-1.725	-2.4568	5.339	-4.2124	2.6835	-5.3508	-9.3423	-4.3208	3.055	1.0865	3.759	3.3488	-1.7202	3.4194	6.5863	5.4239	1.0009	-3.2681	3.2017	3.47	5.8208	2.728	3.1201	5.2002	3.4343	0.7944	-1.9004	4.0695	-10.2532	-5.3116	1.5272	2.0927	0.641	-1.7183	4.0358	-2.6518	-2.7804	-3.7194	5.5498	1.7361	5.272	1.9442	2.6136	-8.2541	6.2205	9.6899	2.4979	3.2785	2.2724	1.3763	-4.1288	5.249	-2.759	8.2744	0.0517	5.9954	-3.6166	4.0163	0.6483	3.0409	8.1917	2.7705	-1.5648	-1.9867	4.4469	0.0542	0.373	1.8542	-1.7161	-10.2093	-7.9451	-4.8773	-9.2219	-6.8175	4.0659	-0.1653	0.1225	-3.1623	-4.1201	2.2848	-2.5791	1.0606	2.8529	-2.6891	-2.3668	-1.8929	-3.2066	4.7832	-2.2003	-3.6412	2.6168	2.8738	4.1062	2.1236	9.1518	2.8445	7.944	3.8726	2.9306	-0.6294	-6.6599	-0.7978	0.1702	-0.226	0.944	-4.0219	-5.4141	-3.8181	-6.1838	1.2407	2.8344	-2.1717	-3.4481	6.9658	5.3014	4.8697	2.0733	0.3027	-6.1026	4.2848	3.6183	-1.2054	0.3744	5.5598	1.5251	-3.872	-7.9635	-2.5007	-10.0751	-0.21	-2.7062	3.8565	-2.9569	-7.495	2.4335	3.036	-1.2274	-5.0495
D08-ZF-R3	2.3957	-1.8647	-1.0144	-4.1963	-5.6872	9.7867	-2.9252	1.7305	-7.2927	-2.2671	-6.9722	-6.2374	-10.8538	-5.3742	2.1231	3.1895	-0.9123	-5.8472	2.4642	4.599	5.5239	5.483	0.8331	-4.0379	-2.5442	-2.3618	3.9964	-4.736	1.9488	-8.3647	-9.6798	-5.6129	0.5069	-0.3997	2.6909	2.8067	-2.4297	3.191	6.3678	3.8936	-0.4247	-5.0471	1.9785	1.9767	3.9376	1.3652	1.9908	4.7348	2.1851	-0.5764	-3.099	2.2471	-8.1643	-6.5455	1.0563	1.7116	0.0798	-2.8374	3.966	-2.9819	-3.0336	-5.1578	4.6326	0.3697	4.844	0.7513	1.7054	-9.7384	5.4279	8.8014	1.5591	2.3293	1.1547	0.426	-2.4576	4.4988	-4.0706	7.256	-0.6734	5.3518	-3.7701	2.9191	0.3567	2.0957	7.8538	2.0472	-2.984	-3.019	3.3207	-0.476	-0.353	0.685	0.0497	-10.6976	-10.4919	-5.4013	-8.4578	-5.3224	4.1331	-0.1027	-1.3944	-4.4999	-4.8422	1.0122	-1.3582	0.4216	2.193	-3.7716	-2.3431	-2.5152	-3.6917	2.9728	-5.4139	-4.7054	4.1382	4.3834	5.9928	3.711	10.7408	4.4114	9.8732	5.2999	4.5683	1.0301	-5.0545	0.9233	1.6135	0.2015	2.193	-2.913	-4.5241	-3.1439	-6.0384	1.973	4.5491	-0.4229	-1.4654	9.3785	6.4048	7.0841	4.3023	2.1379	-5.3248	5.2517	6.0738	-0.211	2.7034	7.8698	3.7865	-3.1791	-8.3921	-0.7072	-7.5568	0.259	-0.5496	6.104	-0.8102	-6.3814	4.3799	5.0685	0.1715	-7.8018
D08-ZH-R1	0.9975	-6.6361	-3.631	-6.3737	-6.328	7.6263	3.7648	5.6354	-2.5607	3.9395	-4.873	-2.2021	-4.2413	-3.7108	4.564	6.5268	0.7703	-3.4913	0.3227	3.8429	2.4932	2.6547	0.0252	-6.4247	-6.5025	5.2938	7.1361	-6.4505	3.0279	-6.7218	-6.3638	-4.9502	0.0808	-4.2566	3.0011	-0.7746	-6.4975	-0.5964	5.2897	1.453	0.1185	-6.4395	0.6552	-0.0782	3.2986	-0.9543	0.9566	0.0145	-0.682	-4.3161	-0.5014	-2.0407	-6.4156	-6.497	5.0548	1.1099	1.311	-6.5153	3.6302	-6.5446	-6.2709	-6.3966	2.5729	0.4728	1.3318	-0.1139	2.2135	-6.189	2.3541	8.2134	0.0206	4.6492	1.6426	2.0039	-1.9569	1.8999	-5.4602	6.118	-1.9047	1.6542	-6.3635	4.0777	-1.1846	0.9614	6.944	4.6453	-3.5075	-2.5483	0.5809	-3.3527	0.2671	0.251	-3.6829	-6.4779	-1.0722	-6.3467	-6.4135	-6.412	2.2508	0.053	-2.095	2.547	0.3293	0.5307	3.9696	-6.3643	-0.1868	-6.5024	-6.3784	-6.3033	-4.8448	-0.1932	-6.3757	-6.3436	5.319	5.1378	6.3378	4.5219	11.2167	5.2838	10.0933	6.4026	5.0974	0.7853	-4.9592	2.3562	2.3352	0.6041	2.9722	-2.753	-2.4967	-1.212	-4.577	1.6394	6.7291	0.5712	-0.8264	9.1824	8.7314	6.3726	4.6068	2.144	-6.4912	7.0821	5.0083	0.1796	1.815	7.782	2.6571	-2.2631	-5.4656	-0.8474	-6.4267	0.7214	-1.245	5.5579	-1.6135	-5.4645	5.5004	5.3273	0.4318	4.8014
D08-ZH-R2	0.3663	-6.681	-3.8203	-5.7778	-6.5751	8.2746	-0.6325	5.0464	-1.6708	3.9245	-3.634	-2.7586	-2.7252	-6.7298	4.4682	6.1056	0.8349	-6.8075	1.2436	3.7814	3.8683	3.5495	0.2798	-6.5526	-6.8732	1.8346	5.9253	-4.8242	3.2461	-5.0773	-6.914	-3.6101	-0.0037	-3.1509	3.0867	0.6885	-6.6462	1.1638	5.42	1.3046	-0.0422	-6.6239	0.0093	0.5759	3.0787	-1.0608	1.2807	0.6329	0.5014	-1.0432	-1.7528	-0.9202	-6.8132	-7.0735	3.8231	1.2815	0.1363	-2.9783	4.1061	-4.5631	-3.4801	-4.0555	2.8316	0.2395	1.4485	-0.3147	1.1199	-6.6229	3.1624	7.671	0.3204	2.8489	0.7132	2.2394	-5.6307	2.6963	-3.8046	5.9151	-1.1876	2.4024	-6.6184	3.7924	-1.1007	0.4544	7.3925	4.709	-3.2251	-2.4763	1.8019	-1.7561	0.5636	0.2975	-2.1663	-6.5863	-5.761	-6.8277	-6.762	-6.5828	2.5345	-0.344	-1.6424	-0.6602	-3.5901	0.0232	2.4852	-1.1917	-0.0899	-4.1812	-5.9264	-3.0412	-4.2682	-0.616	-4.8165	-4.7941	4.8469	4.8834	6.0745	4.7232	10.7696	4.9128	9.6652	6.0502	4.9485	0.6342	-6.7663	1.6295	2.1105	1.4634	2.978	-1.1613	-2.4114	-2.2068	-4.8213	1.8254	6.0166	0.2792	-0.7322	8.8151	8.1806	6.3353	4.4735	2.3302	-5.8526	6.9579	4.9571	1.4385	1.681	7.6911	2.7372	-0.2772	-6.6716	-1.6805	-3.8141	0.1547	-0.5059	5.2254	-2.0362	-6.6546	5.1034	5.1265	0.4343	-2.9057
D08-ZH-R3	0.6475	-4.0486	-3.3015	-5.0452	-8.257	8.7088	-1.2259	3.706	-7.6103	-0.2733	-5.7391	-1.7803	-9.6501	-3.7514	4.7611	6.4377	1.3237	-6.0902	2.0255	5.8242	4.2542	4.0444	0.3936	-5.2422	-4.3173	-0.0441	6.6915	-4.8102	3.5584	-9.8568	-9.6382	-6.1583	0.2475	-2.1653	2.9401	1.142	-4.4823	1.2214	6.2725	2.3613	-0.4731	-4.6312	0.9797	0.1735	3.391	-1.2966	1.5691	0.9306	0.3983	-1.5728	-1.3743	-0.0843	-9.8752	-6.8842	4.3186	2.0011	1.3552	-2.3013	4.8323	-3.5138	-4.18	-6.3838	3.2447	0.2724	2.4038	-0.7261	1.4861	-10.0319	4.1161	8.1567	1.0271	4.0862	1.4679	2.201	-5.2119	3.4735	-2.9032	6.5054	-2.1017	2.5633	-4.8562	4.3281	-0.5231	1.249	8.2954	5.1481	-2.3593	-2.5011	2.1859	-1.3912	0.8204	1.0739	-1.8491	-9.7325	-9.8611	-6.437	-9.6627	-7.4991	2.7925	0.5821	-2.5644	-3.505	-5.974	-1.0836	0.72	-1.3936	0.5378	-3.7836	-4.0991	-4.3563	-5.5945	0.9151	-4.1454	-5.2557	5.1168	5.3328	6.5085	4.9369	11.232	5.3255	10.2953	6.5777	5.5386	1.0596	-4.3987	2.6276	2.1212	1.375	3.2075	-1.6803	-2.3812	-2.763	-3.5096	2.1096	6.6918	0.7136	-0.5555	9.2086	8.8856	6.9709	4.655	2.73	-4.8403	7.6719	5.5291	1.597	2.2869	8.2796	3.4596	-0.5972	-6.8773	-2.7165	-5.4342	0.3303	-0.1365	5.6963	-1.3559	-5.0407	5.2907	5.7904	0.5729	-8.1405
D08-ZR-R1	2.0753	-2.4294	-1.8164	-4.9159	-8.1941	9.0473	-7.0825	-2.385	-6.5524	-3.3126	-5.2394	-5.2601	-6.4319	-4.9569	1.8079	3.3918	0.013	-4.9064	3.5106	5.1474	7.0875	5.5379	1.8	-3.3688	-2.1023	-3.2134	4.9448	-4.5751	2.1387	-5.6371	-11.3656	-5.2518	1.3407	0.1751	3.1736	3.6459	-1.8753	3.8069	6.8038	4.5613	0.3723	-4.2852	2.6519	2.155	4.7675	1.6305	2.7048	4.3014	2.7013	0.5766	-2.6569	4.1444	-9.6009	-5.943	0.6474	2.1745	0.5026	-1.8392	4.5283	-2.6314	-3.1233	-4.4977	5.0068	0.9816	5.8649	1.483	1.9494	-8.9392	6.7287	8.2862	1.2235	2.9597	0.7052	0.7443	-3.5377	5.5514	-3.6906	7.9072	-0.4647	5.1417	-3.7727	3.413	0.1987	2.525	8.4687	3.3058	-1.6355	-2.0704	4.8142	-0.6766	0.4606	1.1304	-1.0962	-11.1393	-7.997	-4.5609	-7.5664	-6.065	4.341	0.4067	-0.1324	-4.2191	-4.9883	1.4667	-4.4951	0.6532	2.5099	-2.8523	-2.9785	-2.4345	-3.5305	4.1847	-4.6489	-3.9947	4.3543	3.7014	5.1746	2.9608	9.4223	3.3535	8.42	4.5938	3.5122	-0.0986	-5.6147	0.1153	0.1538	-1.0579	1.5321	-3.8326	-5.0886	-3.8114	-6.5146	0.6049	4.0499	-1.523	-2.7217	7.3878	6.9193	5.6794	2.7593	1.3607	-6.6598	6.1714	4.1844	0.4986	1.0706	6.1606	2.4324	-4.5628	-7.9328	-2.346	-7.9333	-0.2908	-0.4643	5.8708	-2.0495	-6.3008	4.5219	4.1797	-0.869	-4.8175
D08-ZR-R2	2.503	-2.0011	-1.7472	-4.5323	-6.1318	9.11	-5.3996	-0.9529	-6.1048	-1.8406	-4.4233	-3.3686	-8.3791	-5.3502	1.7127	3.2319	0.7025	-5.2437	3.5723	4.2258	7.5657	3.7838	1.6359	-4.0197	-4.6364	-4.7232	4.4303	-4.8206	1.0371	-6.9162	-10.5548	-4.5895	1.919	0.4539	2.4407	3.1894	-2.4811	3.2294	6.1267	3.6248	0.2247	-5.0898	0.2723	0.7757	4.8248	0.2594	2.1243	2.0643	0.7069	0.1491	-2.8794	4.1976	-10.4979	-5.1527	0.9156	1.4585	0.0799	-2.306	4.1789	-2.6917	-3.1932	-5.0499	4.2537	-0.3874	5.3708	-0.7032	1.8241	-9.6217	5.6918	6.8981	0.2711	1.9714	-0.8258	0.5591	-3.2008	4.5198	-3.9717	6.9117	-1.1724	4.0685	-4.7036	3.5107	-0.0167	1.295	8.7107	4.5664	-2.0178	-2.0371	5.3242	-1.6591	0.826	0.5173	-0.2765	-8.4618	-10.5243	-5.5405	-8.2017	-5.1565	4.5446	0.0957	-1.4631	-5.5823	-6.0652	-0.4287	-3.4524	-1.1987	0.4854	-3.5935	-2.9977	-4.2308	-4.3464	4.0481	-4.3362	-4.3764	5.0469	4.8062	6.3104	4.3031	10.778	4.5811	8.9838	6.1884	4.6948	0.5683	-4.8999	1.4753	1.2217	0.7863	2.4309	-2.3708	-3.9537	-3.094	-4.8408	2.0184	4.958	0.3937	-1.3519	8.1513	7.7575	6.554	3.7889	2.3011	-6.2765	7.0904	4.9413	1.3814	1.9176	7.8052	3.1761	-2.1055	-7.1181	-1.2073	-6.9412	0.3391	0.3025	6.5609	-0.8178	-5.6014	5.1068	5.2818	0.5669	-9.3526
D08-ZR-R3	3.8489	-0.2547	0.4398	-2.5713	-4.9962	11.5417	-3.492	1.5565	-6.5032	-2.3455	-6.2939	-5.0922	-10.5012	-5.4041	2.8482	4.2066	-0.1272	-5.0078	2.3801	5.6358	5.6626	4.7866	1.4186	-4.6257	-1.7091	-2.337	4.1013	-4.319	1.6588	-6.108	-10.4813	-5.97	0.4531	-0.5907	2.3046	2.6786	-3.3581	2.6819	5.7011	2.9459	0.514	-4.2849	2.7846	1.7245	4.2589	1.5991	1.9639	4.7269	1.8078	-0.3828	-1.7136	2.9682	-8.0032	-6.3358	1.82	1.0496	0.2264	-2.2084	4.1117	-3.5729	-3.1266	-5.4423	4.8233	1.4713	4.9157	0.4814	1.7536	-8.9858	5.3987	7.928	0.2941	1.9176	0.3219	0.4929	-1.699	4.132	-3.9878	7.0783	-1.2083	4.8072	-3.7504	3.4326	1.0516	1.1281	7.5135	3.739	-2.8947	-3.6792	3.4825	-1.5482	-0.3783	0.7837	0.5875	-10.456	-10.4054	-6.0062	-8.1763	-4.612	3.4157	-0.2065	-1.4385	-5.7478	-6.0178	1.1693	-1.4463	0.7609	2.7703	-2.9842	-2.1696	-1.7346	-4.0971	4.4064	-2.9694	-4.0446	3.8761	4.144	5.9627	3.3237	10.3782	3.6826	9.7191	4.9667	4.7711	1.9729	-6.4613	0.2309	0.9216	0.9204	1.8809	-3.8368	-4.2294	-3.5537	-6.8815	2.9588	4.5558	-1.3281	-1.5808	8.0746	7.4033	5.8234	3.4341	1.8365	-5.9518	6.3865	4.4202	0.7152	1.0436	6.8332	3.3822	-4.672	-10.475	-1.8066	-7.7242	0.5984	-2.3068	4.6986	-0.9806	-5.0312	3.871	5.2582	0.6723	-10.5574
D09-NF-R1	4.5158	0.985	1.3792	-3.8166	-1.0698	12.0318	-3.4086	1.1813	-6.1418	-0.4806	7.3329	-10.0692	-6.6232	-5.3018	5.5103	1.4733	-1.4666	-3.4714	-0.5989	6.9838	4.3868	6.9591	-3.3062	-3.0414	-9.823	0.7095	6.4199	-4.1515	6.5254	-8.6627	-8.5549	-7.8356	-1.2336	-6.1758	4.1282	1.4593	-4.592	1.3401	4.0542	-5.2959	-0.648	2.3819	3.6933	0.7568	3.1369	0.9808	1.9842	2.4543	2.6747	0.4968	-1.5625	2.8752	-9.7488	3.0396	2.8747	4.1198	1.31	6.8792	7.5501	-0.9424	-2.1642	-6.2314	3.024	-4.922	-0.5852	0.7182	-2.565	-9.6596	6.6555	8.5383	1.623	4.7576	2.4232	5.0842	-5.6066	1.3914	2.1655	7.6573	-2.6241	-1.5174	-5.2852	7.4177	0.8211	0.1577	7.0918	4.1352	-2.6058	-3.7675	2.2591	1.4464	1.0285	1.4052	-4.3816	-6.0549	-6.4669	-6.7973	-7.4979	-7.2456	-0.7782	-4.2289	2.941	-1.6638	-1.2728	3.2941	-0.3646	2.1296	4.1777	-3.2897	-3.3275	-0.9555	-5.0175	3.9131	2.2466	-0.196	1.1371	1.7143	4.385	1.4	-1.0861	3.6157	-0.7325	-1.8415	2.8456	3.5519	-8.2331	1.4842	0.2844	-1.4215	-0.4392	5.9224	-4.0603	-0.651	-4.9989	2.0503	-2.3293	-5.1357	4.7536	4.7928	4.8579	2.9702	-1.5779	4.8567	-3.6462	4.7981	2.7531	-2.6745	2.3891	1.1725	0.919	-5.3665	-5.0689	-2.5715	-6.9695	0.3912	-4.037	-0.7139	7.2679	3.5832	3.1753	0.6234	-2.3083	0.1768
D09-NF-R2	4.0089	0.4364	1.2527	-2.8901	-1.6965	11.9993	-3.9221	1.1298	-4.7434	-0.109	7.6138	-9.7429	-6.427	-6.7159	4.8247	1.4437	-1.6029	-2.8473	-0.443	7.1005	5.4177	6.6214	-2.357	-3.826	-7.2452	-2.6981	6.4369	-3.7303	6.9467	-5.8216	-9.9889	-6.6878	-3.131	-5.7831	4.5044	1.9642	-3.3332	1.5622	4.3165	-3.9879	-0.7027	2.5217	3.1472	1.0246	3.2215	0.5349	2.2759	2.0626	2.8184	0.6506	-1.8323	2.7689	-9.8612	3.6754	2.1431	4.1286	1.2702	7.1069	7.8912	-1.0474	-1.4279	-5.8645	3.4263	-4.6105	0.3085	0.9192	-1.5271	-9.6	6.2464	8.5111	1.543	5.0158	2.3049	5.0907	-5.7621	0.98	3.4375	8.0399	-2.7552	-1.0144	-4.66	6.9629	0.8745	0.1792	7.9214	4.618	-2.5806	-2.8764	3.3277	1.8606	0.6724	1.4704	-5.002	-6.7704	-7.5816	-6.1594	-5.7045	-8.3355	-0.6506	-3.7766	3.9554	-2.4874	-0.6234	3.7432	-1.4547	2.1786	4.2289	-3.5728	-3.233	-1.3662	-5.7654	3.8462	3.0472	0.0093	0.9771	1.3342	4.1777	1.45	-0.9237	3.2993	-0.3568	-1.7266	3.4741	2.5653	-8.1853	1.7465	4e-04	-0.6042	-0.6847	5.169	-4.4562	-0.4454	-4.1948	2.0233	-2.8761	-5.6534	3.9522	4.6172	5.0126	2.7847	-1.7144	4.7481	-4.7273	5.0538	2.3964	-2.4695	2.3493	0.7324	0.8916	-5.0747	-5.4457	-2.8179	-7.2747	0.1382	-4.5167	-0.721	7.2908	3.6935	3.0165	0.491	-1.8196	-7.9012
D09-NF-R3	6.6855	2.9928	3.7006	-0.9168	0.3482	15.654	-4.3462	0.9646	-8.2614	-3.0014	7.0973	-7.1763	-6.4967	-7.2125	5.0537	1.3099	-0.8123	-3.7546	-0.2915	6.8302	5.0917	6.1047	-2.4415	-2.9328	-7.2354	-3.1358	6.7274	-3.8191	6.9127	-6.6386	-8.1927	-7.2046	-2.4124	-8.0204	4.0401	3.0001	-2.4985	2.6331	4.3092	-3.8529	-0.0865	3.7074	3.7166	1.2992	3.0999	0.9292	2.6387	2.6173	2.9966	0.4625	-1.8714	3.8715	-8.2641	2.9605	3.4657	4.7763	2.0101	7.7331	8.3072	-1.3337	-1.3587	-5.5525	3.087	-4.9023	-0.9175	-0.4438	-3.0813	-8.114	6.8672	8.6892	1.0021	4.4394	2.0266	5.6783	-6.0737	1.1394	2.2545	8.1893	-3.4312	-0.814	-4.2868	7.2798	0.9571	-0.0401	7.7388	4.9331	-1.8914	-4.741	2.8198	2.2776	0.6464	1.4463	-4.9269	-8.0814	-8.0281	-8.2261	-6.4591	-8.236	-1.0394	-4.9543	3.0701	-2.1457	-0.9424	3.9535	-2.0227	1.7327	3.1594	-3.3223	-4.4803	-1.6574	-6.0718	5.1075	3.3019	-0.0814	1.1408	1.482	3.5491	0.7651	-1.5257	3.1186	-0.2532	-2.0654	2.5009	2.4939	-8.0171	1.5595	-0.1101	-0.7107	-1.1029	5.9247	-4.7844	-1.0179	-7.1433	1.8705	-3.2253	-5.5693	3.8407	4.4775	5.4902	2.6534	-1.5336	5.3607	-3.7611	5.4552	2.6349	-2.587	2.2054	1.296	0.6396	-6.108	-4.9095	-2.7472	-8.0921	0.1744	-5.6323	0.0042	7.327	3.9926	2.8281	0.5843	-1.7618	-8.0222
