sample	tax.level	method	value
XT_D04-NFlex-R1-C	order	shannon	0.988
XT_D10-NFlex-R1-A	order	shannon	1.115
XT_D06-NFlex-R1-B	order	shannon	1.023
XT_D03-NFlex-R1-B	order	shannon	1.341
XT_D10-NFlex-R1-B	order	shannon	1.121
XT_D09-NFlex-R1-C	order	shannon	1.297
XT_D02-NFlex-R1-A	order	shannon	0.923
XT_D09-NFlex-R1-A	order	shannon	1.29
XT_D04-NFlex-R1-B	order	shannon	1
XT_D08-NFlex-R1-A	order	shannon	0.968
XT_D06-NFlex-R1-C	order	shannon	1.02
XT_D02-NFlex-R1-C	order	shannon	0.929
XT_D01-NFlex-R1-C	order	shannon	1.009
XT_D07-NFlex-R1-A	order	shannon	0.925
XT_D03-NFlex-R1-A	order	shannon	1.342
XT_D01-NFlex-R1-B	order	shannon	1.008
Flex_D10-NF-R1	order	shannon	1.179
Flex_D07-NF-R1	order	shannon	0.99
Flex_D08-NF-R1	order	shannon	1.012
Flex_D05-NF-R1	order	shannon	1.365
Flex_D02-NF-R1	order	shannon	0.955
Flex_D03-NF-R1	order	shannon	1.355
Flex_D09-NF-R1	order	shannon	1.326
Flex_D01-NF-R1	order	shannon	1.043
Flex_D06-NF-R1	order	shannon	1.081
Flex_D04-NF-R1	order	shannon	1.05
XT_D04-NFlex-R1-A	order	simpson	0.42
XT_D06-NFlex-R1-A	order	simpson	0.541
XT_D08-NFlex-R1-C	order	simpson	0.544
XT_D07-NFlex-R1-C	order	simpson	0.485
XT_D10-NFlex-R1-C	order	simpson	0.59
XT_D05-NFlex-R1-C	order	simpson	0.634
XT_D05-NFlex-R1-A	order	simpson	0.636
XT_D05-NFlex-R1-B	order	simpson	0.634
XT_D08-NFlex-R1-B	order	simpson	0.544
XT_D02-NFlex-R1-B	order	simpson	0.531
XT_D07-NFlex-R1-B	order	simpson	0.484
XT_D09-NFlex-R1-B	order	simpson	0.588
XT_D03-NFlex-R1-C	order	simpson	0.625
XT_D01-NFlex-R1-A	order	simpson	0.495
XT_D04-NFlex-R1-C	order	simpson	0.421
XT_D10-NFlex-R1-A	order	simpson	0.589
XT_D06-NFlex-R1-B	order	simpson	0.542
XT_D03-NFlex-R1-B	order	simpson	0.63
XT_D10-NFlex-R1-B	order	simpson	0.59
XT_D09-NFlex-R1-C	order	simpson	0.587
XT_D02-NFlex-R1-A	order	simpson	0.531
XT_D09-NFlex-R1-A	order	simpson	0.586
XT_D04-NFlex-R1-B	order	simpson	0.427
XT_D08-NFlex-R1-A	order	simpson	0.544
XT_D06-NFlex-R1-C	order	simpson	0.542
