uncultured human fecal virus	Pepper mild mottle virus	Tobacco mild green mosaic virus	Paprika mild mottle virus	Tomato brown rugose fruit virus	Malassezia restricta	Acinetobacter baumannii	Pseudomonas aeruginosa	Escherichia coli	Azospirillum sp. 51_20	Sutterella wadsworthensis	Sutterella sp. AM18-8-1	Sutterella sp. AF15-45LB	Proteobacteria bacterium CAG:139	Bilophila wadsworthia	Bilophila sp. 4_1_30	Akkermansia muciniphila	Lentisphaeria bacterium	Firmicutes bacterium CAG:94	Firmicutes bacterium CAG:83	Firmicutes bacterium CAG:103	Firmicutes bacterium CAG:114	Firmicutes bacterium CAG:137	Firmicutes bacterium CAG:240	Staphylococcus aureus	Lactobacillus fermentum	Weissella jogaejeotgali	Clostridium phoceensis	Clostridium sp. CAG:138	Clostridium sp. CAG:169	Clostridium sp. CAG:217	Clostridium sp. L2-50	Clostridium sp. 44_14	Clostridium sp. OM05-6BH	Clostridium sp. OM08-29	Clostridium sp. BIOML-A1	Clostridiaceae bacterium	Butyricicoccus sp. N15.MGS-46	Butyricicoccus sp. AM42-5AC	Butyricicoccus sp. BIOML-A1	uncultured Clostridiales bacterium	Roseburia intestinalis	Roseburia hominis	Roseburia faecis	Roseburia inulinivorans	uncultured Roseburia sp.	Roseburia sp. CAG:45	Roseburia intestinalis CAG:13	Roseburia sp.	Roseburia sp. AM16-25	Coprococcus eutactus	Coprococcus catus	Coprococcus comes	uncultured Coprococcus sp.	Coprococcus sp.	Coprococcus sp. AF16-5	Coprococcus sp. AF38-1	[Eubacterium] rectale	Lachnospiraceae bacterium	Dorea longicatena	uncultured Lachnospiraceae bacterium	[Ruminococcus] gnavus	Blautia obeum	Blautia wexlerae	uncultured Blautia sp.	Eubacterium sp. CAG:202	Eubacterium sp. CAG:251	uncultured Oscillibacter sp.	Oscillibacter sp. 57_20	Oscillibacter sp. CAG:241_62_21	Oscillibacter sp.	Oscillospiraceae bacterium UBA6359	Oscillospiraceae bacterium UBA6409	Ruminococcus bromii	Ruminococcus callidus	Ruminococcus bicirculans	uncultured Ruminococcus sp.	Ruminococcus sp.	Ruminococcus sp. Marseille-P328	Ruminococcus sp. AM28-13	Ruminococcus sp. TF12-19AC	Gemmiger formicilis	Faecalibacterium prausnitzii	uncultured Faecalibacterium sp.	Faecalibacterium sp. AF27-11BH	Faecalibacterium sp. BIOML-A1	Anaerotruncus colihominis	Subdoligranulum sp. CAG:314	Subdoligranulum sp. 60_17	[Eubacterium] siraeum	Ruminococcaceae bacterium	Ruminococcaceae bacterium UBA6855	Flavonifractor plautii	Ruthenibacterium lactatiformans	Anaeromassilibacillus sp. Marseille-P3371	Neglecta timonensis	Clostridiales bacterium	Clostridiales bacterium UBA5901	Clostridiales bacterium UBA5909	Clostridiales bacterium UBA738	Clostridiales bacterium UBA7739	Clostridiales bacterium CCNA10	Intestinimonas butyriciproducens	Intestinimonas massiliensis	Clostridia bacterium	Candidatus Borkfalkia ceftriaxoniphila	Megamonas funiformis	Megamonas rupellensis	Megamonas sp. Calf98-2	Phascolarctobacterium sp. CAG:207	Megasphaera massiliensis	Firmicutes bacterium CAG:110_56_8	Firmicutes bacterium CAG:129_59_24	Bifidobacterium adolescentis	Bifidobacterium bifidum	Bifidobacterium pseudocatenulatum	Bifidobacterium longum	Cutibacterium acnes	Coriobacteriaceae bacterium	Collinsella aerofaciens	Collinsella stercoris	Collinsella bouchesdurhonensis	Collinsella sp. UBA6357	Collinsella sp. AM10-26	Parolsenella catena	Eggerthella lenta	Enterorhabdus caecimuris	Coriobacteriia bacterium	Bacteroides fragilis	Bacteroides thetaiotaomicron	Bacteroides uniformis	Bacteroides vulgatus	Bacteroides eggerthii	Bacteroides ovatus	Bacteroides stercoris	Bacteroides caccae	Bacteroides massiliensis	Bacteroides cellulosilyticus	Bacteroides coprocola	Bacteroides intestinalis	Bacteroides dorei	Bacteroides xylanisolvens	Bacteroides faecis	Bacteroides mediterraneensis	Bacteroides cellulosilyticus CAG:158	Bacteroides coprocola CAG:162	Bacteroides finegoldii CAG:203	Bacteroides sp.	Bacteroides sp. UNK.MGS-14	Bacteroides sp. HMSC068A09	Bacteroides sp. AF14-46	Bacteroides sp. AF15-23LB	Bacteroides sp. AF16-29	Bacteroides sp. AF36-11BH	Bacteroides sp. AF37-16AC	Bacteroides sp. AF39-10AT	Bacteroides sp. AM16-15	Bacteroides sp. AM44-19	Bacteroidaceae bacterium	Alistipes putredinis	Alistipes finegoldii	Alistipes onderdonkii	Alistipes shahii	Alistipes senegalensis	Alistipes sp. CAG:157	Alistipes finegoldii CAG:68	Alistipes putredinis CAG:67	Alistipes sp.	Alistipes sp. 56_11	Alistipes sp. 56_sp_Nov_56_25	Alistipes sp. AF14-19	Alistipes sp. 3BBH6	Alistipes sp. 5CBH24	Rikenellaceae bacterium	Prevotella copri	Prevotella sp. CAG:520	Prevotella sp.	Prevotella sp. AM23-5	uncultured Prevotellaceae bacterium	Paraprevotella clara	Odoribacter splanchnicus	Butyricimonas virosa	Barnesiella intestinihominis	Parabacteroides distasonis	Parabacteroides merdae	Parabacteroides massiliensis
D08-ZH-R1	0.7654	-7.0263	-4.2599	-7.1287	7.0543	5.1829	1.6787	3.0724	4.4659	-3.0323	-5.5131	6.7592	7.3817	-4.7712	4.5217	6.6913	0.6731	-4.0849	-0.2135	3.4776	3.9392	2.232	1.278	-7.0815	6.1233	-7.049	4.7744	6.8842	-7.1688	2.4895	-7.0518	-7.1632	-5.6325	0.9635	-6.9676	-4.7979	4.7397	1.0102	-7.1194	0.0957	5.704	4.1032	2.4197	-5.0863	0.2146	-6.8974	-7.1092	-6.9351	1.4785	-7.168	-7.1761	0.638	-4.3152	2.5378	-5.0045	-6.8013	-7.0897	1.0665	4.0609	0.2372	1.3218	-4.9779	1.1582	-0.6456	1.8498	-7.1232	-6.9395	3.7293	0.7479	-6.9884	3.783	-7.0004	-7.0025	-6.9094	-1.1813	3.5983	3.3909	2.1354	1.2587	4.2229	-7.2156	2.7904	9.1904	2.8735	2.5906	4.0504	1.8711	-2.5761	2.5552	-6.0854	6.628	-6.9519	3.8839	-5.4725	-1.5571	0.6154	7.6696	4.189	-4.0438	0.8939	0.4097	-3.8265	0.5854	-1.8588	0.67	-4.2604	-6.8204	-4.7969	-0.0841	4.4824	-7.0825	1.9609	1.9469	-1.8481	2.059	0.9029	0.4084	7.0396	-6.7941	1.2131	-7.146	-7.1012	-6.9202	-7.072	-5.3673	-1.0032	-0.7509	-7.0159	5.8489	6.6939	9.5978	7.2317	10.9385	7.636	10.4775	7.7244	-4.5603	6.564	-5.4539	3.8713	7.0485	4.4628	2.6005	-2.9402	0.6053	-5.0972	-5.0354	2.4765	4.6075	-7.1709	-7.135	-4.7717	-6.0682	-7.1202	-6.2581	10.5966	1.6853	-5.4881	0.4916	9.6549	9.46	8.7495	5.8528	1.6605	-6.9075	7.7389	5.1175	5.5279	0.417	3.9477	6.251	3.6836	7.3712	3.3046	-1.1336	-6.0666	-0.7987	-7.125	0.6387	-1.7168	7.626	-1.7176	-7.0063	8.8011	7.1631	0.1201
D08-ZH-R2	-0.1442	-7.5962	-4.5732	-7.4395	7.5651	4.7612	1.2038	5.1747	3.892	-2.3069	-4.3267	6.6071	6.6409	-2.3762	4.3405	6.1637	0.7317	-7.7792	0.5403	3.183	4.6884	2.9257	0.9384	-7.4264	4.9704	-7.3854	1.2064	5.4637	-5.5234	2.5586	-5.9622	-6.4877	-4.4011	0.8001	-7.7544	-2.706	4.3304	1.8571	-7.6865	1.4094	5.5016	3.6664	1.5386	-4.7317	-0.1815	-7.3455	-5.5788	-7.4794	2.0553	-7.5059	-5.9557	-0.2679	-2.0545	1.4924	-5.9454	-7.5325	-6.4636	1.3443	3.5329	-0.6144	1.398	-1.4321	1.3107	0.4708	2.2251	-7.4815	-7.3645	3.7213	-0.5609	-3.6158	3.9643	-5.1362	-3.961	-4.6227	1.366	3.6162	3.3412	2.1089	0.8246	3.1079	-7.3562	3.3634	8.1124	2.4088	3.0297	2.673	1.8343	-6.3565	3.1812	-4.4756	6.0937	-7.2411	3.3697	-1.1744	-1.7133	-0.109	7.5063	4.0369	-2.1744	-0.9572	1.3675	-0.9733	0.5629	-2.5933	0.1995	-2.8302	-7.6262	-7.4169	-6.5031	3.7009	-7.5059	2.0135	0.8336	-1.5211	-1.3013	-4.3228	-0.016	5.4961	0.6556	0.834	-4.966	-6.5419	-3.8051	-7.4655	-4.9768	-0.7195	-1.2829	-5.5161	5.2885	6.3973	9.2887	7.3756	10.3793	7.1731	9.9596	7.3852	-0.9399	6.3304	-7.4527	3.0833	7.261	4.2104	1.3268	-1.4445	-0.4833	-5.5689	-6.3534	2.6413	4.7233	-7.4937	-7.3899	-5.62	-7.4892	-4.4759	-7.3338	9.842	1.3437	-5.5271	0.6223	9.2446	8.8712	8.6716	5.6751	1.7336	-6.4758	7.5768	5.5249	5.4038	1.636	3.5983	6.109	3.5005	7.1544	3.3344	0.3173	-7.4374	-1.7707	-4.4735	-0.1246	-1.0537	7.2737	-2.3183	-7.4526	8.335	7.4267	-0.004
D08-ZH-R3	-0.2707	-2.6656	-4.4343	-9.3538	7.618	2.785	0.1362	0.9882	3.1703	-8.6964	-4.9665	6.6949	6.5606	-10.983	4.171	6.0455	0.6935	-5.8653	0.9589	4.8586	4.7151	3.0466	0.6817	-3.1871	2.6201	-6.7276	-1.0731	5.8297	-5.8842	2.4882	-10.6187	-7.7911	-4.1868	0.3988	-7.7964	-2.3053	3.8709	1.9553	-3.8399	1.0807	5.8973	4.1174	1.3756	-4.7199	-1.0561	-8.9725	-8.1167	0.5803	1.6105	-5.5121	-5.1423	0.2968	-2.6128	1.9292	-3.1934	-10.8188	-9.9052	0.568	3.4131	-1.174	1.3529	-2.2542	1.1584	-0.6769	1.627	-10.7584	-7.9349	3.7509	0.2844	-3.2097	4.2837	-4.3961	-5.0148	-4.9716	1.0585	4.6361	3.3209	2.8085	0.1162	3.354	-10.7507	3.8224	8.4265	3.1645	3.0836	3.2926	1.3795	-6.4062	3.4363	-3.2297	6.2257	-5.8349	3.5061	-0.5188	-1.4835	0.3124	7.9817	4.0881	-1.8629	-1.5399	1.3596	-1.0715	0.3946	-1.6006	0.6616	-2.9462	-10.7431	-10.9364	-10.697	4.0561	-5.9569	1.8953	1.4124	-2.2508	-4.4451	-5.1345	-1.3753	2.9294	-0.716	0.4975	-4.8229	-5.0449	-5.4213	-10.7973	-6.223	-0.4512	-0.1751	-5.7783	5.0689	6.3053	9.1499	7.053	10.4386	7.1547	10.1272	7.3454	-0.9155	6.3563	-4.0736	3.5354	6.5996	3.6773	1.8066	-2.394	-1.5778	-2.3648	-7.7947	2.3566	5.0891	-8.9617	-7.7389	6.5998	4.2495	-1.0096	-0.4277	9.9415	1.2494	-0.6016	0.2616	9.2026	9.1403	8.8697	5.4062	1.7446	-5.092	7.8529	5.2231	5.5512	1.3775	3.8487	6.3176	3.6794	7.3572	3.6142	-0.6383	-7.8936	-3.4035	-6.3116	-0.366	-1.0878	7.2068	-2.0111	-2.6756	8.1394	7.1583	-0.2488
D08-ZR-R1	1.2897	-0.9464	-2.7126	-9.0224	8.1326	-3.0409	-3.0616	-2.053	1.1109	-7.3687	-6.163	5.7817	6.315	-5.546	1.8901	3.7564	-0.6221	-5.3829	2.6001	4.2626	6.7265	4.6453	1.36	-2.7283	-0.4888	-5.9506	-4.0837	4.1787	-5.4455	1.2372	-6.047	-2.2753	-3.8058	1.9685	-4.796	0.4956	3.6157	5.0109	-1.6532	4.1021	6.4963	5.864	1.2379	-2.5283	-0.2635	-1.6138	-2.8453	2.6334	2.463	-5.0755	-3.8408	1.9151	0.4672	3.7323	-1.7818	-6.6644	-9.1451	2.2298	4.5947	1.7894	2.3667	-0.9113	4.354	0.9391	3.7679	-10.6159	-6.7456	3.7036	-0.3867	-2.5438	3.9302	-3.3147	-3.7807	-2.9141	1.964	6.9306	5.1439	6.3793	2.4199	3.9895	-9.8294	6.2744	7.8293	1.7873	1.3064	1.4691	-0.023	-4.4446	5.3266	-4.0127	7.6386	-4.6526	2.6571	0.0958	-0.6732	1.6569	8.0682	2.4074	-1.52	-1.5616	4.0319	-0.6764	0.0885	-1.5257	0.3485	-2.0172	-12.0567	-12.2567	-7.4292	2.1178	-3.6696	3.4756	0.2402	-0.7175	-5.1137	-5.0896	0.9586	1.2633	1.3843	2.6258	-3.7502	-3.7451	-3.3318	-10.678	-4.4235	1.3552	3.2733	-4.6137	4.422	4.7739	7.8938	5.0747	8.744	5.1172	8.325	5.4024	-2.3739	4.3839	-5.1798	1.1372	3.8772	1.8503	0.5909	-4.3427	-2.4503	-5.2309	-4.3878	0.9931	2.5219	-9.8233	-10.1628	4.2347	-11.1983	-1.7144	-9.6098	7.3643	-0.8873	-1.62	-1.636	7.5166	7.2327	7.3094	3.4754	0.5374	-6.784	6.4706	4.0968	4.3584	0.4254	2.239	4.0994	2.3345	5.3724	2.4731	-4.2913	-8.8427	-2.8219	-8.6335	-0.875	-1.2712	7.1926	-2.7264	-5.294	7.1218	5.2852	-1.5848
D08-ZR-R2	1.5844	-1.205	-2.7231	-7.1326	8.1088	-1.5631	-2.0513	0.2237	2.1929	-6.9994	-5.0606	7.1661	7.547	-9.3977	2.5664	4.4245	-0.0168	-5.5437	2.5794	3.2727	7.342	2.8171	1.3051	-3.0312	1.563	-6.7862	-5.6734	3.6027	-5.8006	0.053	-7.281	1.2592	-2.9814	2.6485	-5.6149	0.8616	3.037	4.4412	-2.1145	3.4217	5.8202	5.1674	1.5532	-3.5847	-0.4261	-1.6592	-2.6402	1.9203	2.5201	-5.895	-4.581	-0.5026	-1.5929	3.9804	-1.5831	-7.2452	-10.3862	0.8494	4.5886	0.3192	1.6679	-1.7665	2.168	-1.1602	1.7518	-11.1626	-5.9668	3.0456	-0.9022	-3.0955	3.5492	-3.4166	-3.8922	-3.0809	0.6867	7.1031	4.4907	6.1142	0.502	4.2328	-10.4576	5.2275	6.5414	1.1956	-0.1114	0.102	-0.2599	-4.2174	4.2994	-4.4048	6.6573	-5.6558	2.6994	-0.2985	-0.9489	0.3612	8.3031	3.583	-1.918	-1.5627	4.4901	-1.6371	0.4468	-1.782	-0.2092	-1.2767	-9.4579	-10.3629	-11.3924	2.0811	-4.6529	3.6184	0.1106	-2.1319	-6.5768	-6.2013	-0.903	0.9207	-0.4885	0.5608	-4.5722	-3.8434	-5.2603	-11.2086	-5.3201	-0.257	3.0535	-4.9289	4.9773	5.6876	8.8125	6.2299	10.0162	6.1007	8.7631	6.8386	-1.4627	5.3914	-4.66	2.3016	5.1721	2.6672	1.8562	-3.1083	-1.9778	-3.7802	-4.1092	2.2598	3.6998	-9.5038	-11.5217	-9.462	-9.4588	-0.6829	-1.3034	8.0527	0.8526	-0.1568	-0.823	8.267	8.0726	8.2908	4.5572	1.4009	-6.4	7.3851	5.0559	5.0927	1.2866	3.3552	5.2785	3.2552	6.9445	3.24	-1.6283	-8.1141	-1.6967	-7.5373	-0.2152	-0.5901	7.8356	-1.554	-3.6938	7.7424	6.423	-0.2084
D08-ZR-R3	3.1934	1.1563	-0.384	-5.8451	10.7074	0.9334	-1.4254	-1.109	2.7493	-7.2052	-7.0405	4.3835	5.3673	-11.4676	3.7292	5.2681	-0.6501	-5.4337	1.5497	4.8382	5.4526	3.9791	1.1232	-3.7662	2.2257	-6.2606	-3.0709	3.5005	-5.107	0.8413	-6.125	-0.1232	-3.733	1.7919	-8.1799	0.3521	3.2691	3.9071	-2.6656	2.9255	5.7514	5.3381	1.2119	-1.8406	0.1641	-1.6625	-11.2553	2.0168	2.224	-4.9785	-5.2122	2.192	0.6565	3.7237	-2.1754	-8.4179	-8.8411	2.2425	4.4126	1.8435	1.905	-0.8798	5.1956	1.073	3.3357	-8.8397	-7.0189	3.0211	-0.5975	-2.8616	3.6757	-4.1654	-3.6697	-3.7747	1.9348	6.869	5.3034	5.5899	1.6603	3.8961	-9.8147	5.1337	7.6966	1.2991	1.0693	1.4445	-0.1335	-2.5261	4.0881	-3.9257	7.1623	-4.5277	2.8222	-0.1793	0.2686	0.353	7.3782	2.9211	-2.6	-2.9735	2.8338	-1.2724	-0.4148	-1.8438	0.2048	-0.2398	-11.1587	-11.3824	-11.4651	1.9338	-4.1124	2.6373	-0.2045	-2.0482	-6.5783	-6.3113	0.6972	1.4955	1.72	3.0405	-3.7955	-2.8443	-2.5531	-10.3609	-4.8432	1.6114	3.5752	-4.5943	4.3634	5.7628	9.3354	6.0525	9.8787	6.1792	10.0001	6.3157	-2.362	6.0742	-5.5298	1.8109	5.1831	3.143	1.4686	-4.0466	-1.686	-5.0283	-3.8435	3.735	3.4875	-10.5122	-11.3729	-9.3396	-9.8121	-8.4184	-8.3974	8.5269	-0.1841	-0.8047	0.2623	8.2907	7.9021	7.7918	4.4678	1.1	-5.937	6.7946	4.5704	4.7199	0.7296	3.0785	5.1475	2.6205	6.1502	3.8889	-3.9828	-11.6122	-2.0565	-8.5706	0.3521	-2.6753	6.6761	-1.5459	-3.857	7.2585	6.9327	0.1437
D09-NF-R1	3.9929	2.7074	0.7899	-1.6717	11.428	0.781	1.5929	3.7228	3.6897	-6.701	6.7313	-10.552	-10.3286	-7.2881	5.3865	1.7207	-1.8079	-3.5223	-1.1955	6.4065	4.2723	6.3746	-3.5207	-2.2574	2.105	-8.4155	0.1584	5.9969	-4.7476	5.9361	-9.4041	-10.156	-8.3596	-0.7165	-4.1896	-6.0282	4.9594	2.1497	-4.0411	1.3595	4.1791	-4.0197	0.8725	3.8958	-0.9053	-2.0618	-8.542	-10.4839	1.2784	2.0023	-3.1549	3.4172	2.2425	-7.7906	-8.8092	-10.3567	-10.5528	1.6699	4.3183	2.5117	3.245	-1.5423	3.0584	2.2056	4.9688	-10.4966	2.6005	5.6326	0.7346	6.5545	7.2683	-1.3596	-2.5696	-4.3992	-10.3607	0.1265	3.5738	0.4073	1.9771	0.0064	-10.3527	6.5952	8.748	3.4319	3.4849	4.1697	4.666	-6.2464	1.5682	2.0239	7.8022	-5.8836	6.9997	0.491	0.2633	-0.4031	7.2492	3.5896	-0.7147	-1.3136	1.8211	2.7104	1.0831	-0.3331	0.8802	-4.9873	-5.6095	-8.8037	-5.9192	2.6001	-7.4831	-1.3422	-4.2147	4.7441	-1.8473	1.052	3.662	2.7778	3.191	4.6841	-3.9061	-3.7434	-1.545	-10.49	-5.1588	0.9228	3.314	-0.4382	1.6282	3.2313	7.62	4.0454	-1.457	5.7052	-0.4407	-0.4108	-3.5203	3.9398	-8.7177	2.987	5.9399	2.507	5.2613	5.5258	1.1723	-3.2468	-2.3424	2.8559	4.9642	-1.2582	3.0703	-10.5582	-9.565	2.3812	1.2716	1.4776	-4.0238	2.9528	5.1858	5.099	5.3406	4.9838	-0.6031	4.3291	-3.5459	5.2629	3.5645	3.0647	-2.5486	0.9576	-2.1906	3.9238	0.6853	1.235	-4.092	-5.6857	-2.1479	-7.6252	0.1883	-4.3226	1.4828	6.8027	0.5658	5.5881	1.7893	-2.7737
D09-NF-R2	3.4614	2.3192	0.6108	-2.3278	11.3487	0.8236	1.8052	4.1272	3.9792	-5.3532	6.9656	-10.4422	-10.6775	-6.8423	4.733	1.7939	-1.7894	-2.8347	-1.1	6.4801	5.3045	5.9929	-2.5664	-2.9712	2.8311	-10.4123	-3.1603	5.9586	-4.3706	6.3113	-5.9499	-10.7547	-7.393	-2.7737	-3.3125	-5.716	5.315	2.5242	-2.8196	1.4778	4.3523	-2.8794	1.1044	3.9028	-1.0701	-1.8027	-7.9628	-10.5329	1.8496	2.0549	-2.74	2.7647	2.1635	-7.5537	-7.5689	-10.3805	-10.5072	1.7193	3.9585	2.0203	2.9972	-1.2852	2.5346	1.565	4.6802	-10.304	3.1785	5.6022	0.6458	6.7965	7.5897	-1.4917	-1.8462	-3.9314	-7.3759	1.0296	3.9114	1.4511	2.1616	1.2789	-10.7774	6.2198	8.7382	3.4586	3.3401	4.1369	4.6294	-6.4031	1.1936	3.1982	8.0991	-5.2584	6.5016	0.4375	0.2747	-0.4176	7.952	4.0135	-1.0023	-0.7293	2.8322	2.887	0.6422	-0.9918	0.9185	-5.6476	-7.3801	-10.4671	-8.1879	2.3947	-4.3776	-1.2648	-3.72	5.1187	-2.8999	1.139	3.9823	1.5842	3.417	4.8255	-4.2107	-3.6755	-2.0012	-7.7695	-5.8823	0.5784	3.2047	-0.3069	1.4515	2.8234	7.3785	4.0356	-1.3273	5.3628	-0.0874	-0.4485	-3.6765	4.5204	-8.9711	3.1994	5.6007	2.1831	4.9041	4.7334	1.3258	-2.4929	-3.4419	2.8216	4.7567	-8.9701	3.6324	-9.0236	-9.5845	2.0581	1.0944	0.9134	-4.6793	2.6034	4.3525	4.9533	5.5473	4.9216	-0.6441	4.1867	-4.6251	5.5596	3.6378	2.7299	-2.3439	0.7675	-1.4122	3.9855	0.2048	1.2524	-3.6275	-6.0045	-2.198	-7.9736	-0.0485	-4.6006	1.0102	6.8297	0.8575	5.5771	1.6842	-2.2978
D09-NF-R3	6.2005	4.8195	3.0551	-0.298	14.9921	0.6484	2.6542	2.9239	4.3315	-8.8171	6.4354	-8.7513	-8.7528	-7.2251	4.8998	1.5864	-1.2296	-3.9089	-0.9534	6.197	4.9435	5.4639	-2.7277	-2.1595	5.7818	-7.7845	-3.7853	6.3106	-4.5069	6.2711	-7.1597	-8.7128	-7.5966	-1.6857	-7.071	-8.5567	4.9805	3.8321	-1.97	2.7044	4.6055	-2.8854	3.3368	4.293	-0.2922	-7.088	-7.7627	-8.7582	4.2496	3.3759	-6.205	3.5236	3.6442	-6.8555	-8.7019	-8.6763	-8.7011	2.5383	4.7791	3.0726	4.4351	-1.0881	3.4969	2.9855	5.8854	-8.7468	2.5274	6.4014	1.3772	7.367	8.0247	-1.8136	-1.7886	-6.2199	-8.871	0.0581	3.8732	0.303	1.1125	-0.2301	-8.8488	6.9651	9.2707	3.6005	3.6415	4.5005	5.2678	-6.7011	1.4752	2.1733	8.5045	-4.9581	6.8626	0.9404	0.3672	-0.6355	7.959	4.3328	0.0096	-2.2224	2.3659	3.5684	0.8387	-0.4092	0.8903	-5.6235	-8.7004	-8.9629	-8.8708	1.9166	-8.6509	-1.6636	-5.6024	4.7058	-2.4538	1.26	4.2316	0.8982	3.146	3.8941	-4.0474	-4.8627	-2.326	-8.8027	-6.7496	0.6247	4.4573	-0.4001	1.8489	3.2866	7.133	3.7452	-1.9185	5.5893	0.1719	-0.6427	-6.2385	3.8718	-8.8177	3.3556	5.8803	2.4034	5.1827	5.5583	1.125	-7.7634	-5.9832	2.8836	5.1698	-7.7891	3.9641	-8.8621	-8.6097	1.1614	-7.0561	0.9069	-6.2574	2.6016	4.5975	4.7648	5.9733	4.535	-0.5696	4.7848	-3.6857	5.9028	3.4174	2.9448	-2.536	0.6815	-1.5873	3.667	0.7509	0.99	-6.7838	-5.265	-1.9757	-8.9274	0.1273	-6.2304	1.971	6.8379	1.1949	5.4732	2.1519	-2.2431
D09-OF-R1	6.4336	5.4437	1.9665	-0.4762	12.2124	-1.5393	3.3607	5.9568	5.0924	-9.9081	9.8642	-11.4326	-11.3719	-6.8497	4.0817	0.1352	-1.2083	-2.0393	-2.0181	5.463	4.795	3.9993	-3.672	-3.7689	2.9755	-11.3483	-1.9917	4.3827	-4.9283	4.0584	-5.2325	-11.319	-9.7296	-2.8159	-4.6745	-6.7135	3.4518	0.8556	-2.7482	-0.2441	3.2742	-3.5223	1.2414	3.6302	-1.418	-1.2892	-9.0589	-11.2049	2.2392	2.3931	-3.8917	2.6019	1.3518	-2.2127	-9.8064	-9.3404	-10.2397	1.4864	4.1993	1.4378	3.2796	-0.9844	2.2712	2.8057	4.6573	-11.3392	2.8787	5.2687	-0.5862	5.6479	6.2254	-2.9815	-3.888	-4.1046	-11.2467	0.1351	2.7795	0.3094	0.2217	0.3223	-9.0441	3.7075	8.2773	3.0882	3.2892	4.1227	3.297	-6.9305	-1.221	2.715	6.1282	-6.4407	4.4089	-0.6427	-0.6985	-2.7442	7.5439	3.5057	-1.9964	-3.2327	2.3049	1.6999	-0.2075	-1.9577	1.1696	-3.8253	-8.7948	-11.414	-8.3728	1.1612	-6.3818	-2.3289	-5.6165	2.7	-3.8737	-0.222	2.0612	-0.2272	1.3997	3.0724	-5.6931	-4.6424	-3.4782	-9.6864	-9.0534	-0.1114	4.9224	-0.2093	3.2434	4.1956	8.9384	5.1278	-0.3695	6.8909	0.8146	1.0615	-2.1133	6.1993	-6.1995	4.8778	7.6186	3.7345	6.6517	6.9315	3.3017	-1.5616	-2.0362	4.1848	6.9567	-0.0202	3.4483	-9.4216	-8.436	3.5659	3.3971	2.1635	-3.2525	5.3995	6.3891	5.98	6.5882	5.1432	0.2756	5.9969	-3.8579	7.0116	4.6557	3.6099	-1.7709	1.2089	1.4098	5.0986	1.0824	1.4492	-2.7727	-5.4872	-1.3926	-8.4212	0.2719	-3.1767	3.9465	5.821	2.5762	6.5151	3.4971	-0.51
D09-OF-R2	5.2467	4.1006	1.1501	-0.7793	11.905	1.5462	2.4261	4.9488	4.9294	-4.3025	9.8157	-9.4005	-9.4103	-9.2662	4.351	0.8901	-2.0983	-2.5403	-1.114	4.525	4.4658	4.1364	-3.2735	-6.5895	3.6696	-9.5224	-1.1454	4.6366	-6.8003	4.9302	-4.914	-9.3786	-7.834	-2.0311	-2.8848	-7.6742	4.7711	1.9206	-2.6639	-0.4122	4.0545	-3.347	1.7094	5.2964	0.0786	-7.3809	-9.2501	-9.219	2.6511	3.2451	-7.0902	2.3576	1.6695	-7.8867	-9.3722	-9.5008	-8.2658	2.0237	5.0987	2.354	4.1854	0.2895	3.5646	2.0868	5.064	-9.3043	3.7065	5.1297	-0.5439	5.1924	5.9159	-3.7357	-3.5302	-7.4274	-9.2661	0.3888	3.3447	0.8445	0.7226	0.5817	-9.4376	4.6531	8.0717	2.0894	2.0978	3.5161	4.0617	-6.4284	-1.0422	3.4806	7.2472	-6.6397	4.479	0.6644	-1.0145	-2.1357	7.5886	3.3794	-1.5944	0.2285	1.6571	2.3221	0.1057	-1.4537	1.4555	-5.177	-9.4374	-9.3677	-7.7501	0.315	-7.3715	-2.2881	-7.3578	4.0687	-1.8742	0.9381	3.5076	2.4102	2.5771	3.6066	-4.9534	-3.7542	-2.5677	-9.5072	-6.2565	0.2411	6.2921	0.4585	3.2601	4.3973	9.3073	4.5303	-0.0116	7.3181	3.2225	1.7178	-7.9215	6.5705	-7.3758	4.5349	5.1121	4.2684	6.8423	6.5489	3.6097	-1.7576	-1.6693	5.5174	4.7408	-0.0079	4.8967	-7.3797	-6.8428	3.1555	3.4417	0.5449	-3.6656	4.8211	5.5778	3.7663	4.2765	3.9041	-1.4901	3.7562	-8.3265	5.5798	2.9151	1.7326	-6.4051	-1.1936	1.8987	4.42	-1.6015	-0.1853	-1.7017	-6.7748	-1.5969	-9.4929	-0.226	-3.9766	4.4351	8.7307	3.0094	5.1926	2.0527	-0.8721
