Bromoviridae	Virgaviridae	Saccharomycetaceae	Malasseziaceae	Moraxellaceae	Pseudomonadaceae	Enterobacteriaceae	Rhodospirillaceae	Comamonadaceae	Sutterellaceae	Desulfovibrionaceae	Akkermansiaceae	Staphylococcaceae	Streptococcaceae	Lactobacillaceae	Leuconostocaceae	Clostridiaceae	Lachnospiraceae	Eubacteriaceae	Oscillospiraceae	Ruminococcaceae	Candidatus Borkfalkiaceae	Erysipelotrichaceae	Selenomonadaceae	Acidaminococcaceae	Veillonellaceae	Bifidobacteriaceae	Micrococcaceae	Corynebacteriaceae	Propionibacteriaceae	Coriobacteriaceae	Atopobiaceae	Eggerthellaceae	Bacteroidaceae	Rikenellaceae	Prevotellaceae	Odoribacteraceae	Barnesiellaceae	Tannerellaceae
D02-ZR-R1	0.7357	4.6837	-4.2663	-5.4987	1.0836	-2.2541	-0.7041	-4.0132	-4.3466	1.491	1.3395	-3.9143	0.0045	1.6236	-1.1407	-6.3064	5.5168	6.0424	2.8703	4.3547	7.3759	-4.5492	1.3442	-2.9158	0.5867	-2.2406	-1.4222	-4.6021	-5.1339	-3.3567	-0.564	-3.3213	2.4372	9.0619	6.1385	-0.4245	3.9915	-5.5789	5.8719
D02-ZR-R2	2.0378	4.6145	-3.7528	-3.5612	1.3946	-1.4198	0.6722	-4.0236	-3.9838	1.2105	1.0902	-4.0957	0.9146	0.1105	-1.7557	-6.1553	5.5156	5.5687	1.6649	3.8456	6.3817	-4.0645	0.4838	-3.041	1.0355	-2.2725	-2.2967	-4.6712	-4.5067	-2.4432	-1.2257	-3.1945	2.7394	8.2909	5.8839	-0.6589	3.533	-5.3765	5.5114
D02-ZR-R3	1.6877	3.2483	-4.9016	-4.3588	0.2935	-1.745	-0.7702	-3.3068	-3.7216	2.6533	1.0274	-5.1433	-0.7144	1.3334	-1.3517	-6.1429	6.0371	6.081	2.6286	4.6064	7.4063	-5.0225	1.9804	-1.8045	0.9206	-2.1714	-1.3758	-4.4557	-4.5357	-3.121	0.3935	-2.2242	3.2184	7.5828	4.7782	-1.2444	4.3204	-6.3858	4.3001
D03-NF-R1	-12.5563	-5.636	-7.0084	-0.8044	-0.3503	-0.4575	0.5156	-3.463	-0.616	1.6158	0.3404	-0.7473	-0.4272	0.7674	-4.1106	-1.5779	5.2033	5.7812	1.4668	4.523	7.7637	-7.4468	-1.2446	2.7471	0.8571	1.5016	3.9018	-1.9277	-1.6246	1.6773	4.8709	-2.439	1.0281	3.952	4.0298	6.2151	-5.6636	-1.6125	0.9558
D03-NF-R2	-11.6985	-1.1731	-4.9059	0.1361	0.3657	-0.7487	1.1164	-3.6957	-1.3305	0.9782	0.2869	-0.1513	-0.4852	0.786	-2.9333	-2.9793	4.9998	5.1142	1.4323	3.9944	7.1489	-8.2769	-1.2523	3.3726	0.0898	1.3305	3.0807	-2.4775	-1.7111	1.0169	4.1079	-2.8649	0.3405	3.5069	3.7025	6.612	-5.3271	-2.1677	0.6599
D03-NF-R3	-12.8341	-6.9612	-6.4689	0.8743	-0.0245	-0.4891	1.0942	-3.2412	-0.9976	1.1793	0.4684	0.2565	-0.5026	1.5774	-3.6409	-3.07	5.423	5.7056	1.7166	4.3079	7.6151	-8.2867	-0.7922	2.7612	0.6596	1.4501	3.6772	-2.1779	-1.1711	1.1396	4.9383	-2.4067	1.3502	3.3684	4.0275	6.6342	-5.1446	-2.5316	0.5162
D03-OF-R1	-13.7872	-6.6306	-4.1568	-2.4214	0.7469	-0.9963	-0.2233	-3.2565	-2.6158	1.5813	0.3991	-1.0034	-1.7419	2.44	-3.66	-3.434	5.556	5.7651	2.5278	3.0185	6.9695	-8.0229	1.1632	7.2069	1.732	3.4418	4.029	-2.9997	-3.4445	-0.5628	5.4297	-3.1682	0.3487	4.2626	3.2702	7.1466	-5.4518	-0.3136	0.8561
D03-OF-R2	-13.3464	-5.7174	-4.1023	-1.7384	0.116	-0.3468	0.3543	-3.0999	-1.638	1.3674	0.1816	-1.6228	-1.6508	2.0465	-3.8161	-5.5653	5.5615	5.6387	2.1309	3.1744	6.4171	-7.6471	0.8195	6.5492	1.8129	2.1976	3.9537	-2.9272	-2.9962	-0.5305	5.2446	-3.0187	0.6339	5.1257	4.178	6.5094	-5.237	0.2473	0.7405
D03-OF-R3	-14.1925	-8.8495	-4.4685	-1.8742	0.0704	-0.9047	0.0408	-2.9261	-2.4904	1.5954	0.9687	-0.4096	-2.2437	3.0116	-3.1965	-5.5958	5.8788	5.8005	2.4249	3.6469	6.9266	-7.8266	1.2319	6.7938	2.5901	1.5295	4.147	-2.9687	-3.2722	-1.3133	5.1732	-2.6588	0.5927	4.8554	3.9944	6.7394	-4.4217	0.6634	0.9376
D03-OR-R1	-9.7866	-3.0802	-3.3452	0.3483	0.1576	0.2665	1.3146	-3.9706	0.028	1.8749	-0.6051	-0.4251	0.9316	0.4754	-2.5491	-0.1384	4.3404	5.0829	0.4199	2.7684	5.517	-7.7214	-0.5771	-0.0246	-4.0762	-0.1055	3.5147	-1.1184	-0.505	2.7591	5.301	-4.8023	-0.8938	3.6515	4.2335	6.8109	-5.7223	-1.3042	0.9546
