metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Temperature	Bittarella	Hot	0.00278660138192885	0.000776341975526364	210	209	0.000418320256096289	0.00341995156738369
Kit	Anaerobutyricum	Zymo	-0.0703481738804816	0.0196082608748068	210	209	0.000420915354508403	0.0034211608465276
Temperature	Faecalitalea	Hot	-0.00466504322976982	0.00130148678708985	210	167	0.000425917086507652	0.00344180397073813
Temperature	Tuber	Hot	0.000185580355607606	5.18042185995715e-05	210	65	0.000429074012385586	0.00344738775468419
Temperature	unclassified.Clostridiales..miscellaneous.	Room Temp	0.295438076096477	0.0826526285946278	210	209	0.000441395292671496	0.00347867275392419
Temperature	Intestinimonas	Room Temp	0.0395044567309091	0.0110453780963481	210	209	0.00043807380881438	0.00347867275392419
Kit	Oribacterium	Zymo	0.000400730998520217	0.000112125303383582	210	209	0.000442184170193897	0.00347867275392419
Kit	Terrisporobacter	Zymo	-0.00155914587400765	0.000436308694211407	210	80	0.000442921137481049	0.00347867275392419
Temperature	Pseudobutyrivibrio	Room Temp	-0.000457381755787278	0.000128205599228853	210	209	0.000452432334643399	0.00353352180911437
Temperature	unclassified.Burkholderiales..miscellaneous.	Room Temp	0.00332366279666035	0.000932385874526962	210	177	0.000457120011837104	0.00355029875860151
Kit	Anaerotruncus	Zymo	0.00432024481151893	0.00121265954061464	210	209	0.00046051272991286	0.00355688837800099
Temperature	Pseudoflavonifractor	Hot	0.00635021569638405	0.00178456272880439	210	209	0.000467489384416542	0.00359093494183695
Temperature	Sanguibacter	Room Temp	-0.000788199352307454	0.000222183978215061	210	149	0.000486056525962779	0.00371315313276484
Kit	unclassified.Anaerolineaceae	Zymo	0.000160300108460764	4.52233495174074e-05	210	97	0.000491066393897196	0.00373103705797978
Temperature	Ruminococcus	Room Temp	-0.960092921888436	0.27179667619951	210	209	0.00051293020417048	0.0038760887861099
Temperature	Porphyromonas	Room Temp	0.00282489178871565	0.000800573556016899	210	199	0.000519919807842281	0.0039077843621694
Temperature	Hespellia	Room Temp	-0.00141394789189444	0.000401711485841328	210	209	0.000536365016731575	0.0040098304459398
Temperature	Corynebacterium	Hot	-0.000338808301910414	9.63213820813639e-05	210	208	0.000540816400138364	0.00402160280528422
Temperature	Proteobacteria..environmental.samples	Hot	0.0114819717733343	0.00327943503567672	210	125	0.000572859853131257	0.00423734431046295
Temperature	Intestinibacter	Room Temp	-0.00866562891375979	0.00249206972112169	210	119	0.000623212536677566	0.00458553224355388
Kit	unclassified.Peptococcaceae	Zymo	0.00092843758646768	0.000267398293572086	210	209	0.000634619920443538	0.00464501910356055
Temperature	Mycobacteroides	Hot	-0.000744583563715715	0.000214663936600732	210	192	0.000642488818683216	0.00467812171103717
Kit	Absiella	Zymo	0.0014227981864562	0.000410397621449389	210	209	0.000646382559756636	0.00468208714269315
Temperature	unclassified.Bacteroidales..miscellaneous.	Room Temp	0.0125569524443909	0.00363984446328535	210	209	0.00068602676407614	0.00494363616586827
Kit	Guerin_crAss_Alpha	Zymo	0.0207193779684988	0.00601562755417273	210	104	0.000699564922132646	0.0050153423648279
Kit	unclassified.Eggerthellaceae	Zymo	-0.000250311694875441	7.30063932584776e-05	210	182	0.000738684518686333	0.00526878039348721
Temperature	Sellimonas	Hot	-0.0110368189859175	0.00322539608733103	210	209	0.000756275050953443	0.00536686559001479
Temperature	Intestinimonas	Hot	0.0376089453394614	0.0110453780963481	210	209	0.000801858660942719	0.00566160812120162
Temperature	Bifidobacterium	Room Temp	-0.653710996449797	0.19230485388858	210	209	0.000817524624720375	0.00571449712679542
