metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Kit	Cryptobacterium	Zymo	-8.56299418210944e-05	0.00192666059160733	210	39	0.964594912055854	0.975762436363302
Kit	Bacteroidetes..environmental.samples	Zymo	-3.23250648531822e-06	7.15999032388503e-05	210	185	0.9640360290864	0.975762436363302
Temperature	Erythrobacter	Hot	-1.62082222591763e-06	3.90212784721786e-05	210	37	0.966909958144414	0.977397050965937
Temperature	unclassified.Siphoviridae	Hot	6.62795447601722e-06	0.000165824979065232	210	111	0.968157857295228	0.97795136163203
Temperature	Algoriphagus	Room Temp	1.57566211210924e-06	4.03870790242351e-05	210	46	0.96891872282519	0.978013266793947
Temperature	Scortechinia	Hot	3.81710662771142e-06	0.000140506808324233	210	209	0.978354273686038	0.98611339193445
Temperature	Petrimonas	Hot	1.70984965098723e-06	6.20783075790116e-05	210	62	0.978054180833432	0.98611339193445
Temperature	Xanthomonas	Hot	1.76197694665692e-06	6.80430601775111e-05	210	115	0.979367277703851	0.986423237917856
Temperature	Rhizobium	Room Temp	1.63453625633913e-06	9.15861188610448e-05	210	206	0.985778982846471	0.99216631966837
Temperature	Cuneatibacter	Room Temp	-2.13601774546846e-06	0.000167641853226625	210	203	0.989846879949275	0.995543840409415
Temperature	unclassified.Bacteroidetes	Room Temp	1.56551039732556e-06	0.00014179308313379	210	209	0.991202060501782	0.996190137010418
Kit	Sphingomonas	Zymo	1.2491421773145e-08	3.8335843681665e-05	210	181	0.999740345551155	0.9999004406644
Kit	Echinosphaeria	Zymo	-2.28571912263486e-08	8.26737862256004e-05	210	209	0.999779685055555	0.9999004406644
Kit	Brevibacterium	Zymo	-1.04989493002444e-08	1.88132500705121e-05	210	38	0.999555296122416	0.9999004406644
Temperature	Halomonas	Hot	1.17555113818717e-07	7.23151185073017e-05	210	188	0.998704608149408	0.9999004406644
Kit	Gordonia	Zymo	-2.25118021700478e-09	1.8018440561399e-05	210	38	0.9999004406644	0.9999004406644
Kit	Diaporthe	Zymo	-1.39116128590233e-07	4.22456556061879e-05	210	61	0.997375880739463	0.9999004406644
Kit	Cryobacterium	Zymo	3.50694149159496e-08	2.54387221070199e-05	210	24	0.998901444457118	0.9999004406644
