Sample	raw_reads	dedup_reads	dedup_frac	trimmed_reads	trimmed_frac	host_removed_reads	host_removed_frac	orphan_reads	orphan_frac
D09-ZH-R1-A_S30_L001	19663150	19663150	1.0	11024060	0.561	3154996	0.16	5366184	0.273
D01-ZH-R2-B_S34_L001	22327738	22327738	1.0	5643317	0.253	1728614	0.077	6790423	0.304
D05-ZH-R2-A_S16_L002	23299771	23299771	1.0	7859108	0.337	1656792	0.071	4997840	0.215
D08-NF-R1-A_S6_L001	21463891	21463891	1.0	9736886	0.454	3383536	0.158	4650651	0.217
D06-ZH-R2-B_S43_L002	25078788	25078788	1.0	8575823	0.342	2381930	0.095	14236131	0.568
D01-ZH-R1-B_S127_L002	24089368	24089368	1.0	19506149	0.81	7443641	0.309	1414616	0.059
D08-NF-R1-B_S38_L001	26619652	26619652	1.0	18730223	0.704	6819704	0.256	2452984	0.092
D07-ZF-R1-B_S117_L002	28663132	28663132	1.0	23223841	0.81	11894539	0.415	3335461	0.116
D04-NF-R2-A_S8_L002	33461765	33461765	1.0	24826956	0.742	9750210	0.291	2000707	0.06
D01-ZR-R2-A_S15_L001	30713277	30713277	1.0	9217682	0.3	3854262	0.125	2680720	0.087
D09-OR-R3-A_S14_L004	31014675	31014675	1.0	13225391	0.426	4028715	0.13	18049015	0.582
D08-ZH-R3-A_S1_L003	39756364	39756364	1.0	25454636	0.64	7932931	0.2	6636858	0.167
D04-ZF-R1-A_S24_L001	35582112	35582112	1.0	32316165	0.908	10253943	0.288	1678453	0.047
D03-OR-R2-B_S52_L001	15133040	15133040	1.0	3046598	0.201	250253	0.017	7463510	0.493
D08-ZR-R2-B_S56_L002	34909053	34909053	1.0	30141875	0.863	12374113	0.354	4514887	0.129
D06-ZR-R3-B_S52_L003	37567997	37567997	1.0	28327910	0.754	11595546	0.309	3375151	0.09
D04-NF-R1-B_S49_L001	32338693	32338693	1.0	27849063	0.861	9886205	0.306	1422402	0.044
PCO-B1-R1-A_S7_L001	21026962	21026962	1.0	11527386	0.548	4338212	0.206	10457176	0.497
D10-ZR-R3-A_S28_L004	30669800	30669800	1.0	28321644	0.923	9367202	0.305	2203043	0.072
D06-OF-R1-A_S84_L002	30817838	30817838	1.0	4488578	0.146	1180803	0.038	8474197	0.275
D02-NF-R2-A_S26_L001	22922551	22922551	1.0	4992394	0.218	1646147	0.072	8681891	0.379
D04-ZH-R2-B_S41_L001	22950509	22950509	1.0	4101902	0.179	903227	0.039	10324910	0.45
D05-ZH-R1-A_S78_L002	32457440	32457440	1.0	26101303	0.804	8538644	0.263	5066695	0.156
D06-NF-R2-A_S18_L001	24067130	24067130	1.0	5271106	0.219	2053939	0.085	3450719	0.143
D06-OF-R3-A_S13_L003	39974842	39974842	1.0	36373523	0.91	14693255	0.368	2443421	0.061
NCO-B1-R3-B_S31_L004	19266271	19266271	1.0	3499078	0.182	681949	0.035	14305844	0.743
D08-ZF-R3-B_S40_L003	37367260	37367260	1.0	32939554	0.882	14958706	0.4	1987492	0.053
D06-OR-R3-B_S30_L004	28335012	28335012	1.0	13400338	0.473	5707427	0.201	13557159	0.478
D04-ZF-R2-B_S57_L002	32954991	32954991	1.0	16090241	0.488	5030295	0.153	19645257	0.596
D10-ZH-R1-A_S19_L001	23159558	23159558	1.0	12165993	0.525	2084244	0.09	3221583	0.139
D05-NF-R2-A_S3_L002	37727920	37727920	1.0	18748737	0.497	7791495	0.207	6691294	0.177
NCO-B2-R2-A_S10_L002	16752995	16752995	1.0	1872107	0.112	297023	0.018	7304167	0.436
D05-NF-R1-B_S109_L002	35495230	35495230	1.0	28202100	0.795	16202262	0.456	5389109	0.152
D09-OF-R2-B_S45_L001	24330708	24330708	1.0	10655871	0.438	4120660	0.169	2264078	0.093
D04-ZR-R2-B_S62_L002	38292242	38292242	1.0	28476592	0.744	10207096	0.267	5271038	0.138
D05-ZR-R1-B_S61_L001	51190712	51190712	1.0	44407483	0.867	18003008	0.352	2183158	0.043
D09-NF-R2-B_S46_L002	29410812	29410812	1.0	21352637	0.726	7972606	0.271	6404389	0.218
D02-ZH-R3-B_S52_L004	17158507	17158507	1.0	5025140	0.293	1216116	0.071	14876171	0.867
D07-NF-R1-B_S46_L001	70231464	70231464	1.0	53970672	0.768	22596769	0.322	9982727	0.142
D06-ZH-R1-A_S72_L002	24102919	24102919	1.0	20909923	0.868	6866235	0.285	1726029	0.072
D01-OF-R1-B_S47_L001	35560711	35560711	1.0	33223708	0.934	13011646	0.366	1301553	0.037
D07-OR-R2-A_S14_L002	42919674	42919674	1.0	5822427	0.136	1744910	0.041	11119775	0.259
D07-OR-R3-A_S17_L003	42294830	42294830	1.0	6235615	0.147	1833057	0.043	15563461	0.368
D05-ZF-R3-A_S24_L004	45534145	45534145	1.0	43056312	0.946	16022858	0.352	2746655	0.06
D01-ZR-R1-A_S8_L001	35786191	35786191	1.0	33743598	0.943	14217140	0.397	1780500	0.05
NCO-B1-R1-A_S90_L002	18743937	18743937	1.0	3251037	0.173	763523	0.041	7105549	0.379
D07-NF-R1-A_S14_L001	29849056	29849056	1.0	20249526	0.678	8502066	0.285	3635777	0.122
D03-ZR-R1-B_S125_L002	37552977	37552977	1.0	34555646	0.92	14775761	0.393	1224601	0.033
D04-NF-R3-B_S62_L003	39374066	39374066	1.0	24596954	0.625	8821930	0.224	4318843	0.11
D04-ZH-R1-B_S59_L001	28822145	28822145	1.0	25472547	0.884	6868015	0.238	2501468	0.087
D06-ZF-R2-A_S24_L002	28234891	28234891	1.0	19424929	0.688	7495452	0.265	7353460	0.26
NCO-B2-R3-A_S28_L003	22483807	22483807	1.0	7133376	0.317	1095425	0.049	16428014	0.731
PCO-B4-R1-B_S57_L001	27405286	27405286	1.0	24244528	0.885	23850990	0.87	982431	0.036
D02-ZF-R1-B_S55_L001	35902707	35902707	1.0	33214591	0.925	13179633	0.367	1199321	0.033
D08-OF-R2-B_S33_L001	26944063	26944063	1.0	10270030	0.381	3888253	0.144	9844007	0.365
D09-ZH-R1-B_S62_L001	21705796	21705796	1.0	8853224	0.408	2720650	0.125	2359822	0.109
D08-ZH-R3-B_S33_L003	56963365	56963365	1.0	46885092	0.823	15440025	0.271	8865435	0.156
D01-NF-R2-A_S10_L001	34138197	34138197	1.0	7158309	0.21	2863473	0.084	1957965	0.057
D08-OR-R1-B_S54_L001	18462747	18462747	1.0	5653638	0.306	2097608	0.114	5008848	0.271
D10-ZF-R1-A_S86_L002	30980630	30980630	1.0	28183596	0.91	11068078	0.357	1133786	0.037
D07-OF-R1-A_S66_L002	35905973	35905973	1.0	35237410	0.981	22246986	0.62	479451	0.013
D10-NF-R3-B_S47_L003	25767155	25767155	1.0	3720405	0.144	933675	0.036	10711899	0.416
D09-OR-R1-A_S32_L001	19763309	19763309	1.0	5837446	0.295	1647845	0.083	3904159	0.198
D07-ZR-R3-A_S9_L004	33753327	33753327	1.0	28228534	0.836	11734086	0.348	2628341	0.078
D03-OF-R1-B_S48_L001	35221068	35221068	1.0	33453425	0.95	11645330	0.331	1629363	0.046
D10-ZR-R2-A_S19_L001	36712568	36712568	1.0	10317478	0.281	3754763	0.102	4258374	0.116
D03-NF-R3-A_S14_L003	36016142	36016142	1.0	31128893	0.864	12623404	0.35	4053792	0.113
D07-ZF-R3-A_S27_L004	39035145	39035145	1.0	35522019	0.91	13817751	0.354	2558914	0.066
D01-OR-R1-A_S11_L001	71441915	71441915	1.0	26901703	0.377	9256717	0.13	23832446	0.334
D06-ZR-R1-A_S31_L001	28874941	28874941	1.0	21578307	0.747	8503082	0.294	1681379	0.058
D01-OR-R2-B_S42_L002	25040444	25040444	1.0	3728300	0.149	1020800	0.041	13468784	0.538
D01-OF-R3-B_S47_L004	30617218	30617218	1.0	28331849	0.925	11304563	0.369	2584921	0.084
D10-ZR-R1-B_S41_L001	31889288	31889288	1.0	20722786	0.65	6860719	0.215	5596850	0.176
D06-OR-R2-A_S4_L001	21749952	21749952	1.0	1700838	0.078	684079	0.031	2018033	0.093
D02-OF-R1-B_S120_L002	39705553	39705553	1.0	37402560	0.942	17738621	0.447	962884	0.024
D07-ZH-R1-B_S44_L001	61507001	61507001	1.0	36201493	0.589	9394012	0.153	10410108	0.169
PCO-B2-R1-A_S18_L001	36830471	36830471	1.0	34661735	0.941	33572619	0.912	1604784	0.044
D09-NF-R3-A_S10_L003	23050938	23050938	1.0	21264669	0.923	7679534	0.333	635279	0.028
D08-NF-R3-A_S21_L004	27499775	27499775	1.0	19924992	0.725	7223862	0.263	5118515	0.186
D05-OF-R3-A_S22_L004	36342929	36342929	1.0	26229959	0.722	10642705	0.293	6245070	0.172
D09-NF-R3-B_S42_L003	33218941	33218941	1.0	30223661	0.91	11132248	0.335	1570609	0.047
D08-NF-R2-A_S17_L001	6	6	1.0	6	1.0	6	1.0	0	0.0
D08-ZR-R1-B_S112_L002	29582136	29582136	1.0	25815475	0.873	11823357	0.4	3043497	0.103
D07-ZR-R3-B_S38_L004	51110415	51110415	1.0	42595964	0.833	17046833	0.334	7839184	0.153
NCO-B3-R1-B_S114_L002	18558194	18558194	1.0	3245707	0.175	600291	0.032	15134958	0.816
D06-OR-R2-B_S36_L001	14679899	14679899	1.0	2478234	0.169	328551	0.022	9896712	0.674
D04-ZF-R1-B_S56_L001	39065269	39065269	1.0	35287136	0.903	11003880	0.282	2815118	0.072
D08-ZR-R3-A_S31_L003	48739001	48739001	1.0	41788860	0.857	15504069	0.318	3671568	0.075
D07-ZH-R2-A_S20_L002	40959125	40959125	1.0	10872397	0.265	3812809	0.093	11100699	0.271
D07-ZR-R1-B_S42_L001	29765111	29765111	1.0	27254159	0.916	13038167	0.438	988776	0.033
D02-ZF-R2-A_S13_L002	31366305	31366305	1.0	28236132	0.9	10582846	0.337	1418710	0.045
D08-OR-R3-B_S51_L003	29851352	29851352	1.0	2346743	0.079	524730	0.018	9510446	0.319
D08-OR-R2-B_S40_L001	18671258	18671258	1.0	2095105	0.112	298025	0.016	11306300	0.606
D01-ZF-R2-A_S17_L002	49191437	49191437	1.0	41632240	0.846	20302823	0.413	6777203	0.138
D01-OF-R3-A_S18_L004	27535395	27535395	1.0	24952618	0.906	10095231	0.367	2190578	0.08
D08-OF-R1-B_S107_L002	39451647	39451647	1.0	34991308	0.887	14583382	0.37	4218994	0.107
D08-ZH-R2-A_S1_L002	31192770	31192770	1.0	4664244	0.15	939810	0.03	17047047	0.547
D10-OF-R1-A_S87_L002	15480166	15480166	1.0	3278085	0.212	729686	0.047	8092133	0.523
D06-ZR-R2-B_S60_L001	22950839	22950839	1.0	11798623	0.514	5126185	0.223	1836198	0.08
D03-ZH-R3-B_S41_L003	52666775	52666775	1.0	39919695	0.758	10079715	0.191	8216260	0.156
NCO-B3-R2-B_S44_L001	70111969	70111969	1.0	4134720	0.059	392416	0.006	22576763	0.322
D02-OF-R3-A_S16_L004	38826777	38826777	1.0	35919197	0.925	29930994	0.771	2383428	0.061
D01-OF-R1-A_S15_L001	32385247	32385247	1.0	23632865	0.73	8889546	0.274	1880457	0.058
D02-OR-R2-B_S62_L001	21454243	21454243	1.0	918124	0.043	177252	0.008	2232411	0.104
D09-ZR-R2-B_S36_L002	33393559	33393559	1.0	30064790	0.9	10840454	0.325	3015252	0.09
D09-ZH-R3-B_S37_L004	18039814	18039814	1.0	4615541	0.256	1405154	0.078	14388648	0.798
D07-ZR-R2-B_S61_L002	28822750	28822750	1.0	21250883	0.737	8916914	0.309	6187970	0.215
D03-ZR-R2-B_S37_L001	19756906	19756906	1.0	6516852	0.33	2311666	0.117	8788458	0.445
D08-OF-R1-A_S75_L002	73055245	73055245	1.0	69238084	0.948	29120866	0.399	2763079	0.038
D05-ZF-R1-B_S35_L001	40951376	40951376	1.0	38012427	0.928	14201080	0.347	2291244	0.056
D08-ZF-R1-A_S4_L001	29096935	29096935	1.0	26877677	0.924	10957170	0.377	1277554	0.044
D09-ZR-R3-A_S19_L004	35511075	35511075	1.0	33400540	0.941	12534899	0.353	2265322	0.064
D07-ZF-R2-A_S29_L001	25743020	25743020	1.0	15474986	0.601	6708351	0.261	3295040	0.128
D07-OF-R1-B_S98_L002	20713819	20713819	1.0	14108085	0.681	6405718	0.309	6403945	0.309
