taxid	Genus	mean16S	kingdom
234684	unclassified Saprospiraceae	1.94	Bacteria
237	Flavobacterium	5.04	Bacteria
2375	Sporomusa	12	Bacteria
237584	Teratosphaeria	0	Fungi
239759	Alistipes	2.14	Bacteria
239934	Akkermansia	3	Bacteria
241189	Hespellia	1.94	Bacteria
244127	Anaerotruncus	1.94	Bacteria
2448785	unclassified Synechococcaceae	1.94	Bacteria
246875	Algoriphagus	3	Bacteria
248744	Marvinbryantia	1.94	Bacteria
2508948	Candidatus Borkfalkia	1.94	Bacteria
252168	Chaetosphaerella	0	Fungi
252306	Robiginitalea	2	Bacteria
252356	Maribacter	2.2	Bacteria
2529408	Schaalia	3	Bacteria
253238	Ethanoligenens	3	Bacteria
2569097	Anaerobutyricum	8	Bacteria
2591381	Dysosmobacter	3	Bacteria
2599633	unclassified Candidatus Eremiobacteraeota	1.94	Bacteria
260658	Echinosphaeria	0	Fungi
264995	Anaerofustis	1.94	Bacteria
265	Paracoccus	2.69	Bacteria
265975	Oribacterium	1.94	Bacteria
265976	Serinicoccus	2	Bacteria
2676048	Schaedlerella	1.94	Bacteria
2679910	Intestinibaculum	11	Bacteria
2683202	Massilicoli	1.94	Bacteria
2685927	Tardibacter	2	Bacteria
270	Thermus	1.88	Bacteria
270497	Catabacter	1.94	Bacteria
27308	Ascoidea	0	Fungi
27320	Metschnikowia	0	Fungi
2733	Symbiobacterium	6	Bacteria
27353	Cronartium	0	Fungi
2742	Marinobacter	2.93	Bacteria
2745	Halomonas	5.19	Bacteria
2747	Carnobacterium	7.2	Bacteria
2753	Synergistes	1.94	Bacteria
278096	unclassified Lentisphaerae	1.94	Bacteria
28050	Lachnospira	5	Bacteria
28065	Rhodoferax	2.5	Bacteria
28138	Rikenella	1.94	Bacteria
281472	Jiangella	1.94	Bacteria
28196	Arcobacter	4.87	Bacteria
28209	Chelatococcus	2	Bacteria
28231	Geobacter	2.75	Bacteria
283	Comamonas	4.96	Bacteria
283168	Odoribacter	4	Bacteria
28443	Herbidospora	1.94	Bacteria
28453	Sphingobacterium	5.23	Bacteria
286	Pseudomonas	5.63	Bacteria
291363	Lecanicillium	0	Fungi
292632	Subdoligranulum	1.94	Bacteria
292691	Gramella	3	Bacteria
29407	Rhodoplanes	1	Bacteria
29465	Veillonella	4	Bacteria
294702	Proteiniphilum	2	Bacteria
29487	Photorhabdus	7	Bacteria
29580	Janthinobacterium	6.75	Bacteria
296829	Rhodospirillales: environmental samples	1.94	Bacteria
29832	Hanseniaspora	0	Fungi
302485	Phaeobacter	4	Bacteria
306124	Bertia	0	Fungi
306133	Scortechinia	0	Fungi
307628	Petrimonas	2	Bacteria
308926	Diversispora	0	Fungi
311181	Denitratisoma	3	Bacteria
318147	Paucibacter	6	Bacteria
32	Myxococcus	3.67	Bacteria
32008	Burkholderia	5.26	Bacteria
32012	Thiomonas	1	Bacteria
32045	unclassified Proteobacteria	1.94	Bacteria
32207	Rothia	3	Bacteria
323620	Shinella	3	Bacteria
326457	unclassified Verrucomicrobia	1.94	Bacteria
329857	Cohnella	8.25	Bacteria
33024	Phascolarctobacterium	5	Bacteria
33042	Coprococcus	1.94	Bacteria
331631	Coriobacteriaceae: environmental samples	1.94	Bacteria
33170	Eremothecium	0	Fungi
33196	Botrytis	0	Fungi
338	Xanthomonas	2	Bacteria
33807	unclassified Alphaproteobacteria (miscellaneous)	1.94	Bacteria
33809	unclassified Betaproteobacteria (miscellaneous)	1.94	Bacteria
33811	unclassified Gammaproteobacteria (miscellaneous)	1.94	Bacteria
33870	Coriobacterium	2	Bacteria
33882	Microbacterium	1.93	Bacteria
33886	Rathayibacter	2	Bacteria
340671	unclassified Flammeovirgaceae	1.94	Bacteria
34072	Variovorax	2.08	Bacteria
34079	unclassified Cyanobacteria	1.94	Bacteria
34104	Streptobacillus	5	Bacteria
346096	Paludibacter	3	Bacteria
349	Zoogloea	1.94	Bacteria
352	Azotobacter	6	Bacteria
354354	Niastella	3	Bacteria
357	Agrobacterium	4.02	Bacteria
35753	Dactylosporangium	1.94	Bacteria
35766	Actinobacteria: environmental samples	1.94	Bacteria
35829	Acetivibrio	1.94	Bacteria
35832	Bilophila	1.94	Bacteria
36048	Tuber	0	Fungi
36065	Cantharellus	0	Fungi
361177	Altererythrobacter	1.4	Bacteria
361210	unclassified Porphyromonadaceae	1.94	Bacteria
365348	Pelosinus	12	Bacteria
366614	Haematobacter	3	Bacteria
36853	Desulfitobacterium	6.38	Bacteria
36866	unclassified Enterobacteriaceae (miscellaneous)	1.94	Bacteria
36917	Ambrosiozyma	0	Fungi
36922	Diaporthe	0	Fungi
374	Bradyrhizobium	1.11	Bacteria
375288	Parabacteroides	7	Bacteria
376488	Halotalea	6	Bacteria
379	Rhizobium	3.21	Bacteria
37914	Dietzia	2.83	Bacteria
37991	Xylaria	0	Fungi
38442	Myriosclerotinia	0	Fungi
38447	Monilinia	0	Fungi
38501	Blastococcus	3	Bacteria
39779	unclassified Clostridiales (miscellaneous)	1.94	Bacteria
397864	Barnesiella	5	Bacteria
39845	Actinokineospora	1.94	Bacteria
399320	Sphaerochaeta	3.67	Bacteria
399321	unclassified Spirochaetales	1.94	Bacteria
39945	unclassified Mollicutes	1.94	Bacteria
39948	Dialister	5	Bacteria
4000100	Guerin_crAss_Alpha	0	Viruses
4000200	Guerin_crAss_Beta	0	Viruses
4000300	Guerin_crAss_Gamma	0	Viruses
4000400	Guerin_crAss_Delta	0	Viruses
400634	Lysinibacillus	11.11	Bacteria
40323	Stenotrophomonas	3.42	Bacteria
403978	unclassified Flavobacteriales (miscellaneous)	1.94	Bacteria
40544	Sutterella	7	Bacteria
407	Methylobacterium	5.67	Bacteria
40840	Succiniclasticum	1.94	Bacteria
41275	Brevundimonas	1.93	Bacteria
41292	unclassified Rhizobiales (miscellaneous)	1.94	Bacteria
413496	Cronobacter	7	Bacteria
414051	Caenispirillum	1.94	Bacteria
416916	Aggregatibacter	6	Bacteria
419014	Alloscardovia	1.94	Bacteria
420345	Lactonifactor	1.94	Bacteria
42112	unclassified Streptococcaceae	1.94	Bacteria
421605	unclassified Neisseriaceae	1.94	Bacteria
42214	unclassified Veillonellaceae	1.94	Bacteria
42308	Hypoxylon	0	Fungi
423349	Mucilaginibacter	2.68	Bacteria
433334	unclassified Erysipelotrichaceae	1.94	Bacteria
433337	unclassified Rikenellaceae	1.94	Bacteria
434	Acetobacter	4.77	Bacteria
43668	Brachybacterium	3	Bacteria
43994	Johnsonella	1.94	Bacteria
43996	Catonella	1.94	Bacteria
44013	Polynucleobacter	1	Bacteria
44249	Paenibacillus	10.14	Bacteria
44259	Filifactor	4	Bacteria
44748	Sporobacter	1.94	Bacteria
45035	unclassified Actinomycetaceae	1.94	Bacteria
45253	unclassified Bacteroidaceae	1.94	Bacteria
45340	Raffaelea	0	Fungi
45667	Halobacillus	7.33	Bacteria
458031	unclassified Acidobacteria	1.94	Bacteria
459786	Oscillibacter	3	Bacteria
461281	Ogataea	0	Fungi
46205	Pseudobutyrivibrio	5	Bacteria
46255	Weissella	7.01	Bacteria
469	Acinetobacter	6.65	Bacteria
47251	Leptolyngbya	2.47	Bacteria
473772	unclassified Oscillospiraceae	1.94	Bacteria
473814	unclassified Planctomycetes	1.94	Bacteria
474995	Ophiocordyceps	0	Fungi
47747	Hyaloscypha	0	Fungi
47817	Lachnum	0	Fungi
47928	Firmicutes: environmental samples	1.94	Bacteria
47936	Proteobacteria: environmental samples	1.94	Bacteria
482	Neisseria	3.85	Bacteria
4821	Piromyces	0	Fungi
4842	Rhizopus	0	Fungi
48479	Bacteria: environmental samples	1.94	Bacteria
48558	Pyricularia	0	Fungi
4873	Gigaspora	0	Fungi
4875	Glomus	0	Fungi
4888	Smittium	0	Fungi
