Well,Well96,PCR_Replicate,Plate,SampleName,Donor,Condition,Replicate,SampleCode,SampleNameFull,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues,logCopyNumber,CopyNumber,PlotOrder
H23,D12,Rep3,Plate2,D03_ZH_R2,D03,ZH,R2,2/4/03,D03_ZH_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,17.79762238,0.87970853,NA,Amp,FALSE,3,10,NA,NA,5.74829821262459,93357016.1019914,7
H3,D2,Rep3,Plate2,D04_ZF_R2,D04,ZF,R2,2/4/09,D04_ZF_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,15.24565623,0.875707724,3.465856529,Amp,FALSE,3,8,NA,NA,6.59612749833887,657621870.305643,5
H7,D4,Rep3,Plate2,D10_OR_R2,D10,OR,R2,2/1/15,D10_OR_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,13.15835482,0.954417181,3.489293451,Amp,FALSE,3,6,NA,NA,7.28958311627907,3246623036.65128,3
H9,D5,Rep3,Plate2,D05_OF_R2,D05,OF,R2,2/2/12,D05_OF_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,12.14945165,0.905034104,3.503444268,Amp,FALSE,3,6,NA,NA,7.62476689368771,7024503662.98223,2
I10,E5,Rep2,Plate2,D02_OR_R2,D02,OR,R2,2/1/01,D02_OR_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,9.680529175,0.943049729,3.498299316,Amp,FALSE,3,5,NA,NA,8.44500691860465,46436092562.9462,3
I11,E6,Rep1,Plate2,D06_NF_R2,D06,NF,R2,2/4/18,D06_NF_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,12.25757742,0.926531739,3.485596985,Amp,FALSE,3,6,NA,NA,7.58884471096346,6466860022.35818,1
I12,E6,Rep2,Plate2,D06_NF_R2,D06,NF,R2,2/4/18,D06_NF_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,12.27352898,0.917386669,3.4632674,Amp,FALSE,3,6,NA,NA,7.58354518936877,6388427036.37223,1
I14,E7,Rep2,Plate2,D05_ZF_R2,D05,ZF,R2,2/1/07,D05_ZF_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,18.2805984,0.852134289,3.458664696,Amp,FALSE,3,10,NA,NA,5.58784106312292,64519324.6404119,5
I15,E8,Rep1,Plate2,PCO_B3_R2,PCO,B3,R2,2/3/06,PCO_B3_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,16.16753827,0.942471482,3.451840886,Amp,FALSE,3,8,NA,NA,6.28985439534884,324865165.098011,7
I16,E8,Rep2,Plate2,PCO_B3_R2,PCO,B3,R2,2/3/06,PCO_B3_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,16.30006436,0.942222623,3.466088951,Amp,FALSE,3,9,NA,NA,6.24582579401993,293544902.850159,7
I20,E10,Rep2,Plate2,D02_OH_R2,D02,OH,R2,2/4/08,D02_OH_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,19.25422499,0.841776062,3.467770586,Amp,FALSE,3,11,NA,NA,5.26437707973422,30635560.4206083,4
I21,E11,Rep1,Plate2,D05_OR_R2,D05,OR,R2,2/4/04,D05_OR_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,13.25984696,0.904200051,3.475614527,Amp,FALSE,3,7,NA,NA,7.25586479734219,3004094201.04769,3
I22,E11,Rep2,Plate2,D05_OR_R2,D05,OR,R2,2/4/04,D05_OR_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,13.42787236,0.901176097,3.47113838,Amp,FALSE,3,7,NA,NA,7.20004240531561,2641746586.52675,3
I23,E12,Rep1,Plate2,D08_ZR_R2,D08,ZR,R2,2/3/05,D08_ZR_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,19.15308616,0.844019086,3.468482233,Amp,FALSE,3,11,NA,NA,5.29797801993356,33099906.695068,6
I24,E12,Rep2,Plate2,D08_ZR_R2,D08,ZR,R2,2/3/05,D08_ZR_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,18.96065613,0.861459409,3.508525355,Amp,FALSE,3,10,NA,NA,5.36190826245847,38349262.11916,6
I3,E2,Rep1,Plate2,D08_ZF_R2,D08,ZF,R2,2/4/11,D08_ZF_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,17.97395851,0.888652985,3.464292178,Amp,FALSE,3,9,NA,NA,5.6897147807309,81576211.1374573,5
I4,E2,Rep2,Plate2,D08_ZF_R2,D08,ZF,R2,2/4/11,D08_ZF_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,17.9266365,0.853725846,NA,Amp,FALSE,3,9,NA,NA,5.70543637873754,84583398.0234455,5
I5,E3,Rep1,Plate2,D07_ZF_R2,D07,ZF,R2,2/3/19,D07_ZF_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,15.83870833,0.924391615,3.478803667,Amp,FALSE,3,9,NA,NA,6.39910022259136,417781276.203309,5
I6,E3,Rep2,Plate2,D07_ZF_R2,D07,ZF,R2,2/3/19,D07_ZF_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,15.63699748,0.709441248,NA,Inconclusive,FALSE,3,8,NA,NA,6.46611379401994,487486444.307845,5
I7,E4,Rep1,Plate2,D02_NF_R2,D02,NF,R2,2/4/12,D02_NF_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,11.75348209,0.689148278,3.506537937,Amp,FALSE,3,6,NA,NA,7.75631824252492,9509703844.24876,1
I8,E4,Rep2,Plate2,D02_NF_R2,D02,NF,R2,2/4/12,D02_NF_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,11.64552891,0.92983029,3.485330662,Amp,FALSE,3,6,NA,NA,7.79218308637874,10328371152.0176,1
I9,E5,Rep1,Plate2,D02_OR_R2,D02,OR,R2,2/1/01,D02_OR_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,9.674291552,0.945268915,3.496201098,Amp,FALSE,3,5,NA,NA,8.44707921860465,46658198693.4269,3
J11,E6,Rep3,Plate2,D06_NF_R2,D06,NF,R2,2/4/18,D06_NF_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,12.09083131,0.924293016,3.504119864,Amp,FALSE,3,6,NA,NA,7.644242089701,7346675190.08501,1
J15,E8,Rep3,Plate2,PCO_B3_R2,PCO,B3,R2,2/3/06,PCO_B3_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,16.26798921,0.946151373,3.462679191,Amp,FALSE,3,8,NA,NA,6.25648199003322,300836647.056954,7
J19,E10,Rep3,Plate2,D02_OH_R2,D02,OH,R2,2/4/08,D02_OH_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,19.0627986,0.841324769,3.470207473,Amp,FALSE,3,10,NA,NA,5.32797388704319,35466851.509398,4
J21,E11,Rep3,Plate2,D05_OR_R2,D05,OR,R2,2/4/04,D05_OR_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,13.46490054,0.904960396,3.471450939,Amp,FALSE,3,7,NA,NA,7.18774068438538,2567966973.55614,3
J23,E12,Rep3,Plate2,D08_ZR_R2,D08,ZR,R2,2/3/05,D08_ZR_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,19.28619641,0.844462422,3.462906562,Amp,FALSE,3,11,NA,NA,5.25375534551495,29895381.1719744,6
J3,E2,Rep3,Plate2,D08_ZF_R2,D08,ZF,R2,2/4/11,D08_ZF_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,18.15930387,0.8826651,3.460315619,Amp,FALSE,3,9,NA,NA,5.62813824916944,70792459.1351749,5
J7,E4,Rep3,Plate2,D02_NF_R2,D02,NF,R2,2/4/12,D02_NF_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,11.71333557,0.920157691,3.50134589,Amp,FALSE,3,6,NA,NA,7.76965595681063,9806289412.89848,1
