sample	tax.level	method	value
XT_D02-NFlex-R1-A	order	shannon	0.868
XT_D09-NFlex-R1-A	order	shannon	1.194
XT_D04-NFlex-R1-B	order	shannon	0.943
XT_D08-NFlex-R1-A	order	shannon	0.917
XT_D06-NFlex-R1-C	order	shannon	0.966
XT_D02-NFlex-R1-C	order	shannon	0.869
XT_D01-NFlex-R1-C	order	shannon	0.941
XT_D07-NFlex-R1-A	order	shannon	0.868
XT_D03-NFlex-R1-A	order	shannon	1.268
XT_D01-NFlex-R1-B	order	shannon	0.941
Flex_D10-NF-R1	order	shannon	1.143
Flex_D07-NF-R1	order	shannon	0.95
Flex_D08-NF-R1	order	shannon	0.975
Flex_D05-NF-R1	order	shannon	1.344
Flex_D02-NF-R1	order	shannon	0.914
Flex_D03-NF-R1	order	shannon	1.311
Flex_D09-NF-R1	order	shannon	1.254
Flex_D01-NF-R1	order	shannon	0.99
Flex_D06-NF-R1	order	shannon	1.044
Flex_D04-NF-R1	order	shannon	1.009
XT_D04-NFlex-R1-A	order	simpson	0.401
XT_D06-NFlex-R1-A	order	simpson	0.523
XT_D08-NFlex-R1-C	order	simpson	0.534
XT_D07-NFlex-R1-C	order	simpson	0.466
XT_D10-NFlex-R1-C	order	simpson	0.582
XT_D05-NFlex-R1-C	order	simpson	0.628
XT_D05-NFlex-R1-A	order	simpson	0.63
XT_D05-NFlex-R1-B	order	simpson	0.627
XT_D08-NFlex-R1-B	order	simpson	0.534
XT_D02-NFlex-R1-B	order	simpson	0.523
XT_D07-NFlex-R1-B	order	simpson	0.465
XT_D09-NFlex-R1-B	order	simpson	0.566
XT_D03-NFlex-R1-C	order	simpson	0.616
XT_D01-NFlex-R1-A	order	simpson	0.473
XT_D04-NFlex-R1-C	order	simpson	0.402
XT_D10-NFlex-R1-A	order	simpson	0.582
XT_D06-NFlex-R1-B	order	simpson	0.522
XT_D03-NFlex-R1-B	order	simpson	0.62
XT_D10-NFlex-R1-B	order	simpson	0.583
XT_D09-NFlex-R1-C	order	simpson	0.566
XT_D02-NFlex-R1-A	order	simpson	0.523
XT_D09-NFlex-R1-A	order	simpson	0.565
XT_D04-NFlex-R1-B	order	simpson	0.409
XT_D08-NFlex-R1-A	order	simpson	0.534
XT_D06-NFlex-R1-C	order	simpson	0.523
XT_D02-NFlex-R1-C	order	simpson	0.523
XT_D01-NFlex-R1-C	order	simpson	0.475
XT_D07-NFlex-R1-A	order	simpson	0.463
XT_D03-NFlex-R1-A	order	simpson	0.619
XT_D01-NFlex-R1-B	order	simpson	0.476
Flex_D10-NF-R1	order	simpson	0.601
Flex_D07-NF-R1	order	simpson	0.471
Flex_D08-NF-R1	order	simpson	0.542
Flex_D05-NF-R1	order	simpson	0.628
Flex_D02-NF-R1	order	simpson	0.534
