feature,Sample_Type,estimate,CI_low,CI_high
Firmicutes: Oscillibacter,NF,0.006993124,0.005074309,0.009637525
Firmicutes: Oscillibacter,OF,0.00623759,0.004411055,0.008820459
Firmicutes: Oscillibacter,OR,0.008697809,0.006242013,0.012119789
Firmicutes: Oscillibacter,OH,0.008898715,0.00610861,0.012963198
Firmicutes: Oscillibacter,ZF,0.008942378,0.00633325,0.012626395
Firmicutes: Oscillibacter,ZR,0.01037476,0.007050094,0.015267263
Firmicutes: Oscillibacter,ZH,0.011493684,0.00830799,0.01590093
Firmicutes: Dorea,NF,0.012803291,0.010261481,0.015974717
Firmicutes: Dorea,OF,0.009702573,0.007738916,0.012164486
Firmicutes: Dorea,OR,0.008965343,0.007120564,0.011288063
Firmicutes: Dorea,OH,0.007768731,0.00611438,0.009870696
Firmicutes: Dorea,ZF,0.010267695,0.008557438,0.012319758
Firmicutes: Dorea,ZR,0.007929834,0.006837754,0.009196334
Firmicutes: Dorea,ZH,0.005797141,0.004687459,0.007169523
Firmicutes: Megamonas,NF,5.46E-05,5.74E-06,0.000519891
Firmicutes: Megamonas,OF,4.38E-05,4.69E-06,0.000408948
Firmicutes: Megamonas,OR,3.95E-05,4.79E-06,0.000326265
Firmicutes: Megamonas,OH,4.35E-05,5.28E-06,0.000357725
Firmicutes: Megamonas,ZF,4.91E-05,5.33E-06,0.000451547
Firmicutes: Megamonas,ZR,4.63E-05,6.28E-06,0.000341277
Firmicutes: Megamonas,ZH,5.25E-05,6.29E-06,0.000437254
Firmicutes: unclassified Firmicutes sensu stricto (miscellaneous),NF,0.005586158,0.003589685,0.008693009
Firmicutes: unclassified Firmicutes sensu stricto (miscellaneous),OF,0.00427489,0.00274962,0.006646258
Firmicutes: unclassified Firmicutes sensu stricto (miscellaneous),OR,0.005460733,0.003452982,0.0086359
Firmicutes: unclassified Firmicutes sensu stricto (miscellaneous),OH,0.005497505,0.003407462,0.008869525
Firmicutes: unclassified Firmicutes sensu stricto (miscellaneous),ZF,0.005802059,0.003842548,0.008760824
Firmicutes: unclassified Firmicutes sensu stricto (miscellaneous),ZR,0.006071615,0.004044986,0.009113631
Firmicutes: unclassified Firmicutes sensu stricto (miscellaneous),ZH,0.005535465,0.003421311,0.008956034
Firmicutes: Dialister,NF,0.000709086,9.03E-05,0.005566402
Firmicutes: Dialister,OF,0.000578397,8.06E-05,0.004148745
Firmicutes: Dialister,OR,0.000482223,6.97E-05,0.003336217
Firmicutes: Dialister,OH,0.000511668,7.67E-05,0.003414687
Firmicutes: Dialister,ZF,0.00076813,9.27E-05,0.006363377
Firmicutes: Dialister,ZR,0.000823264,9.73E-05,0.006964768
Firmicutes: Dialister,ZH,0.000976493,0.000122248,0.00780001
Firmicutes: Subdoligranulum,NF,0.005767283,0.003823283,0.008699734
Firmicutes: Subdoligranulum,OF,0.004072628,0.002611595,0.006351025
Firmicutes: Subdoligranulum,OR,0.004251729,0.002869698,0.006299339
Firmicutes: Subdoligranulum,OH,0.004267729,0.003068809,0.005935043
