Patient,Protocol_1,Protocol_2,Protocols,bcdist
D02,ZH,ZF,ZH_ZF,0.425467419
D02,ZH,ZH,ZH_ZH,0.068018392
D02,ZH,ZH,ZH_ZH,0.051593063
D02,ZH,ZR,ZH_ZR,0.280603887
D02,ZH,ZR,ZH_ZR,0.311791106
D02,ZH,ZR,ZH_ZR,0.518963576
D02,ZH,NF,ZH_NF,0.592345192
D02,ZH,NF,ZH_NF,0.635382036
D02,ZH,NF,ZH_NF,0.608223063
D02,ZH,OF,ZH_OF,0.516461747
D02,ZH,OF,ZH_OF,0.49843994
D02,ZH,OF,ZH_OF,0.425083893
D02,ZH,OR,ZH_OR,0.715752244
D02,ZH,OR,ZH_OR,0.77531837
D02,ZH,ZF,ZH_ZF,0.414339041
D02,ZH,ZF,ZH_ZF,0.583128494
D02,ZH,ZF,ZH_ZF,0.412958517
D02,ZH,ZH,ZH_ZH,0.068018392
D02,ZH,ZH,ZH_ZH,0.06256577
D02,ZH,ZR,ZH_ZR,0.26878716
D02,ZH,ZR,ZH_ZR,0.294639552
D02,ZH,ZR,ZH_ZR,0.503867452
D02,ZH,NF,ZH_NF,0.568236998
D02,ZH,NF,ZH_NF,0.61042824
D02,ZH,NF,ZH_NF,0.586943979
D02,ZH,OF,ZH_OF,0.484606218
D02,ZH,OF,ZH_OF,0.470362337
D02,ZH,OF,ZH_OF,0.39703831
D02,ZH,OR,ZH_OR,0.712200292
D02,ZH,OR,ZH_OR,0.796079487
D02,ZH,ZF,ZH_ZF,0.390667233
D02,ZH,ZF,ZH_ZF,0.554506842
D02,ZH,ZF,ZH_ZF,0.388825202
D02,ZH,ZH,ZH_ZH,0.051593063
D02,ZH,ZH,ZH_ZH,0.06256577
D02,ZH,ZR,ZH_ZR,0.244258036
D02,ZH,ZR,ZH_ZR,0.278500253
D02,ZH,ZR,ZH_ZR,0.484906112
D02,ZR,NF,ZR_NF,0.367359191
D02,ZR,NF,ZR_NF,0.418410454
D02,ZR,NF,ZR_NF,0.407408892
D02,ZR,OF,ZR_OF,0.314854453
D02,ZR,OF,ZR_OF,0.284220742
D02,ZR,OF,ZR_OF,0.201198264
D02,ZR,OR,ZR_OR,0.6546741
D02,ZR,OR,ZR_OR,0.740243432
D02,ZR,ZF,ZR_ZF,0.197295066
D02,ZR,ZF,ZR_ZF,0.367134225
D02,ZR,ZF,ZR_ZF,0.182345442
D02,ZR,ZH,ZR_ZH,0.280603887
D02,ZR,ZH,ZR_ZH,0.26878716
D02,ZR,ZH,ZR_ZH,0.244258036
D02,ZR,ZR,ZR_ZR,0.086171803
D02,ZR,ZR,ZR_ZR,0.293665334
D02,ZR,NF,ZR_NF,0.371294397
D02,ZR,NF,ZR_NF,0.423099325
D02,ZR,NF,ZR_NF,0.417727105
D02,ZR,OF,ZR_OF,0.316282537
D02,ZR,OF,ZR_OF,0.283191803
D02,ZR,OF,ZR_OF,0.202123481
