Sample	Sample_Type	Patient	Relative Abundance: Firmicutes	Relative Abundance: Bacteroidetes
D04-OF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D04	0.658839785	0.088992005
D04-ZH-R1	NF_OF_OR_OH_ZF_ZR_ZH	D04	0.577228298	0.193219251
D04-ZR-R3	NF_OF_OR_OH_ZF_ZR_ZH	D04	0.61342093	0.160436121
D04-OR-R2	NF_OF_OR_OH_ZF_ZR_ZH	D04	0.620560631	0.155701469
D04-OH-R3	NF_OF_OR_OH_ZF_ZR_ZH	D04	0.630671519	0.129771142
D04-NF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D04	0.675606026	0.077001409
D04-ZF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D04	0.608921556	0.15812326
D04-OF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D04	0.537120428	0.212511738
D04-ZH-R2	NF_OF_OR_OH_ZF_ZR_ZH	D04	0.583835137	0.191651319
D04-ZF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D04	0.606219488	0.158407929
D04-OF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D04	0.612701456	0.134433999
D04-OR-R1	NF_OF_OR_OH_ZF_ZR_ZH	D04	0.657431901	0.102801863
D04-ZR-R2	NF_OF_OR_OH_ZF_ZR_ZH	D04	0.613208871	0.159979502
D04-OH-R2	NF_OF_OR_OH_ZF_ZR_ZH	D04	0.637243214	0.136484766
D04-NF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D04	0.681418943	0.081686225
D04-OR-R3	NF_OF_OR_OH_ZF_ZR_ZH	D04	0.658305703	0.096274403
D04-ZR-R1	NF_OF_OR_ZF_ZR	D04	0.578632442	0.20084473
D04-NF-R3	NF_OF_OR_ZF_ZR	D04	0.689550314	0.06741949
D04-ZF-R3	NF_OF_OR_ZF_ZR	D04	0.606736365	0.166599517
D04-OF-R1	NF_OF_OR_ZF_ZR	D04	0.658839785	0.088992005
D04-ZR-R3	NF_OF_OR_ZF_ZR	D04	0.61342093	0.160436121
D04-OR-R2	NF_OF_OR_ZF_ZR	D04	0.620560631	0.155701469
D04-NF-R2	NF_OF_OR_ZF_ZR	D04	0.675606026	0.077001409
D04-ZF-R2	NF_OF_OR_ZF_ZR	D04	0.608921556	0.15812326
D04-OF-R2	NF_OF_OR_ZF_ZR	D04	0.537120428	0.212511738
D04-ZF-R1	NF_OF_OR_ZF_ZR	D04	0.606219488	0.158407929
D04-OF-R3	NF_OF_OR_ZF_ZR	D04	0.612701456	0.134433999
D04-OR-R1	NF_OF_OR_ZF_ZR	D04	0.657431901	0.102801863
D04-ZR-R2	NF_OF_OR_ZF_ZR	D04	0.613208871	0.159979502
D04-NF-R1	NF_OF_OR_ZF_ZR	D04	0.681418943	0.081686225
D04-OR-R3	NF_OF_OR_ZF_ZR	D04	0.658305703	0.096274403
D04-NF-R3	NF_OF_ZF	D04	0.689550314	0.06741949
D04-ZF-R3	NF_OF_ZF	D04	0.606736365	0.166599517
D04-OF-R1	NF_OF_ZF	D04	0.658839785	0.088992005
D04-NF-R2	NF_OF_ZF	D04	0.675606026	0.077001409
D04-ZF-R2	NF_OF_ZF	D04	0.608921556	0.15812326
D04-OF-R2	NF_OF_ZF	D04	0.537120428	0.212511738
D04-ZF-R1	NF_OF_ZF	D04	0.606219488	0.158407929
D04-OF-R3	NF_OF_ZF	D04	0.612701456	0.134433999
D04-NF-R1	NF_OF_ZF	D04	0.681418943	0.081686225
D05-NF-R1	NF	D05	0.456808094	0.273109927
D05-NF-R2	NF	D05	0.530526751	0.160301127
D05-NF-R3	NF	D05	0.490603275	0.201268287
D05-ZF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D05	0.402005125	0.358055499
D05-OH-R1	NF_OF_OR_OH_ZF_ZR_ZH	D05	0.412602978	0.328415494
D05-OF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D05	0.433303922	0.32276613
D05-ZR-R1	NF_OF_OR_OH_ZF_ZR_ZH	D05	0.384674003	0.354798562
D05-NF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D05	0.456808094	0.273109927
D05-NF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D05	0.530526751	0.160301127
D05-ZH-R2	NF_OF_OR_OH_ZF_ZR_ZH	D05	0.343061116	0.416983378
D05-OH-R3	NF_OF_OR_OH_ZF_ZR_ZH	D05	0.295926011	0.485880936
D05-OF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D05	0.420050445	0.327643584
D05-ZR-R3	NF_OF_OR_OH_ZF_ZR_ZH	D05	0.367681062	0.414769176
D05-OR-R2	NF_OF_OR_OH_ZF_ZR_ZH	D05	0.429757687	0.324228282
D05-ZF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D05	0.457142532	0.296127387
D05-OF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D05	0.379746149	0.385047159
D05-NF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D05	0.490603275	0.201268287
D05-OH-R2	NF_OF_OR_OH_ZF_ZR_ZH	D05	0.367991477	0.389867541
D05-ZH-R3	NF_OF_OR_OH_ZF_ZR_ZH	D05	0.365229023	0.396978575
D05-ZR-R2	NF_OF_OR_OH_ZF_ZR_ZH	D05	0.40145587	0.332413609
D05-OR-R1	NF_OF_OR_OH_ZF_ZR_ZH	D05	0.328521469	0.464984566
D05-OR-R3	NF_OF_OR_OH_ZF_ZR_ZH	D05	0.433547745	0.324526976
D05-ZH-R1	NF_OF_OR_OH_ZF_ZR_ZH	D05	0.374402017	0.370874555
D05-ZF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D05	0.457519913	0.293499203
D05-ZF-R2	NF_OF_OR_ZF_ZR	D05	0.402005125	0.358055499
D05-OF-R3	NF_OF_OR_ZF_ZR	D05	0.433303922	0.32276613
D05-ZR-R1	NF_OF_OR_ZF_ZR	D05	0.384674003	0.354798562
D05-NF-R1	NF_OF_OR_ZF_ZR	D05	0.456808094	0.273109927
D05-NF-R2	NF_OF_OR_ZF_ZR	D05	0.530526751	0.160301127
D05-OF-R2	NF_OF_OR_ZF_ZR	D05	0.420050445	0.327643584
D05-ZR-R3	NF_OF_OR_ZF_ZR	D05	0.367681062	0.414769176
D05-OR-R2	NF_OF_OR_ZF_ZR	D05	0.429757687	0.324228282
D05-ZF-R3	NF_OF_OR_ZF_ZR	D05	0.457142532	0.296127387
D05-OF-R1	NF_OF_OR_ZF_ZR	D05	0.379746149	0.385047159
D05-NF-R3	NF_OF_OR_ZF_ZR	D05	0.490603275	0.201268287
D05-ZR-R2	NF_OF_OR_ZF_ZR	D05	0.40145587	0.332413609
D05-OR-R1	NF_OF_OR_ZF_ZR	D05	0.328521469	0.464984566
D05-OR-R3	NF_OF_OR_ZF_ZR	D05	0.433547745	0.324526976
D05-ZF-R1	NF_OF_OR_ZF_ZR	D05	0.457519913	0.293499203
D05-ZF-R2	NF_OF_ZF	D05	0.402005125	0.358055499
D05-OF-R3	NF_OF_ZF	D05	0.433303922	0.32276613
