XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
Candidatus Lambdaproteobacteria	4	4	2	3	5	1	3	2	3	31	3	3	1	5	12	1	1	1	2	3	23	3	11	4	1	26	0	7	1	5	1	13	2	11	38	3	1	5	5	22
Candidatus Muproteobacteria	17	13	13	9	3	105	140	116	11	10	13	26	16	56	19	5	15	10	2	26	18	17	26	16	15	17	52	8	15	33	5	24	39	234	22	45	18	29	26	47
Hydrogenophilalia	60	17	19	23	12	77	94	102	19	22	30	21	21	86	48	12	18	26	10	24	28	20	61	13	22	24	84	28	28	85	34	104	31	178	34	87	20	75	49	142
Deltaproteobacteria	35647	3242	48705	108294	1294	77579	95848	93176	56372	40310	125379	83663	14710	255985	31460	1416	2994	11737	1439	97506	40341	85105	32872	45198	2464	36870	259859	117456	13246	216877	2219	453977	122627	179818	55888	37961	122608	239891	5495	99763
Epsilonproteobacteria	798	469	330	424	325	491	550	578	375	878	542	869	516	751	783	318	509	443	346	1010	873	867	721	319	365	844	753	493	483	578	576	2236	555	1387	1561	1845	752	657	734	2279
Fusobacteriia	1042	638	292	319	453	317	367	371	303	708	403	455	416	734	865	440	644	404	517	540	734	439	843	291	515	735	725	336	417	630	923	1835	455	1037	1281	1789	554	827	1207	2476
Nitrospira (203693)	246	158	90	75	72	191	237	213	106	141	84	110	101	245	193	65	137	85	77	132	136	124	203	68	122	124	195	80	83	146	107	301	216	288	186	269	155	197	257	494
Acidobacteriia	891	591	416	431	208	1141	1384	1334	467	560	523	569	542	905	781	188	568	457	247	612	545	532	843	395	465	477	897	475	482	752	268	1971	967	2480	635	1624	631	857	926	2165
Holophagae	81	62	54	45	29	78	99	89	80	43	62	65	30	91	64	25	71	31	37	72	46	68	61	48	46	36	129	44	20	84	48	160	80	173	44	87	65	82	73	157
Blastocatellia	41	30	18	24	9	55	63	59	16	23	32	15	36	27	34	7	23	23	5	12	22	21	40	21	15	24	26	16	23	25	6	107	51	76	48	97	15	19	70	89
Thermoanaerobaculia	4	12	4	2	4	7	8	12	9	12	2	5	0	7	5	1	8	0	1	5	14	6	2	9	12	6	7	6	1	3	3	10	29	8	25	1	3	9	26	8
Vicinamibacteria	30	33	7	10	8	44	55	50	12	10	20	4	14	34	21	2	32	9	6	10	3	6	31	11	25	6	14	12	9	18	4	45	37	64	7	31	11	19	72	70
Dictyoglomia	0	0	1	1	14	0	0	2	1	1	0	0	0	4	1	17	1	0	16	3	2	0	2	2	0	2	2	0	0	1	56	10	0	0	21	1	3	6	0	6
Endomicrobia	9	0	2	9	6	2	0	1	2	2	9	3	2	3	3	5	1	1	4	3	0	3	5	1	1	2	3	7	1	1	2	109	4	1	3	2	1	4	7	20
Elusimicrobia (641853)	56	21	17	28	28	27	28	43	14	20	15	35	7	91	59	19	23	9	25	41	31	28	56	13	23	25	82	15	6	60	41	113	25	88	30	26	29	51	45	175
Aquificae (187857)	55	21	24	13	43	50	40	59	22	69	20	86	19	46	55	26	27	17	33	90	69	93	44	17	27	62	59	13	17	54	41	15	18	97	105	26	92	48	22	111
Thermotogae (188708)	204	88	55	65	84	128	119	142	74	177	79	144	84	120	176	47	76	58	91	180	154	131	177	67	71	158	116	72	70	98	75	425	116	263	300	215	159	108	116	660
Deferribacteres (68337)	59	40	15	62	28	16	20	17	28	31	64	47	28	33	53	27	54	12	21	53	32	61	58	20	36	25	25	65	22	27	52	506	42	27	34	67	31	28	60	159
Chrysiogenetes (118001)	13	27	16	11	7	13	24	20	12	12	17	12	4	36	14	10	15	1	8	12	9	12	20	7	22	8	28	21	4	27	9	68	24	26	9	7	11	36	23	29
Thermodesulfobacteria (67799)	13	14	13	9	12	14	13	9	8	13	6	8	7	40	13	10	7	10	15	11	9	13	12	21	16	12	23	7	8	22	9	16	6	12	7	16	7	23	17	24
Spirochaetia	1965	1018	632	765	559	1123	1345	1322	732	1434	889	1005	640	1131	1684	513	898	527	561	1094	1379	1044	1716	632	801	1316	1250	905	600	969	894	4106	1416	2504	2392	1739	1085	1091	1703	4893
Synergistia	369	196	381	167	67	383	430	456	479	293	181	372	145	352	330	78	179	127	98	444	247	398	311	336	165	241	330	179	136	282	121	757	1028	860	411	504	524	351	243	905
Calditrichae	7	8	3	3	0	1	6	2	2	2	3	4	3	11	7	1	6	3	1	9	3	1	12	2	5	4	11	4	2	8	2	11	3	4	2	8	3	4	6	13
Coprothermobacteria	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
Spartobacteria	97	28	27	30	21	71	100	84	28	70	30	12	44	104	79	18	26	16	13	21	73	27	71	19	18	64	111	31	26	109	17	117	64	130	73	91	25	137	39	186
Verrucomicrobiae	1219	677	3998	945	1141	62157	74089	72348	4593	2286	1041	941	11928	463185	1135	1036	590	9620	1244	1098	2358	955	1185	3894	499	2762	450817	1012	10914	379548	2406	4405	8260	153284	3370	41091	1065	625424	1063	3082
Opitutae	24132	139	103	110	26	229	279	257	101	162	129	184	109	201	21474	52	140	86	44	216	134	184	22541	85	104	135	214	114	86	157	38	517	246	512	175	301	216	172	187	94240
Methylacidiphilae	8	6	8	10	4	22	40	33	12	11	11	4	3	12	5	2	8	2	2	3	16	5	4	7	7	10	9	10	1	7	5	24	10	38	9	6	2	7	13	24
Kiritimatiellae	5	6	2	0	3	15	17	11	3	0	2	2	2	6	7	1	2	0	1	2	1	1	3	0	2	0	2	1	0	6	4	8	9	24	1	1	0	10	4	8
Planctomycetia	365	207	142	188	82	530	652	582	185	232	257	267	205	360	333	84	228	180	91	299	207	253	363	142	183	212	374	226	204	309	149	984	316	1128	267	695	304	301	340	937
Phycisphaerae	283	167	117	89	66	167	157	171	148	131	109	85	107	256	254	55	148	84	72	107	129	116	276	117	125	124	232	90	129	192	95	437	263	278	202	486	129	225	266	713
Candidatus Brocadiae	10	7	1	5	5	6	10	6	7	15	12	6	5	15	16	8	7	3	8	6	12	4	13	4	4	7	11	3	5	5	7	27	2	9	17	10	5	9	4	20
Chlamydiia	287	160	108	110	144	170	137	105	93	229	129	211	281	366	208	126	117	244	168	251	224	229	240	107	115	207	359	112	274	317	181	460	109	185	316	466	245	191	108	340
